experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,1,  1.7487809065991711E-01,120,47,433,433,0,  2.8189936448980646E-01,  8.6599999999999999E-01,  8.6599999999999999E-01,  4.2534190226105006E-01,  1.1610264200000001E-01,  5.0017499999999995E-04,0
2,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,2,  1.7487809065991711E-01,120,51,437,433,4,  2.6334430148405980E-01,  8.7400000000000000E-01,  8.6599999999999999E-01,  4.0473745583767545E-01,  1.2235607799999999E-01,  4.9705699999999997E-04,0
3,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,3,  1.7487809065991711E-01,120,53,441,433,8,  2.5392748914245772E-01,  8.8200000000000001E-01,  8.6599999999999999E-01,  3.9432806682532912E-01,  1.1501022100000000E-01,  4.7451399999999999E-04,0
4,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,4,  1.7487809065991711E-01,120,57,453,433,20,  2.4308448828357934E-01,  9.0600000000000003E-01,  8.6599999999999999E-01,  3.8332176377020560E-01,  1.0765993500000000E-01,  7.9215199999999996E-04,0
5,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,5,  1.7487809065991711E-01,120,58,457,433,24,  2.4026713125491356E-01,  9.1400000000000003E-01,  8.6599999999999999E-01,  3.8050837976862156E-01,  1.2731746399999999E-01,  7.5970900000000001E-04,0
6,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,1,  1.7487809065991711E-01,120,47,433,433,0,  2.8189936448980646E-01,  8.6599999999999999E-01,  8.6599999999999999E-01,  4.2534190226105006E-01,  1.4879056399999999E-01,  4.6464500000000002E-04,0
7,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,2,  1.7487809065991711E-01,120,51,437,433,4,  2.6334430148405980E-01,  8.7400000000000000E-01,  8.6599999999999999E-01,  4.0473745583767545E-01,  1.1026266899999999E-01,  6.3017699999999999E-04,0
8,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,3,  1.7487809065991711E-01,120,53,441,433,8,  2.5392748914245772E-01,  8.8200000000000001E-01,  8.6599999999999999E-01,  3.9432806682532912E-01,  1.0384453700000000E-01,  4.3941899999999997E-04,0
9,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,4,  1.7487809065991711E-01,120,57,453,433,20,  2.4308448828357934E-01,  9.0600000000000003E-01,  8.6599999999999999E-01,  3.8332176377020560E-01,  1.0399889399999999E-01,  4.6670400000000002E-04,0
10,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,5,  1.7487809065991711E-01,120,58,457,433,24,  2.4026713125491356E-01,  9.1400000000000003E-01,  8.6599999999999999E-01,  3.8050837976862156E-01,  1.0206572400000000E-01,  4.3259400000000001E-04,0
11,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,1,  1.7487809065991711E-01,120,47,433,433,0,  2.8189936448980646E-01,  8.6599999999999999E-01,  8.6599999999999999E-01,  4.2534190226105006E-01,  1.0374863400000001E-01,  4.4574900000000000E-04,0
12,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,2,  1.7487809065991711E-01,120,51,437,433,4,  2.6334430148405980E-01,  8.7400000000000000E-01,  8.6599999999999999E-01,  4.0473745583767545E-01,  1.0623542499999999E-01,  4.2287599999999998E-04,0
13,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,3,  1.7487809065991711E-01,120,53,441,433,8,  2.5392748914245772E-01,  8.8200000000000001E-01,  8.6599999999999999E-01,  3.9432806682532912E-01,  1.0151907400000000E-01,  4.8479500000000000E-04,0
14,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,4,  1.7487809065991711E-01,120,57,453,433,20,  2.4308448828357934E-01,  9.0600000000000003E-01,  8.6599999999999999E-01,  3.8332176377020560E-01,  1.0350100900000000E-01,  4.7915600000000000E-04,0
15,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,5,  1.7487809065991711E-01,120,58,457,433,24,  2.4026713125491356E-01,  9.1400000000000003E-01,  8.6599999999999999E-01,  3.8050837976862156E-01,  1.0229650699999999E-01,  4.8137100000000002E-04,0
16,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,1,  1.7487809065991711E-01,120,47,433,433,0,  2.8189936448980646E-01,  8.6599999999999999E-01,  8.6599999999999999E-01,  4.2534190226105006E-01,  1.0946772000000000E-01,  4.0946199999999998E-04,0
17,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,2,  1.7487809065991711E-01,120,51,437,433,4,  2.6334430148405980E-01,  8.7400000000000000E-01,  8.6599999999999999E-01,  4.0473745583767545E-01,  1.0529312900000000E-01,  4.4661199999999999E-04,0
18,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,3,  1.7487809065991711E-01,120,53,441,433,8,  2.5392748914245772E-01,  8.8200000000000001E-01,  8.6599999999999999E-01,  3.9432806682532912E-01,  1.0461258599999999E-01,  4.5914200000000000E-04,0
19,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,4,  1.7487809065991711E-01,120,57,453,433,20,  2.4308448828357934E-01,  9.0600000000000003E-01,  8.6599999999999999E-01,  3.8332176377020560E-01,  1.0419735099999999E-01,  4.6305800000000002E-04,0
20,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,5,  1.7487809065991711E-01,120,58,457,433,24,  2.4026713125491356E-01,  9.1400000000000003E-01,  8.6599999999999999E-01,  3.8050837976862156E-01,  1.0228392400000000E-01,  5.0369800000000001E-04,0
21,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  1.0000000000000000E+00,1,  1.7487809065991711E-01,120,47,433,433,0,  2.8189936448980646E-01,  8.6599999999999999E-01,  8.6599999999999999E-01,  4.2534190226105006E-01,  1.0317212500000000E-01,  4.5172200000000000E-04,0
22,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  1.0000000000000000E+00,2,  1.7487809065991711E-01,120,51,437,433,4,  2.6334430148405980E-01,  8.7400000000000000E-01,  8.6599999999999999E-01,  4.0473745583767545E-01,  1.0339058199999999E-01,  4.4461300000000001E-04,0
23,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  1.0000000000000000E+00,3,  1.7487809065991711E-01,120,53,441,433,8,  2.5392748914245772E-01,  8.8200000000000001E-01,  8.6599999999999999E-01,  3.9432806682532912E-01,  1.0760188599999999E-01,  4.6259900000000001E-04,0
