experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
2616,0.5,15,1.0,0.8125,1,1.1238404945604898,89,1,500,500,0,1.0,1.0,1.0,1.0,0.094796294,0.000743735,0
2611,0.5,15,1.0,0.625,1,1.1238404945604898,89,1,500,500,0,1.0,1.0,1.0,1.0,0.093097345,0.00085673,0
2606,0.5,15,1.0,0.4375,1,1.1238404945604898,89,1,500,500,0,1.0,1.0,1.0,1.0,0.091880558,0.000735113,0
2601,0.5,15,1.0,0.25,1,1.1238404945604898,89,1,500,500,0,1.0,1.0,1.0,1.0,0.091107729,0.0008083539999999998,0
2621,0.5,15,1.0,1.0,1,1.1238404945604898,89,1,500,500,0,1.0,1.0,1.0,1.0,0.09563958,0.000806381,0
606,0.05,55,1.0,0.4375,1,0.10293282417307148,27,2,469,469,0,0.908184959475363,0.938,0.938,0.9228517301213107,0.093920796,0.000250742,0
611,0.05,55,1.0,0.625,1,0.10293282417307148,27,2,469,469,0,0.908184959475363,0.938,0.938,0.9228517301213107,0.09425749100000001,0.000289949,0
616,0.05,55,1.0,0.8125,1,0.10293282417307148,27,2,469,469,0,0.908184959475363,0.938,0.938,0.9228517301213107,0.09238434,0.000243534,0
601,0.05,55,1.0,0.25,1,0.10293282417307148,27,2,469,469,0,0.908184959475363,0.938,0.938,0.9228517301213107,0.092753751,0.000239076,0
621,0.05,55,1.0,1.0,1,0.10293282417307148,27,2,469,469,0,0.908184959475363,0.938,0.938,0.9228517301213107,0.091075581,0.000238569,0
106,0.05,15,1.0,0.4375,1,0.10293282417307148,83,4,480,480,0,0.8811043204074485,0.96,0.96,0.9188617268617957,0.431037952,0.00026436,0
122,0.05,15,1.0,1.0,2,0.10293282417307148,83,4,480,480,0,0.8811043204074485,0.96,0.96,0.9188617268617957,0.375318941,0.000229778,0
117,0.05,15,1.0,0.8125,2,0.10293282417307148,83,4,480,480,0,0.8811043204074485,0.96,0.96,0.9188617268617957,0.378944893,0.000240845,0
111,0.05,15,1.0,0.625,1,0.10293282417307148,83,4,480,480,0,0.8811043204074485,0.96,0.96,0.9188617268617957,0.374595295,0.000283052,0
116,0.05,15,1.0,0.8125,1,0.10293282417307148,83,4,480,480,0,0.8811043204074485,0.96,0.96,0.9188617268617957,0.382799287,0.000229497,0
107,0.05,15,1.0,0.4375,2,0.10293282417307148,83,4,480,480,0,0.8811043204074485,0.96,0.96,0.9188617268617957,0.432102797,0.000242485,0
101,0.05,15,1.0,0.25,1,0.10293282417307148,83,4,480,480,0,0.8811043204074485,0.96,0.96,0.9188617268617957,0.387327112,0.00026871,0
121,0.05,15,1.0,1.0,1,0.10293282417307148,83,4,480,480,0,0.8811043204074485,0.96,0.96,0.9188617268617957,0.375889857,0.000229416,0
102,0.05,15,1.0,0.25,2,0.10293282417307148,83,4,480,480,0,0.8811043204074485,0.96,0.96,0.9188617268617957,0.390793797,0.00023449,0
112,0.05,15,1.0,0.625,2,0.10293282417307148,83,4,480,480,0,0.8811043204074485,0.96,0.96,0.9188617268617957,0.377493107,0.000260282,0
236,0.05,25,1.0,0.625,1,0.10293282417307148,51,3,474,474,0,0.891347047766335,0.948,0.948,0.91880105204576,0.255803504,0.000237909,0
227,0.05,25,1.0,0.25,2,0.10293282417307148,51,3,474,474,0,0.891347047766335,0.948,0.948,0.91880105204576,0.218499383,0.000264756,0
247,0.05,25,1.0,1.0,2,0.10293282417307148,51,3,474,474,0,0.891347047766335,0.948,0.948,0.91880105204576,0.230679365,0.000238565,0
232,0.05,25,1.0,0.4375,2,0.10293282417307148,51,3,474,474,0,0.891347047766335,0.948,0.948,0.91880105204576,0.21844762,0.000229907,0
226,0.05,25,1.0,0.25,1,0.10293282417307148,51,3,474,474,0,0.891347047766335,0.948,0.948,0.91880105204576,0.217675596,0.000253013,0
246,0.05,25,1.0,1.0,1,0.10293282417307148,51,3,474,474,0,0.891347047766335,0.948,0.948,0.91880105204576,0.221107157,0.000235614,0
231,0.05,25,1.0,0.4375,1,0.10293282417307148,51,3,474,474,0,0.891347047766335,0.948,0.948,0.91880105204576,0.215986417,0.000232044,0
241,0.05,25,1.0,0.8125,1,0.10293282417307148,51,3,474,474,0,0.891347047766335,0.948,0.948,0.91880105204576,0.219411512,0.000232476,0
242,0.05,25,1.0,0.8125,2,0.10293282417307148,51,3,474,474,0,0.891347047766335,0.948,0.948,0.91880105204576,0.216904687,0.000232795,0
237,0.05,25,1.0,0.625,2,0.10293282417307148,51,3,474,474,0,0.891347047766335,0.948,0.948,0.91880105204576,0.222941933,0.000242485,0
