experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
2508,0.5,15,0.25,0.4375,3,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.08239816799999998,0.000698801,0
2514,0.5,15,0.25,0.625,4,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.087479993,0.000699371,0
2515,0.5,15,0.25,0.625,5,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.08726584499999998,0.000696656,0
2517,0.5,15,0.25,0.8125,2,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.087802947,0.00081773,0
2519,0.5,15,0.25,0.8125,4,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.08736605899999998,0.001244252,0
2518,0.5,15,0.25,0.8125,3,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.092691255,0.00069998,0
2523,0.5,15,0.25,1.0,3,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.091498986,0.001002788,0
2522,0.5,15,0.25,1.0,2,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.083085226,0.000709024,0
2502,0.5,15,0.25,0.25,2,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.08486652699999998,0.000731621,0
2503,0.5,15,0.25,0.25,3,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.077959547,0.000697905,0
2524,0.5,15,0.25,1.0,4,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.087854939,0.0007313909999999999,0
2525,0.5,15,0.25,1.0,5,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.087519757,0.000715909,0
2509,0.5,15,0.25,0.4375,4,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.08192349,0.000775827,0
2507,0.5,15,0.25,0.4375,2,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.080780949,0.000700163,0
2505,0.5,15,0.25,0.25,5,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.08093420799999998,0.000720797,0
2504,0.5,15,0.25,0.25,4,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.081839626,0.000803119,0
2513,0.5,15,0.25,0.625,3,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.085310174,0.000734023,0
2510,0.5,15,0.25,0.4375,5,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.085470398,0.000808311,0
2520,0.5,15,0.25,0.8125,5,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.090933336,0.000926694,0
2512,0.5,15,0.25,0.625,2,1.1238404945604898,89,46,418,417,1,0.04808169158629028,0.8359999999999999,0.8339999999999999,0.09093343872785162,0.087540724,0.0007519589999999999,0
1895,0.3875,15,0.25,0.8125,5,0.8602474779886781,84,45,388,376,12,0.048460434567706254,0.776,0.752,0.09122401912290147,0.059289655,0.000615363,0
1910,0.3875,15,0.4375,0.4375,5,0.8602474779886781,84,45,388,376,12,0.048460434567706254,0.776,0.752,0.09122401912290147,0.058988958,0.000746826,0
1905,0.3875,15,0.4375,0.25,5,0.8602474779886781,84,45,388,376,12,0.048460434567706254,0.776,0.752,0.09122401912290147,0.061483988,0.000561171,0
1890,0.3875,15,0.25,0.625,5,0.8602474779886781,84,45,388,376,12,0.048460434567706254,0.776,0.752,0.09122401912290147,0.060495692,0.000613576,0
1915,0.3875,15,0.4375,0.625,5,0.8602474779886781,84,45,388,376,12,0.048460434567706254,0.776,0.752,0.09122401912290147,0.05875288,0.000564455,0
1885,0.3875,15,0.25,0.4375,5,0.8602474779886781,84,45,388,376,12,0.048460434567706254,0.776,0.752,0.09122401912290147,0.059486853,0.000627627,0
1880,0.3875,15,0.25,0.25,5,0.8602474779886781,84,45,388,376,12,0.048460434567706254,0.776,0.752,0.09122401912290147,0.061309245,0.000560555,0
1925,0.3875,15,0.4375,1.0,5,0.8602474779886781,84,45,388,376,12,0.048460434567706254,0.776,0.752,0.09122401912290147,0.07292662599999998,0.000590404,0
1920,0.3875,15,0.4375,0.8125,5,0.8602474779886781,84,45,388,376,12,0.048460434567706254,0.776,0.752,0.09122401912290147,0.058377554,0.000581586,0
1900,0.3875,15,0.25,1.0,5,0.8602474779886781,84,45,388,376,12,0.048460434567706254,0.776,0.752,0.09122401912290147,0.059759607,0.000668401,0
