vector_index,x,y,is_seed,n_memberships,cluster_id
1, -1.0000000000000000E+00, -9.2590579619746871E-01,0,0,0
2, -9.9599198396793587E-01, -8.3923063669826126E-01,1,1,27
3, -9.9198396793587174E-01, -1.0958533417772747E+00,0,0,0
4, -9.8797595190380760E-01, -9.3091436487236956E-01,0,0,0
5, -9.8396793587174347E-01, -1.0199872772732330E+00,1,1,31
6, -9.7995991983967934E-01, -9.9888987038053434E-01,0,1,31
7, -9.7595190380761521E-01, -9.9929532155433998E-01,0,1,31
8, -9.7194388777555107E-01, -1.0130070371254873E+00,0,1,31
9, -9.6793587174348694E-01, -9.3199001325138775E-01,0,0,0
10, -9.6392785571142281E-01, -9.9433172073572862E-01,0,1,31
11, -9.5991983967935868E-01, -8.9820313329633028E-01,0,0,0
12, -9.5591182364729455E-01, -9.1584269605052004E-01,0,0,0
13, -9.5190380761523041E-01, -9.2292345897977357E-01,0,0,0
14, -9.4789579158316628E-01, -9.6839667612966041E-01,0,0,0
15, -9.4388777555110226E-01, -9.3391725754767119E-01,0,0,0
16, -9.3987975951903813E-01, -8.1932822097201574E-01,0,0,0
17, -9.3587174348697399E-01, -8.3167011196399754E-01,0,0,0
18, -9.3186372745490986E-01, -9.4193187449370386E-01,0,0,0
19, -9.2785571142284573E-01, -8.4776483841135342E-01,0,0,0
20, -9.2384769539078160E-01, -7.8758442091182013E-01,0,1,25
21, -9.1983967935871747E-01, -9.7323178120714471E-01,0,0,0
22, -9.1583166332665333E-01, -7.8819451126291185E-01,0,0,0
23, -9.1182364729458920E-01, -8.7665719530484609E-01,0,1,27
24, -9.0781563126252507E-01, -7.6998336903759734E-01,0,0,0
25, -9.0380761523046094E-01, -8.6867596298432326E-01,0,0,0
26, -8.9979959919839680E-01, -9.4398976644995514E-01,1,1,29
27, -8.9579158316633267E-01, -9.2178656136331838E-01,0,0,0
28, -8.9178356713426854E-01, -7.7972033853562650E-01,0,0,0
29, -8.8777555110220441E-01, -7.5477330206669024E-01,0,0,0
30, -8.8376753507014028E-01, -8.3988040014863330E-01,1,1,25
31, -8.7975951903807614E-01, -7.0843164137396242E-01,1,1,22
32, -8.7575150300601201E-01, -8.8442461099354075E-01,0,0,0
33, -8.7174348697394788E-01, -7.4877335783968113E-01,0,0,0
34, -8.6773547094188375E-01, -8.3235223786476409E-01,0,1,25
35, -8.6372745490981961E-01, -7.7960179844381194E-01,0,0,0
36, -8.5971943887775548E-01, -7.1564698405019789E-01,0,1,22
37, -8.5571142284569146E-01, -7.8025591491409907E-01,0,0,0
38, -8.5170340681362733E-01, -7.3417125716564069E-01,0,1,22
39, -8.4769539078156320E-01, -6.1488735682597118E-01,0,1,18
40, -8.4368737474949906E-01, -7.3352609906084998E-01,0,1,22
41, -8.3967935871743493E-01, -6.1250334846965848E-01,0,1,18
42, -8.3567134268537080E-01, -7.6171923374335104E-01,0,0,0
43, -8.3166332665330667E-01, -6.2094231907339070E-01,1,1,17
44, -8.2765531062124253E-01, -5.3998513158985306E-01,0,0,0
45, -8.2364729458917840E-01, -8.4502614918854002E-01,0,1,25
46, -8.1963927855711427E-01, -7.0303017755186670E-01,0,1,19
47, -8.1563126252505014E-01, -5.8509675487565704E-01,0,0,0
48, -8.1162324649298601E-01, -6.3949012386941140E-01,0,0,0
49, -8.0761523046092187E-01, -5.8553879105213902E-01,0,0,0
50, -8.0360721442885774E-01, -6.5553324379498112E-01,0,0,0
51, -7.9959919839679361E-01, -5.9227121379575520E-01,0,0,0
52, -7.9559118236472948E-01, -6.0363654356082530E-01,0,1,18
53, -7.9158316633266534E-01, -4.8974376773254613E-01,0,1,18
54, -7.8757515030060121E-01, -5.5479663313710537E-01,0,1,17
55, -7.8356713426853708E-01, -5.4012605557105797E-01,1,1,15
56, -7.7955911823647295E-01, -5.9206839376274334E-01,0,1,19
57, -7.7555110220440882E-01, -5.9011070233461715E-01,0,1,19
58, -7.7154308617234468E-01, -5.7769082737025901E-01,0,0,0
59, -7.6753507014028055E-01, -5.0351396889029731E-01,0,0,0
60, -7.6352705410821642E-01, -5.6073286668205391E-01,0,1,17
61, -7.5951903807615229E-01, -4.9585608760059152E-01,0,0,0
62, -7.5551102204408815E-01, -3.4498998019654120E-01,0,0,0
63, -7.5150300601202402E-01, -4.3331603574951266E-01,0,1,19
64, -7.4749498997995989E-01, -5.2107186253334703E-01,0,0,0
65, -7.4348697394789576E-01, -3.9087683412267593E-01,0,0,0
66, -7.3947895791583163E-01, -5.1160394567338741E-01,0,1,18
67, -7.3547094188376749E-01, -6.3399184658176333E-01,0,0,0
68, -7.3146292585170336E-01, -5.4357275657679904E-01,0,0,0
69, -7.2745490981963923E-01, -6.0457317332134686E-01,0,0,0
70, -7.2344689378757510E-01, -4.7501486629845491E-01,0,0,0
71, -7.1943887775551096E-01, -4.3740428517585778E-01,0,0,0
72, -7.1543086172344694E-01, -2.9674673846487126E-01,1,1,15
73, -7.1142284569138281E-01, -3.9669150148163262E-01,1,1,19
74, -7.0741482965931868E-01, -4.3235770162334652E-01,0,0,0
75, -7.0340681362725455E-01, -3.4046118075982995E-01,0,0,0
76, -6.9939879759519041E-01, -5.7568841991101161E-01,1,1,18
77, -6.9539078156312628E-01, -3.7193239847756732E-01,0,1,19
78, -6.9138276553106215E-01, -3.2109631555116697E-01,0,1,15
79, -6.8737474949899802E-01, -4.9303639866038335E-01,0,1,19
80, -6.8336673346693388E-01, -2.7523314347731342E-01,0,1,14
81, -6.7935871743486975E-01, -3.3163772227018640E-01,0,1,15
82, -6.7535070140280562E-01, -3.8392443591767533E-01,0,1,19
83, -6.7134268537074149E-01, -2.9206282145298018E-01,0,1,12
84, -6.6733466933867736E-01, -1.5301391005300305E-01,0,0,0
85, -6.6332665330661333E-01, -3.1210400620854706E-01,0,1,10
86, -6.5931863727454920E-01, -2.9877962764507149E-01,0,1,14
87, -6.5531062124248507E-01, -3.4737011444818966E-01,0,1,15
88, -6.5130260521042094E-01, -3.7059275997802521E-01,0,0,0
89, -6.4729458917835681E-01, -2.2816231303317397E-01,0,1,18
90, -6.4328657314629267E-01, -3.5505985236529469E-01,0,1,17
91, -6.3927855711422854E-01, -2.7283181525090566E-01,1,1,8
92, -6.3527054108216441E-01, -3.0875367790553815E-01,0,1,14
93, -6.3126252505010028E-01, -2.2420666404048920E-01,0,0,0
94, -6.2725450901803614E-01, -2.2781604961311641E-01,0,0,0
95, -6.2324649298597201E-01, -1.6348979043131207E-01,1,1,15
96, -6.1923847695390788E-01, -2.7927826581619553E-01,0,1,10
97, -6.1523046092184375E-01, -2.5205091666715718E-01,0,1,18
98, -6.1122244488977961E-01, -3.0074598704214384E-01,0,1,10
99, -6.0721442885771548E-01, -2.4997231852151991E-01,0,1,17
100, -6.0320641282565135E-01, -1.7622878620771454E-01,0,1,15
101, -5.9919839679358722E-01, -1.3783770425554628E-01,0,1,15
102, -5.9519038076152309E-01, -2.6415398745725621E-01,0,1,18
103, -5.9118236472945895E-01, -1.1279625585046509E-01,0,1,17
104, -5.8717434869739482E-01, -6.5897668690393568E-02,0,1,17
105, -5.8316633266533069E-01, -1.3325787307276532E-01,0,1,18
106, -5.7915831663326656E-01, -8.1729682618878474E-03,0,1,8
107, -5.7515030060120242E-01, -2.1220373713069068E-01,0,1,17
108, -5.7114228456913829E-01, -2.4185694540318994E-01,0,0,0
109, -5.6713426853707416E-01, -2.7656615698649062E-01,0,0,0
110, -5.6312625250501003E-01, -6.5689600908854090E-03,0,1,8
111, -5.5911823647294590E-01, -6.5887220437567173E-02,0,1,12
112, -5.5511022044088176E-01, -1.1466721455459994E-01,0,1,17
113, -5.5110220440881763E-01, -7.9806918712049646E-02,0,1,17
114, -5.4709418837675350E-01, -1.8422750053737713E-01,0,1,18
115, -5.4308617234468937E-01,  1.0948781367996738E-01,1,1,18
116, -5.3907815631262523E-01, -6.7818618067232272E-02,0,1,10
117, -5.3507014028056110E-01, -6.1388696992730772E-02,0,1,8
118, -5.3106212424849697E-01, -4.0629185850985794E-03,0,1,8
119, -5.2705410821643284E-01, -1.5627477893928612E-02,0,1,8
120, -5.2304609218436870E-01, -2.8181462426406900E-02,1,1,4
121, -5.1903807615230457E-01, -1.0131410874023410E-01,0,0,0
122, -5.1503006012024044E-01,  7.6573483303987791E-03,0,1,10
123, -5.1102204408817642E-01,  1.2851787154164987E-01,0,0,0
124, -5.0701402805611229E-01,  9.3605547580173643E-02,0,1,18
125, -5.0300601202404815E-01,  1.2144290608305547E-01,0,0,0
126, -4.9899799599198402E-01, -3.8893246098462855E-02,0,1,4
127, -4.9498997995991989E-01, -6.9148345540526249E-02,0,0,0
128, -4.9098196392785576E-01,  7.9731185363166330E-03,0,1,10
129, -4.8697394789579163E-01,  3.0510097191512316E-02,0,1,12
130, -4.8296593186372749E-01,  1.2160345775022090E-01,0,0,0
131, -4.7895791583166336E-01, -9.3313002040512266E-02,0,1,12
132, -4.7494989979959923E-01,  1.7246422595765065E-01,0,0,0
133, -4.7094188376753510E-01,  4.5475600578610650E-02,0,1,14
134, -4.6693386773547096E-01,  3.1981778933264468E-02,1,1,12
135, -4.6292585170340683E-01, -6.8200534276270652E-03,0,1,10
136, -4.5891783567134270E-01, -5.0224205091946944E-02,0,0,0
137, -4.5490981963927857E-01,  1.5603400743839602E-01,0,0,0
138, -4.5090180360721444E-01,  1.0406183016064344E-01,0,0,0
139, -4.4689378757515030E-01,  3.0155528704150780E-03,0,1,14
140, -4.4288577154308617E-01,  1.0622155148738363E-02,0,1,14
141, -4.3887775551102204E-01,  9.5381713034745658E-02,0,0,0
142, -4.3486973947895802E-01,  2.6378224306523540E-01,0,0,0
143, -4.3086172344689389E-01,  1.1750924499712384E-01,0,1,18
144, -4.2685370741482975E-01,  2.6041148920892002E-02,0,1,12
145, -4.2284569138276562E-01,  1.3464917210759322E-01,0,0,0
146, -4.1883767535070149E-01,  1.4050676371878337E-01,0,0,0
147, -4.1482965931863736E-01, -4.5410250072600439E-02,1,1,14
148, -4.1082164328657322E-01,  1.7401312410542857E-01,1,1,14
149, -4.0681362725450909E-01,  1.6789798307428758E-01,0,1,15
150, -4.0280561122244496E-01,  2.5008528674018354E-01,0,0,0
151, -3.9879759519038083E-01,  3.5032129721486593E-01,1,1,16
152, -3.9478957915831669E-01,  3.0054604404718721E-01,0,1,4
153, -3.9078156312625256E-01,  1.9692577850310844E-01,0,1,15
154, -3.8677354709418843E-01,  1.3793083311228951E-01,0,0,0
155, -3.8276553106212430E-01,  4.4033772213574024E-01,0,0,0
156, -3.7875751503006017E-01,  2.4722244466103874E-01,0,1,4
157, -3.7474949899799603E-01,  2.5161534535704361E-01,0,1,4
158, -3.7074148296593190E-01,  2.5658702709933595E-01,0,1,4
159, -3.6673346693386777E-01,  2.8237984699369284E-01,0,1,4
160, -3.6272545090180364E-01,  2.6300026524247733E-01,1,1,2
161, -3.5871743486973950E-01,  2.3667216971010208E-01,0,1,4
162, -3.5470941883767537E-01,  2.4683244702541790E-01,0,1,4
163, -3.5070140280561124E-01,  2.9597693277149767E-01,0,1,8
164, -3.4669338677354711E-01,  2.6313924476220457E-01,0,1,4
165, -3.4268537074148298E-01,  2.5760159590286091E-01,0,1,4
166, -3.3867735470941884E-01,  3.3115970879651407E-01,0,1,18
167, -3.3466933867735471E-01,  3.1026314525162213E-01,0,1,16
168, -3.3066132264529069E-01,  4.5899679379603370E-01,0,0,0
169, -3.2665330661322656E-01,  1.3461580210210591E-01,0,0,0
170, -3.2264529058116242E-01,  4.4202996699147212E-01,1,1,15
171, -3.1863727454909829E-01,  4.6241226630161375E-01,0,0,0
172, -3.1462925851703416E-01,  2.0487026437327971E-01,0,1,10
173, -3.1062124248497003E-01,  3.5134250750363205E-01,0,1,15
174, -3.0661322645290590E-01,  3.5705827781452487E-01,0,1,18
175, -3.0260521042084176E-01,  2.8218864358089080E-01,0,1,14
176, -2.9859719438877763E-01,  3.4058027621517473E-01,0,0,0
177, -2.9458917835671350E-01,  3.2197557564930668E-01,0,1,18
178, -2.9058116232464937E-01,  5.5901931082459111E-01,0,1,14
179, -2.8657314629258523E-01,  5.0170797886662644E-01,0,1,15
180, -2.8256513026052110E-01,  5.3659414707849051E-01,0,1,14
181, -2.7855711422845697E-01,  5.0061953666654491E-01,0,1,14
182, -2.7454909819639284E-01,  3.6057766190983598E-01,0,1,18
183, -2.7054108216432871E-01,  4.1695621436896069E-01,0,1,16
184, -2.6653306613226457E-01,  5.0608383263370427E-01,0,1,14
185, -2.6252505010020044E-01,  3.7717967508824346E-01,0,0,0
186, -2.5851703406813631E-01,  5.4000580627751837E-01,1,1,10
187, -2.5450901803607218E-01,  4.7175593207520483E-01,0,1,15
188, -2.5050100200400804E-01,  4.6901233138801612E-01,0,1,15
189, -2.4649298597194391E-01,  5.6389082551239145E-01,0,1,13
190, -2.4248496993987978E-01,  5.5057112503912364E-01,0,1,13
191, -2.3847695390781565E-01,  4.9416879891884230E-01,0,1,14
192, -2.3446893787575152E-01,  6.2380850851763681E-01,0,0,0
193, -2.3046092184368749E-01,  4.5259309010463322E-01,0,1,15
194, -2.2645290581162336E-01,  5.9636903693229437E-01,0,1,16
195, -2.2244488977955923E-01,  6.0255832107835228E-01,0,1,15
196, -2.1843687374749510E-01,  5.3836253735989059E-01,0,1,13
197, -2.1442885771543096E-01,  5.9723292634850755E-01,0,1,15
198, -2.1042084168336683E-01,  4.7906923052244210E-01,0,1,14
199, -2.0641282565130270E-01,  6.6109651023394667E-01,0,1,15
200, -2.0240480961923857E-01,  5.8039820984608370E-01,0,1,15
201, -1.9839679358717444E-01,  5.6138857118412799E-01,0,1,15
202, -1.9438877755511030E-01,  6.9514318295673050E-01,0,1,15
