experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
3102,0.5,55,1.0,0.25,2,0.8935091291544349,39,1,500,500,0,1.0,1.0,1.0,1.0,0.127370379,0.001088702,0
3103,0.5,55,1.0,0.25,3,0.8935091291544349,39,1,500,500,0,1.0,1.0,1.0,1.0,0.129181941,0.001356087,0
3104,0.5,55,1.0,0.25,4,0.8935091291544349,39,1,500,500,0,1.0,1.0,1.0,1.0,0.128034623,0.001093219,0
3105,0.5,55,1.0,0.25,5,0.8935091291544349,39,1,500,500,0,1.0,1.0,1.0,1.0,0.12729188,0.001586674,0
3106,0.5,55,1.0,0.4375,1,0.8935091291544349,39,1,500,500,0,1.0,1.0,1.0,1.0,0.127287274,0.001070306,0
3107,0.5,55,1.0,0.4375,2,0.8935091291544349,39,1,500,500,0,1.0,1.0,1.0,1.0,0.123158461,0.001051983,0
3108,0.5,55,1.0,0.4375,3,0.8935091291544349,39,1,500,500,0,1.0,1.0,1.0,1.0,0.121317965,0.001016859,0
3109,0.5,55,1.0,0.4375,4,0.8935091291544349,39,1,500,500,0,1.0,1.0,1.0,1.0,0.12672993,0.001060109,0
3078,0.5,55,0.8125,0.25,3,0.8935091291544349,39,1,500,500,0,1.0,1.0,1.0,1.0,0.115930369,0.001039125,0
3079,0.5,55,0.8125,0.25,4,0.8935091291544349,39,1,500,500,0,1.0,1.0,1.0,1.0,0.118331196,0.001157464,0
3080,0.5,55,0.8125,0.25,5,0.8935091291544349,39,1,500,500,0,1.0,1.0,1.0,1.0,0.113951687,0.001173216,0
3081,0.5,55,0.8125,0.4375,1,0.8935091291544349,39,1,500,500,0,1.0,1.0,1.0,1.0,0.11969294,0.001026945,0
1861,0.275,55,1.0,0.625,1,0.7011347138435725,39,1,500,500,0,1.0,1.0,1.0,1.0,0.105654748,0.000964642,0
1734,0.275,45,1.0,0.4375,4,0.7011347138435725,45,1,500,500,0,1.0,1.0,1.0,1.0,0.116813227,0.000852166,0
1735,0.275,45,1.0,0.4375,5,0.7011347138435725,45,1,500,500,0,1.0,1.0,1.0,1.0,0.117008231,0.0008691289999999998,0
1736,0.275,45,1.0,0.625,1,0.7011347138435725,45,1,500,500,0,1.0,1.0,1.0,1.0,0.115869459,0.000856897,0
1737,0.275,45,1.0,0.625,2,0.7011347138435725,45,1,500,500,0,1.0,1.0,1.0,1.0,0.115674336,0.0008255139999999998,0
1738,0.275,45,1.0,0.625,3,0.7011347138435725,45,1,500,500,0,1.0,1.0,1.0,1.0,0.115142671,0.000846707,0
1739,0.275,45,1.0,0.625,4,0.7011347138435725,45,1,500,500,0,1.0,1.0,1.0,1.0,0.115410568,0.0008556739999999998,0
1740,0.275,45,1.0,0.625,5,0.7011347138435725,45,1,500,500,0,1.0,1.0,1.0,1.0,0.118096521,0.000871804,0
1741,0.275,45,1.0,0.8125,1,0.7011347138435725,45,1,500,500,0,1.0,1.0,1.0,1.0,0.114833961,0.0008643979999999998,0
1742,0.275,45,1.0,0.8125,2,0.7011347138435725,45,1,500,500,0,1.0,1.0,1.0,1.0,0.116812102,0.000891418,0
1743,0.275,45,1.0,0.8125,3,0.7011347138435725,45,1,500,500,0,1.0,1.0,1.0,1.0,0.116402135,0.000860608,0
1744,0.275,45,1.0,0.8125,4,0.7011347138435725,45,1,500,500,0,1.0,1.0,1.0,1.0,0.116705183,0.00084842,0
1745,0.275,45,1.0,0.8125,5,0.7011347138435725,45,1,500,500,0,1.0,1.0,1.0,1.0,0.114966358,0.000947887,0
1746,0.275,45,1.0,1.0,1,0.7011347138435725,45,1,500,500,0,1.0,1.0,1.0,1.0,0.116115326,0.000863844,0
1747,0.275,45,1.0,1.0,2,0.7011347138435725,45,1,500,500,0,1.0,1.0,1.0,1.0,0.117660343,0.000851808,0
1748,0.275,45,1.0,1.0,3,0.7011347138435725,45,1,500,500,0,1.0,1.0,1.0,1.0,0.114493031,0.00084009,0
3124,0.5,55,1.0,1.0,4,0.8935091291544349,39,1,500,500,0,1.0,1.0,1.0,1.0,0.119518158,0.001005702,0
3125,0.5,55,1.0,1.0,5,0.8935091291544349,39,1,500,500,0,1.0,1.0,1.0,1.0,0.119124703,0.001139833,0
