experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,1,  4.1681612389541584E-01,109,8,490,490,0,  6.5350360919602113E-01,  9.7999999999999998E-01,  9.7999999999999998E-01,  7.8412258584149652E-01,  1.4224290100000000E-01,  6.1349199999999999E-04,0
2,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,2,  4.1681612389541584E-01,109,10,492,490,2,  6.2327796796637380E-01,  9.8399999999999999E-01,  9.7999999999999998E-01,  7.6316048960081673E-01,  1.4208704999999999E-01,  6.1259599999999997E-04,0
3,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,3,  4.1681612389541584E-01,109,11,494,490,4,  5.9548612621180919E-01,  9.8799999999999999E-01,  9.7999999999999998E-01,  7.4309497627839693E-01,  1.4065985900000000E-01,  6.2436600000000001E-04,0
4,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,4,  4.1681612389541584E-01,109,12,497,490,7,  5.5340962575513752E-01,  9.9399999999999999E-01,  9.7999999999999998E-01,  7.1098067227307393E-01,  1.3968959300000000E-01,  6.6973399999999995E-04,0
5,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,5,  4.1681612389541584E-01,109,15,509,490,19,  4.8026591879327307E-01,  1.0180000000000000E+00,  9.7999999999999998E-01,  6.5263542232253191E-01,  1.4287275999999999E-01,  6.5988400000000001E-04,0
6,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,1,  4.1681612389541584E-01,109,8,490,490,0,  6.5350360919602113E-01,  9.7999999999999998E-01,  9.7999999999999998E-01,  7.8412258584149652E-01,  1.4273110400000000E-01,  6.3750999999999999E-04,0
7,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,2,  4.1681612389541584E-01,109,10,492,490,2,  6.2327796796637380E-01,  9.8399999999999999E-01,  9.7999999999999998E-01,  7.6316048960081673E-01,  1.4166984399999999E-01,  6.4929699999999996E-04,0
8,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,3,  4.1681612389541584E-01,109,11,494,490,4,  5.9548612621180919E-01,  9.8799999999999999E-01,  9.7999999999999998E-01,  7.4309497627839693E-01,  1.4825916500000000E-01,  6.3431399999999997E-04,0
9,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,4,  4.1681612389541584E-01,109,12,497,490,7,  5.5340962575513752E-01,  9.9399999999999999E-01,  9.7999999999999998E-01,  7.1098067227307393E-01,  1.4464832799999999E-01,  6.2060200000000005E-04,0
10,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,5,  4.1681612389541584E-01,109,15,509,490,19,  4.8026591879327307E-01,  1.0180000000000000E+00,  9.7999999999999998E-01,  6.5263542232253191E-01,  1.4125337600000001E-01,  6.1035199999999999E-04,0
