vector_index,x,y,is_seed,n_memberships,cluster_id
1, -1.0000000000000000E+00, -1.3802148857635972E+00,1,1,7
2, -9.8787878787878791E-01, -9.5909864824821423E-01,0,1,6
3, -9.7575757575757571E-01, -8.8786410219846601E-01,0,1,6
4, -9.6363636363636362E-01, -9.9298603052331891E-01,0,1,6
5, -9.5151515151515154E-01, -9.1520749841164362E-01,1,1,6
6, -9.3939393939393945E-01, -8.4072585370846753E-01,0,1,6
7, -9.2727272727272725E-01, -7.0162553501833846E-01,0,1,3
8, -9.1515151515151516E-01, -1.1452790277955773E+00,0,0,0
9, -9.0303030303030307E-01, -8.5492401378853589E-01,0,0,0
10, -8.9090909090909087E-01, -4.8015096220663595E-01,0,1,3
11, -8.7878787878787878E-01, -4.7424349591616632E-01,0,1,3
12, -8.6666666666666670E-01, -5.6314594777817739E-01,0,1,3
13, -8.5454545454545450E-01, -6.0172597229977376E-01,0,1,3
14, -8.4242424242424241E-01, -3.5392153516806713E-01,0,1,3
15, -8.3030303030303032E-01, -2.7703646028472750E-01,1,1,3
16, -8.1818181818181812E-01, -6.6217963397300672E-01,0,1,3
17, -8.0606060606060603E-01, -8.0600770077887607E-01,1,1,3
18, -7.9393939393939394E-01, -6.4193725140368696E-01,0,1,3
19, -7.8181818181818186E-01,  5.5702739118047018E-02,0,1,3
20, -7.6969696969696966E-01, -8.5326520793897820E-01,0,1,3
21, -7.5757575757575757E-01, -6.0925934305739859E-01,1,1,3
22, -7.4545454545454548E-01, -7.7344732140761718E-01,0,1,3
23, -7.3333333333333339E-01, -4.4171389409118972E-01,0,1,3
24, -7.2121212121212119E-01, -6.8296244820321594E-01,0,1,3
25, -7.0909090909090911E-01, -4.3993202274854176E-01,0,1,3
26, -6.9696969696969702E-01, -7.8395842594314580E-01,0,1,3
27, -6.8484848484848482E-01, -2.4617283668003953E-01,0,1,3
28, -6.7272727272727273E-01, -1.0098549416095048E-01,1,1,3
29, -6.6060606060606064E-01, -3.9800084562481308E-01,0,1,3
30, -6.4848484848484844E-01, -3.2399569838483733E-01,0,1,3
31, -6.3636363636363635E-01, -3.0540871887353516E-01,1,1,3
32, -6.2424242424242427E-01, -2.1230271343984347E-01,0,1,3
33, -6.1212121212121207E-01, -2.3187634163570978E-01,0,1,3
34, -5.9999999999999998E-01, -4.6376609513861133E-02,0,1,3
35, -5.8787878787878789E-01,  7.0850250932613351E-02,0,1,3
36, -5.7575757575757569E-01, -3.1432939601358800E-01,0,1,3
37, -5.6363636363636371E-01, -1.8913842582758678E-01,0,1,3
38, -5.5151515151515151E-01,  7.7293586754645927E-02,0,1,3
39, -5.3939393939393931E-01, -3.6312168839968512E-01,0,1,3
40, -5.2727272727272734E-01, -4.4868971091456866E-01,0,1,3
41, -5.1515151515151514E-01,  1.4960160276665441E-02,0,1,3
42, -5.0303030303030305E-01,  9.3208676153492348E-02,1,1,3
43, -4.9090909090909096E-01, -1.2627821940890038E-01,1,1,3
44, -4.7878787878787876E-01, -7.3305968399848556E-02,0,1,3
45, -4.6666666666666667E-01, -8.5371797681513123E-02,0,1,3
46, -4.5454545454545459E-01, -8.2475956959796065E-02,0,1,3
47, -4.4242424242424239E-01,  2.5385067927243521E-01,0,1,3
48, -4.3030303030303030E-01, -9.6705758005588338E-02,0,1,3
49, -4.1818181818181821E-01,  1.1053179134969382E-01,0,1,3
50, -4.0606060606060601E-01,  6.8115543758174857E-03,0,1,3
51, -3.9393939393939392E-01, -7.8936583059030951E-02,0,1,3
52, -3.8181818181818183E-01,  4.1039927131299048E-01,0,1,3
53, -3.6969696969696975E-01,  1.5664101617135273E-01,0,1,3
54, -3.5757575757575755E-01,  3.2253650093263631E-01,0,1,3
55, -3.4545454545454546E-01,  7.4757331307070407E-03,1,1,3
56, -3.3333333333333337E-01,  1.8494544258203807E-01,0,1,3
57, -3.2121212121212117E-01,  5.0879333371475877E-01,0,1,3
58, -3.0909090909090908E-01,  8.9927247298724378E-01,0,1,3
59, -2.9696969696969699E-01,  1.0817393182543655E-02,0,1,3
60, -2.8484848484848480E-01,  3.9008147124514514E-01,0,1,3
61, -2.7272727272727271E-01,  5.3700157417415462E-01,0,1,3
62, -2.6060606060606062E-01,  3.5556784814002201E-01,0,1,3
63, -2.4848484848484853E-01,  6.7293470042912773E-01,0,1,3
