experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,1,  4.2111634084239141E-01,103,3,491,491,0,  9.0788994130380007E-01,  9.8199999999999998E-01,  9.8199999999999998E-01,  9.4349189640669684E-01,  1.2582526599999999E-01,  5.0615100000000004E-04,0
2,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,2,  4.2111634084239141E-01,103,6,494,491,3,  7.0883543513844294E-01,  9.8799999999999999E-01,  9.8199999999999998E-01,  8.2545354182757569E-01,  1.2228680900000000E-01,  5.4787800000000002E-04,0
3,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,3,  4.2111634084239141E-01,103,7,496,491,5,  6.6989209370658165E-01,  9.9199999999999999E-01,  9.8199999999999998E-01,  7.9973057152561067E-01,  1.2653322500000000E-01,  5.2862099999999995E-04,0
4,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,4,  4.2111634084239141E-01,103,7,496,491,5,  6.6989209370658165E-01,  9.9199999999999999E-01,  9.8199999999999998E-01,  7.9973057152561067E-01,  1.2736964400000000E-01,  5.5729499999999997E-04,0
5,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,5,  4.2111634084239141E-01,103,7,496,491,5,  6.6989209370658165E-01,  9.9199999999999999E-01,  9.8199999999999998E-01,  7.9973057152561067E-01,  1.2382837600000000E-01,  5.4049000000000002E-04,0
6,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,1,  4.2111634084239141E-01,103,3,491,491,0,  9.0788994130380007E-01,  9.8199999999999998E-01,  9.8199999999999998E-01,  9.4349189640669684E-01,  1.2579791800000001E-01,  5.0319799999999995E-04,0
7,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,2,  4.2111634084239141E-01,103,6,494,491,3,  7.0883543513844294E-01,  9.8799999999999999E-01,  9.8199999999999998E-01,  8.2545354182757569E-01,  1.2494379200000000E-01,  5.1248600000000004E-04,0
8,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,3,  4.2111634084239141E-01,103,7,496,491,5,  6.6989209370658165E-01,  9.9199999999999999E-01,  9.8199999999999998E-01,  7.9973057152561067E-01,  1.2319715900000000E-01,  5.9215899999999998E-04,0
9,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,4,  4.2111634084239141E-01,103,7,496,491,5,  6.6989209370658165E-01,  9.9199999999999999E-01,  9.8199999999999998E-01,  7.9973057152561067E-01,  1.2591994900000000E-01,  5.3334800000000000E-04,0
10,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,5,  4.2111634084239141E-01,103,7,496,491,5,  6.6989209370658165E-01,  9.9199999999999999E-01,  9.8199999999999998E-01,  7.9973057152561067E-01,  1.2565561800000000E-01,  5.4913300000000004E-04,0
