experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
2505,0.5,15,0.25,0.25,5,0.904384641577712,100,7,507,494,13,0.33288559760739583,1.014,0.9880000000000002,0.50122444931257,0.10613215,0.000910232,0
2510,0.5,15,0.25,0.4375,5,0.904384641577712,100,7,507,494,13,0.33288559760739583,1.014,0.9880000000000002,0.50122444931257,0.106513528,0.000973125,0
2515,0.5,15,0.25,0.625,5,0.904384641577712,100,7,507,494,13,0.33288559760739583,1.014,0.9880000000000002,0.50122444931257,0.105788941,0.001213714,0
2520,0.5,15,0.25,0.8125,5,0.904384641577712,100,7,507,494,13,0.33288559760739583,1.014,0.9880000000000002,0.50122444931257,0.105408987,0.000885046,0
2525,0.5,15,0.25,1.0,5,0.904384641577712,100,7,507,494,13,0.33288559760739583,1.014,0.9880000000000002,0.50122444931257,0.102091042,0.000889743,0
3020,0.5,55,0.25,0.8125,5,0.904384641577712,39,8,490,483,7,0.36793992105625234,0.98,0.966,0.5350106736991277,0.041097662,0.000859191,0
3004,0.5,55,0.25,0.25,4,0.904384641577712,39,8,490,483,7,0.36793992105625234,0.98,0.966,0.5350106736991277,0.043638593,0.0009051930000000002,0
3010,0.5,55,0.25,0.4375,5,0.904384641577712,39,8,490,483,7,0.36793992105625234,0.98,0.966,0.5350106736991277,0.041417953,0.000867082,0
3014,0.5,55,0.25,0.625,4,0.904384641577712,39,8,490,483,7,0.36793992105625234,0.98,0.966,0.5350106736991277,0.042563323,0.000999416,0
3005,0.5,55,0.25,0.25,5,0.904384641577712,39,8,490,483,7,0.36793992105625234,0.98,0.966,0.5350106736991277,0.041813212,0.000859796,0
3025,0.5,55,0.25,1.0,5,0.904384641577712,39,8,490,483,7,0.36793992105625234,0.98,0.966,0.5350106736991277,0.041628149,0.000965919,0
3009,0.5,55,0.25,0.4375,4,0.904384641577712,39,8,490,483,7,0.36793992105625234,0.98,0.966,0.5350106736991277,0.040553204,0.000859956,0
3019,0.5,55,0.25,0.8125,4,0.904384641577712,39,8,490,483,7,0.36793992105625234,0.98,0.966,0.5350106736991277,0.039955856,0.000880597,0
3015,0.5,55,0.25,0.625,5,0.904384641577712,39,8,490,483,7,0.36793992105625234,0.98,0.966,0.5350106736991277,0.042179273,0.001231849,0
3024,0.5,55,0.25,1.0,4,0.904384641577712,39,8,490,483,7,0.36793992105625234,0.98,0.966,0.5350106736991277,0.040836291,0.0008928579999999998,0
2504,0.5,15,0.25,0.25,4,0.904384641577712,100,6,503,494,9,0.3683314403307389,1.006,0.9880000000000002,0.5392315392036012,0.104380085,0.000921867,0
2524,0.5,15,0.25,1.0,4,0.904384641577712,100,6,503,494,9,0.3683314403307389,1.006,0.9880000000000002,0.5392315392036012,0.103768491,0.001060062,0
2514,0.5,15,0.25,0.625,4,0.904384641577712,100,6,503,494,9,0.3683314403307389,1.006,0.9880000000000002,0.5392315392036012,0.103077008,0.000945771,0
2519,0.5,15,0.25,0.8125,4,0.904384641577712,100,6,503,494,9,0.3683314403307389,1.006,0.9880000000000002,0.5392315392036012,0.106874205,0.001223298,0
2509,0.5,15,0.25,0.4375,4,0.904384641577712,100,6,503,494,9,0.3683314403307389,1.006,0.9880000000000002,0.5392315392036012,0.106133843,0.000996809,0
3003,0.5,55,0.25,0.25,3,0.904384641577712,39,7,487,483,4,0.3758347203671336,0.974,0.966,0.5423819851633759,0.041552355,0.000911629,0
3008,0.5,55,0.25,0.4375,3,0.904384641577712,39,7,487,483,4,0.3758347203671336,0.974,0.966,0.5423819851633759,0.040639086,0.00105918,0
3023,0.5,55,0.25,1.0,3,0.904384641577712,39,7,487,483,4,0.3758347203671336,0.974,0.966,0.5423819851633759,0.040961372,0.000950081,0
3018,0.5,55,0.25,0.8125,3,0.904384641577712,39,7,487,483,4,0.3758347203671336,0.974,0.966,0.5423819851633759,0.041861957,0.0008939799999999998,0
3013,0.5,55,0.25,0.625,3,0.904384641577712,39,7,487,483,4,0.3758347203671336,0.974,0.966,0.5423819851633759,0.040445901,0.0008868959999999999,0
2775,0.5,35,0.25,1.0,5,0.904384641577712,56,7,494,490,4,0.3773540206566396,0.9880000000000002,0.98,0.5461232277756898,0.057892677,0.0008602189999999998,0
2770,0.5,35,0.25,0.8125,5,0.904384641577712,56,7,494,490,4,0.3773540206566396,0.9880000000000002,0.98,0.5461232277756898,0.059830356,0.000863244,0
2765,0.5,35,0.25,0.625,5,0.904384641577712,56,7,494,490,4,0.3773540206566396,0.9880000000000002,0.98,0.5461232277756898,0.060706623,0.0008780259999999998,0
2755,0.5,35,0.25,0.25,5,0.904384641577712,56,7,494,490,4,0.3773540206566396,0.9880000000000002,0.98,0.5461232277756898,0.060188066,0.000904017,0
2760,0.5,35,0.25,0.4375,5,0.904384641577712,56,7,494,490,4,0.3773540206566396,0.9880000000000002,0.98,0.5461232277756898,0.058899832,0.001214823,0
