experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
3105,0.5,55,1.0,0.25,5,0.8956206023612148,40,1,500,500,0,1.0,1.0,1.0,1.0,0.130915861,0.000973028,0
3106,0.5,55,1.0,0.4375,1,0.8956206023612148,40,1,500,500,0,1.0,1.0,1.0,1.0,0.128853995,0.000973252,0
3107,0.5,55,1.0,0.4375,2,0.8956206023612148,40,1,500,500,0,1.0,1.0,1.0,1.0,0.132614311,0.000960037,0
3108,0.5,55,1.0,0.4375,3,0.8956206023612148,40,1,500,500,0,1.0,1.0,1.0,1.0,0.132761268,0.000977827,0
3109,0.5,55,1.0,0.4375,4,0.8956206023612148,40,1,500,500,0,1.0,1.0,1.0,1.0,0.136275034,0.000936409,0
70,0.05,15,0.625,0.8125,5,0.42035138125475746,110,1,500,500,0,1.0,1.0,1.0,1.0,0.200859289,0.000718959,0
71,0.05,15,0.625,1.0,1,0.42035138125475746,110,1,500,500,0,1.0,1.0,1.0,1.0,0.203528843,0.000609032,0
72,0.05,15,0.625,1.0,2,0.42035138125475746,110,1,500,500,0,1.0,1.0,1.0,1.0,0.201216409,0.000557813,0
73,0.05,15,0.625,1.0,3,0.42035138125475746,110,1,500,500,0,1.0,1.0,1.0,1.0,0.203255018,0.000580678,0
74,0.05,15,0.625,1.0,4,0.42035138125475746,110,1,500,500,0,1.0,1.0,1.0,1.0,0.206338657,0.000659909,0
75,0.05,15,0.625,1.0,5,0.42035138125475746,110,1,500,500,0,1.0,1.0,1.0,1.0,0.202725799,0.000557235,0
81,0.05,15,0.8125,0.4375,1,0.42035138125475746,110,1,500,500,0,1.0,1.0,1.0,1.0,0.281926258,0.000736716,0
82,0.05,15,0.8125,0.4375,2,0.42035138125475746,110,1,500,500,0,1.0,1.0,1.0,1.0,0.280764208,0.000770473,0
83,0.05,15,0.8125,0.4375,3,0.42035138125475746,110,1,500,500,0,1.0,1.0,1.0,1.0,0.273985914,0.00058132,0
84,0.05,15,0.8125,0.4375,4,0.42035138125475746,110,1,500,500,0,1.0,1.0,1.0,1.0,0.267810567,0.000599634,0
1976,0.3875,15,1.0,0.25,1,0.7694868445899563,107,1,500,500,0,1.0,1.0,1.0,1.0,0.345521859,0.000889497,0
1977,0.3875,15,1.0,0.25,2,0.7694868445899563,107,1,500,500,0,1.0,1.0,1.0,1.0,0.346376365,0.000889288,0
1978,0.3875,15,1.0,0.25,3,0.7694868445899563,107,1,500,500,0,1.0,1.0,1.0,1.0,0.345467368,0.000880676,0
1979,0.3875,15,1.0,0.25,4,0.7694868445899563,107,1,500,500,0,1.0,1.0,1.0,1.0,0.363269471,0.000932692,0
1980,0.3875,15,1.0,0.25,5,0.7694868445899563,107,1,500,500,0,1.0,1.0,1.0,1.0,0.362933179,0.000824906,0
1981,0.3875,15,1.0,0.4375,1,0.7694868445899563,107,1,500,500,0,1.0,1.0,1.0,1.0,0.347544262,0.00086258,0
1982,0.3875,15,1.0,0.4375,2,0.7694868445899563,107,1,500,500,0,1.0,1.0,1.0,1.0,0.351934948,0.000868381,0
1983,0.3875,15,1.0,0.4375,3,0.7694868445899563,107,1,500,500,0,1.0,1.0,1.0,1.0,0.348708678,0.00082501,0
1984,0.3875,15,1.0,0.4375,4,0.7694868445899563,107,1,500,500,0,1.0,1.0,1.0,1.0,0.349934452,0.000913257,0
1985,0.3875,15,1.0,0.4375,5,0.7694868445899563,107,1,500,500,0,1.0,1.0,1.0,1.0,0.358715383,0.000883468,0
1986,0.3875,15,1.0,0.625,1,0.7694868445899563,107,1,500,500,0,1.0,1.0,1.0,1.0,0.348470482,0.000883647,0
1987,0.3875,15,1.0,0.625,2,0.7694868445899563,107,1,500,500,0,1.0,1.0,1.0,1.0,0.348851131,0.000833679,0
1988,0.3875,15,1.0,0.625,3,0.7694868445899563,107,1,500,500,0,1.0,1.0,1.0,1.0,0.357347673,0.0010594,0
1989,0.3875,15,1.0,0.625,4,0.7694868445899563,107,1,500,500,0,1.0,1.0,1.0,1.0,0.378637654,0.001114804,0
3125,0.5,55,1.0,1.0,5,0.8956206023612148,40,1,500,500,0,1.0,1.0,1.0,1.0,0.132425432,0.0009295550000000002,0
