parameter,value,best_count,worst_count
mean_dist_quant,0.05,10,0
mean_dist_quant,0.1625,0,0
mean_dist_quant,0.275,0,0
mean_dist_quant,0.3875,14,0
mean_dist_quant,0.5,6,30
k_seeding,15.0,24,0
k_seeding,25.0,0,5
k_seeding,35.0,0,10
k_seeding,45.0,0,10
k_seeding,55.0,6,5
alpha_mad,0.25,0,30
alpha_mad,0.4375,0,0
alpha_mad,0.625,6,0
alpha_mad,0.8125,4,0
alpha_mad,1.0,20,0
alpha_accept,0.25,6,5
alpha_accept,0.4375,13,6
alpha_accept,0.625,4,8
alpha_accept,0.8125,1,6
alpha_accept,1.0,6,5
min_intersection,1.0,6,0
min_intersection,2.0,6,0
min_intersection,3.0,6,3
min_intersection,4.0,6,11
min_intersection,5.0,6,16
