vector_index,x,y,is_seed,n_memberships,cluster_id
1, -1.0000000000000000E+00, -1.0046737848415890E+00,0,1,7
2, -9.8787878787878791E-01, -1.1230828250763407E+00,1,1,7
3, -9.7575757575757571E-01, -8.6122762611686499E-01,0,0,0
4, -9.6363636363636362E-01, -1.1479010176365168E+00,0,1,7
5, -9.5151515151515154E-01, -1.0617605483709118E+00,0,1,7
6, -9.3939393939393945E-01, -8.3660147242942517E-01,0,1,5
7, -9.2727272727272725E-01, -8.1237975865120526E-01,0,1,5
8, -9.1515151515151516E-01, -8.8130941893323322E-01,0,1,5
9, -9.0303030303030307E-01, -7.9423483883634660E-01,1,1,5
10, -8.9090909090909087E-01, -9.8433258548042213E-01,0,0,0
11, -8.7878787878787878E-01, -7.0101772041810961E-01,0,1,5
12, -8.6666666666666670E-01, -7.1335529436904566E-01,0,1,5
13, -8.5454545454545450E-01, -7.1274233735761261E-01,0,1,5
14, -8.4242424242424241E-01, -6.8318116627746306E-01,0,2,3
14, -8.4242424242424241E-01, -6.8318116627746306E-01,0,2,5
15, -8.3030303030303032E-01, -6.2114572651061806E-01,0,1,3
16, -8.1818181818181812E-01, -6.3867575824346512E-01,0,2,3
16, -8.1818181818181812E-01, -6.3867575824346512E-01,0,2,5
17, -8.0606060606060603E-01, -7.6204565233970967E-01,0,1,5
18, -7.9393939393939394E-01, -4.1217220911698604E-01,0,1,3
19, -7.8181818181818186E-01, -4.6757229808208761E-01,0,1,3
20, -7.6969696969696966E-01, -6.4218951235032562E-01,0,1,3
21, -7.5757575757575757E-01, -5.4276249358964235E-01,0,1,3
22, -7.4545454545454548E-01, -5.0979182612157425E-01,0,1,3
23, -7.3333333333333339E-01, -3.8035870134594973E-01,0,1,3
24, -7.2121212121212119E-01, -6.1516575724982381E-01,0,1,3
25, -7.0909090909090911E-01, -4.5810247933620135E-01,0,1,3
26, -6.9696969696969702E-01, -5.3479030940639438E-01,0,1,3
27, -6.8484848484848482E-01, -3.9250461096323669E-01,0,1,3
28, -6.7272727272727273E-01, -3.8325461690133783E-01,1,1,3
29, -6.6060606060606064E-01, -3.1483659582150431E-01,0,1,3
30, -6.4848484848484844E-01, -3.4535964889043158E-01,0,1,3
31, -6.3636363636363635E-01, -3.3280914403851464E-01,0,1,3
32, -6.2424242424242427E-01, -1.9891231314379670E-01,0,1,3
33, -6.1212121212121207E-01, -1.8786860496701768E-01,0,1,3
34, -5.9999999999999998E-01, -1.5588813257774059E-01,0,1,3
35, -5.8787878787878789E-01, -1.8990958299684318E-01,0,1,3
