vector_index,x,y,is_seed,n_memberships,cluster_id
1, -1.0000000000000000E+00,  1.4062850844400104E-01,0,1,1
2, -9.9599198396793587E-01,  1.3182190930000104E-01,0,1,1
3, -9.9198396793587174E-01,  8.3425655184970221E-02,0,1,1
4, -9.8797595190380760E-01, -2.0092603971267173E-01,0,1,1
5, -9.8396793587174347E-01,  3.8387325689206719E-03,0,1,1
6, -9.7995991983967934E-01,  2.9393922985541532E-01,0,1,1
7, -9.7595190380761521E-01, -5.9719655822486756E-02,0,1,1
8, -9.7194388777555107E-01, -3.3098369370794811E-01,1,1,1
9, -9.6793587174348694E-01,  1.5468357545686021E-01,0,1,1
10, -9.6392785571142281E-01,  1.9636097615647499E-01,0,1,1
11, -9.5991983967935868E-01,  2.7629037756019431E-01,0,1,1
12, -9.5591182364729455E-01,  4.1918861291879972E-01,0,1,1
13, -9.5190380761523041E-01,  4.2513980468875312E-01,0,1,1
14, -9.4789579158316628E-01,  3.7331762485328079E-01,0,1,1
15, -9.4388777555110226E-01,  5.8441104165482471E-01,0,1,1
16, -9.3987975951903813E-01,  6.5032931232250457E-02,0,1,1
17, -9.3587174348697399E-01,  4.9303148009107450E-01,0,1,1
18, -9.3186372745490986E-01,  5.4046235775058749E-01,0,1,1
19, -9.2785571142284573E-01,  1.9001852317562934E-01,0,1,1
20, -9.2384769539078160E-01,  1.5985543767423543E-01,0,1,1
21, -9.1983967935871747E-01,  3.3344772925014970E-01,1,1,1
22, -9.1583166332665333E-01,  3.7222839486040160E-01,0,1,1
23, -9.1182364729458920E-01,  6.7680115022748755E-01,0,1,1
24, -9.0781563126252507E-01,  4.2445643486035967E-01,0,1,1
25, -9.0380761523046094E-01,  3.9699430806429681E-01,0,1,1
26, -8.9979959919839680E-01,  4.6647671682049074E-01,0,1,1
27, -8.9579158316633267E-01,  8.3269599054164889E-01,0,1,1
28, -8.9178356713426854E-01,  6.3135807683488354E-01,0,1,1
29, -8.8777555110220441E-01,  6.1228035031777384E-01,0,1,1
30, -8.8376753507014028E-01,  6.4509959359677271E-01,0,1,1
31, -8.7975951903807614E-01,  9.4405985265314607E-01,0,1,1
32, -8.7575150300601201E-01,  5.5392572568252985E-01,0,1,1
33, -8.7174348697394788E-01,  9.8452772116781184E-01,0,1,1
34, -8.6773547094188375E-01,  7.8073381851803925E-01,0,1,1
35, -8.6372745490981961E-01,  7.2329076900970102E-01,0,1,1
36, -8.5971943887775548E-01,  1.2718158067636374E+00,0,1,1
37, -8.5571142284569146E-01,  5.7627953405016352E-01,0,1,1
38, -8.5170340681362733E-01,  7.3194266626644200E-01,0,1,1
