experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
3090,0.5,55,0.8125,0.625,5,0.941626536023384,36,1,500,500,0,1.0,1.0,1.0,1.0,0.084831906,0.001010911,0
3091,0.5,55,0.8125,0.8125,1,0.941626536023384,36,1,500,500,0,1.0,1.0,1.0,1.0,0.08682565,0.001045439,0
3092,0.5,55,0.8125,0.8125,2,0.941626536023384,36,1,500,500,0,1.0,1.0,1.0,1.0,0.08489649,0.00103019,0
3093,0.5,55,0.8125,0.8125,3,0.941626536023384,36,1,500,500,0,1.0,1.0,1.0,1.0,0.090684204,0.001071887,0
3076,0.5,55,0.8125,0.25,1,0.941626536023384,36,1,500,500,0,1.0,1.0,1.0,1.0,0.084541928,0.001012889,0
3077,0.5,55,0.8125,0.25,2,0.941626536023384,36,1,500,500,0,1.0,1.0,1.0,1.0,0.083566783,0.001057164,0
2125,0.3875,25,1.0,1.0,5,0.8125803472845888,69,1,500,500,0,1.0,1.0,1.0,1.0,0.161423025,0.000851912,0
2102,0.3875,25,1.0,0.25,2,0.8125803472845888,69,1,500,500,0,1.0,1.0,1.0,1.0,0.161439648,0.001011836,0
2103,0.3875,25,1.0,0.25,3,0.8125803472845888,69,1,500,500,0,1.0,1.0,1.0,1.0,0.161915605,0.000845942,0
2104,0.3875,25,1.0,0.25,4,0.8125803472845888,69,1,500,500,0,1.0,1.0,1.0,1.0,0.161518228,0.001332612,0
2105,0.3875,25,1.0,0.25,5,0.8125803472845888,69,1,500,500,0,1.0,1.0,1.0,1.0,0.16036082,0.00091875,0
2106,0.3875,25,1.0,0.4375,1,0.8125803472845888,69,1,500,500,0,1.0,1.0,1.0,1.0,0.156610256,0.000916983,0
2107,0.3875,25,1.0,0.4375,2,0.8125803472845888,69,1,500,500,0,1.0,1.0,1.0,1.0,0.164179493,0.0008510129999999999,0
2108,0.3875,25,1.0,0.4375,3,0.8125803472845888,69,1,500,500,0,1.0,1.0,1.0,1.0,0.165207941,0.0008137599999999999,0
2109,0.3875,25,1.0,0.4375,4,0.8125803472845888,69,1,500,500,0,1.0,1.0,1.0,1.0,0.15623842,0.000837106,0
2110,0.3875,25,1.0,0.4375,5,0.8125803472845888,69,1,500,500,0,1.0,1.0,1.0,1.0,0.15926329,0.0009448,0
2111,0.3875,25,1.0,0.625,1,0.8125803472845888,69,1,500,500,0,1.0,1.0,1.0,1.0,0.158893312,0.001021086,0
2112,0.3875,25,1.0,0.625,2,0.8125803472845888,69,1,500,500,0,1.0,1.0,1.0,1.0,0.15938956,0.000936182,0
2113,0.3875,25,1.0,0.625,3,0.8125803472845888,69,1,500,500,0,1.0,1.0,1.0,1.0,0.15930356,0.0008693149999999998,0
2114,0.3875,25,1.0,0.625,4,0.8125803472845888,69,1,500,500,0,1.0,1.0,1.0,1.0,0.159320103,0.000956761,0
2115,0.3875,25,1.0,0.625,5,0.8125803472845888,69,1,500,500,0,1.0,1.0,1.0,1.0,0.159849867,0.000978532,0
2116,0.3875,25,1.0,0.8125,1,0.8125803472845888,69,1,500,500,0,1.0,1.0,1.0,1.0,0.170380225,0.000900258,0
3099,0.5,55,0.8125,1.0,4,0.941626536023384,36,1,500,500,0,1.0,1.0,1.0,1.0,0.084785653,0.001033422,0
3098,0.5,55,0.8125,1.0,3,0.941626536023384,36,1,500,500,0,1.0,1.0,1.0,1.0,0.084757918,0.001057205,0
3097,0.5,55,0.8125,1.0,2,0.941626536023384,36,1,500,500,0,1.0,1.0,1.0,1.0,0.084293115,0.001062149,0
3096,0.5,55,0.8125,1.0,1,0.941626536023384,36,1,500,500,0,1.0,1.0,1.0,1.0,0.087811473,0.001119171,0
3095,0.5,55,0.8125,0.8125,5,0.941626536023384,36,1,500,500,0,1.0,1.0,1.0,1.0,0.084790433,0.001056088,0
3094,0.5,55,0.8125,0.8125,4,0.941626536023384,36,1,500,500,0,1.0,1.0,1.0,1.0,0.08859306,0.001096687,0
3124,0.5,55,1.0,1.0,4,0.941626536023384,36,1,500,500,0,1.0,1.0,1.0,1.0,0.08725231999999998,0.001005513,0
3125,0.5,55,1.0,1.0,5,0.941626536023384,36,1,500,500,0,1.0,1.0,1.0,1.0,0.08635005099999998,0.001034702,0
