vector_index,x,y,is_seed,n_memberships,cluster_id
1, -1.0000000000000000E+00, -1.9175569123735251E-02,0,1,1
2, -9.9599198396793587E-01, -1.8697280686759341E-03,1,1,1
3, -9.9198396793587174E-01,  1.8673155329277762E-02,0,1,1
4, -9.8797595190380760E-01,  8.3737452268571766E-02,0,1,1
5, -9.8396793587174347E-01,  9.6280806525450791E-02,0,1,1
6, -9.7995991983967934E-01,  1.3317118285071491E-01,0,1,1
7, -9.7595190380761521E-01,  1.6433380385644406E-01,1,1,1
8, -9.7194388777555107E-01,  1.8068250940566530E-01,0,1,1
9, -9.6793587174348694E-01,  2.1326004053605288E-01,0,1,1
10, -9.6392785571142281E-01,  2.2332184123713733E-01,0,1,1
11, -9.5991983967935868E-01,  2.2543782651113761E-01,0,1,1
12, -9.5591182364729455E-01,  2.9464116783230837E-01,0,1,1
13, -9.5190380761523041E-01,  2.8583639958688883E-01,0,1,1
14, -9.4789579158316628E-01,  3.0285173782924796E-01,1,1,1
15, -9.4388777555110226E-01,  3.4174640652139482E-01,0,1,1
16, -9.3987975951903813E-01,  3.5057066900898315E-01,0,1,1
17, -9.3587174348697399E-01,  3.8376650955580782E-01,0,1,1
18, -9.3186372745490986E-01,  4.2203576351446837E-01,1,1,1
19, -9.2785571142284573E-01,  4.4489781517659982E-01,0,1,1
20, -9.2384769539078160E-01,  4.4247295808220077E-01,0,1,1
21, -9.1983967935871747E-01,  4.7288204708629511E-01,0,1,1
22, -9.1583166332665333E-01,  5.2602334345886492E-01,0,1,1
23, -9.1182364729458920E-01,  5.3604525988168028E-01,1,1,1
24, -9.0781563126252507E-01,  5.8886549238554942E-01,0,1,1
25, -9.0380761523046094E-01,  5.9186657519536823E-01,0,1,1
26, -8.9979959919839680E-01,  6.1168932553060129E-01,0,1,1
27, -8.9579158316633267E-01,  5.8121215270169058E-01,0,1,1
28, -8.9178356713426854E-01,  6.4402660899216158E-01,0,1,1
29, -8.8777555110220441E-01,  6.4706841935521797E-01,1,1,1
30, -8.8376753507014028E-01,  6.5608105726621802E-01,0,1,1
31, -8.7975951903807614E-01,  6.8900809259849216E-01,0,1,1
32, -8.7575150300601201E-01,  7.2266430169540796E-01,0,1,1
33, -8.7174348697394788E-01,  7.3144269479987534E-01,1,1,1
34, -8.6773547094188375E-01,  7.2106508270689729E-01,0,1,1
35, -8.6372745490981961E-01,  7.7022382367662290E-01,0,1,1
36, -8.5971943887775548E-01,  7.5888395633526184E-01,0,1,1
37, -8.5571142284569146E-01,  7.9174109438916851E-01,0,1,1
38, -8.5170340681362733E-01,  7.9661281683030061E-01,0,1,1
39, -8.4769539078156320E-01,  8.1306585558601951E-01,1,1,1
40, -8.4368737474949906E-01,  8.4701301656756833E-01,0,1,1
41, -8.3967935871743493E-01,  8.2460183959308109E-01,0,1,1
42, -8.3567134268537080E-01,  8.9749105381160343E-01,1,1,1
