experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
3090,0.5,55,0.8125,0.625,5,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.049970182,0.000796237,0
3089,0.5,55,0.8125,0.625,4,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.048726396,0.000837912,0
3088,0.5,55,0.8125,0.625,3,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.04915394,0.0008006839999999999,0
3087,0.5,55,0.8125,0.625,2,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.048357074,0.0008602529999999998,0
3086,0.5,55,0.8125,0.625,1,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.049065982,0.001014035,0
3085,0.5,55,0.8125,0.4375,5,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.049632024,0.000795938,0
3084,0.5,55,0.8125,0.4375,4,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.048128514,0.0009625110000000002,0
3083,0.5,55,0.8125,0.4375,3,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.048462083,0.000826903,0
3082,0.5,55,0.8125,0.4375,2,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.053673333,0.000821552,0
3081,0.5,55,0.8125,0.4375,1,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.055694501,0.001131674,0
3080,0.5,55,0.8125,0.25,5,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.049334653,0.000795407,0
3079,0.5,55,0.8125,0.25,4,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.04903034,0.000814164,0
3078,0.5,55,0.8125,0.25,3,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.05065241,0.000832389,0
3109,0.5,55,1.0,0.4375,4,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.055942198,0.0008375169999999999,0
3108,0.5,55,1.0,0.4375,3,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.052748625,0.000845185,0
3107,0.5,55,1.0,0.4375,2,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.052041135,0.000829025,0
3106,0.5,55,1.0,0.4375,1,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.051953489,0.000865784,0
3105,0.5,55,1.0,0.25,5,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.0510391,0.000890247,0
3104,0.5,55,1.0,0.25,4,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.053092771,0.000825317,0
3103,0.5,55,1.0,0.25,3,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.050602964,0.000893881,0
3102,0.5,55,1.0,0.25,2,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.052553471,0.00080526,0
3101,0.5,55,1.0,0.25,1,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.053062594,0.0008651559999999998,0
3100,0.5,55,0.8125,1.0,5,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.048934761,0.0008260659999999999,0
3099,0.5,55,0.8125,1.0,4,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.048822817,0.000851258,0
3098,0.5,55,0.8125,1.0,3,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.048576704,0.000820477,0
3097,0.5,55,0.8125,1.0,2,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.049018533,0.000912425,0
3096,0.5,55,0.8125,1.0,1,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.050802605,0.000797542,0
3095,0.5,55,0.8125,0.8125,5,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.048628484,0.000917685,0
3094,0.5,55,0.8125,0.8125,4,0.9566058221741152,28,1,500,500,0,1.0,1.0,1.0,1.0,0.049157383,0.0008169969999999999,0
51,0.05,15,0.625,0.25,1,0.32646339321345014,91,1,500,500,0,1.0,1.0,1.0,1.0,0.076215424,0.000484782,0
