experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
3081,0.5,55,0.8125,0.4375,1,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.057726793,0.0008854899999999998,0
3080,0.5,55,0.8125,0.25,5,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.057321784,0.001220818,0
3079,0.5,55,0.8125,0.25,4,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.059015302,0.000915469,0
3078,0.5,55,0.8125,0.25,3,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.057831019,0.000900704,0
3109,0.5,55,1.0,0.4375,4,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.053734965,0.000932718,0
3108,0.5,55,1.0,0.4375,3,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.052107599,0.000966631,0
3107,0.5,55,1.0,0.4375,2,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.052650856,0.001017766,0
3106,0.5,55,1.0,0.4375,1,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.054847662,0.001229403,0
3105,0.5,55,1.0,0.25,5,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.053012247,0.0008791279999999999,0
3104,0.5,55,1.0,0.25,4,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.053573225,0.000893,0
3103,0.5,55,1.0,0.25,3,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.052480867,0.00094935,0
3102,0.5,55,1.0,0.25,2,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.053006319,0.001023073,0
3101,0.5,55,1.0,0.25,1,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.055490897,0.000912608,0
3100,0.5,55,0.8125,1.0,5,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.058587512,0.001205361,0
3099,0.5,55,0.8125,1.0,4,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.056889013,0.000992835,0
3098,0.5,55,0.8125,1.0,3,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.057542205,0.00093162,0
3097,0.5,55,0.8125,1.0,2,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.056205755,0.000892878,0
3096,0.5,55,0.8125,1.0,1,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.058265956,0.001004182,0
3095,0.5,55,0.8125,0.8125,5,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.057077219,0.000905361,0
3094,0.5,55,0.8125,0.8125,4,0.9487224082462542,30,1,500,500,0,1.0,1.0,1.0,1.0,0.057295625,0.0008653559999999999,0
85,0.05,15,0.8125,0.4375,5,0.33311896403728986,96,1,500,500,0,1.0,1.0,1.0,1.0,0.128651238,0.000417202,0
84,0.05,15,0.8125,0.4375,4,0.33311896403728986,96,1,500,500,0,1.0,1.0,1.0,1.0,0.127555956,0.000416478,0
83,0.05,15,0.8125,0.4375,3,0.33311896403728986,96,1,500,500,0,1.0,1.0,1.0,1.0,0.130964504,0.000448552,0
82,0.05,15,0.8125,0.4375,2,0.33311896403728986,96,1,500,500,0,1.0,1.0,1.0,1.0,0.126068014,0.000457286,0
81,0.05,15,0.8125,0.4375,1,0.33311896403728986,96,1,500,500,0,1.0,1.0,1.0,1.0,0.125123412,0.000401061,0
80,0.05,15,0.8125,0.25,5,0.33311896403728986,96,1,500,500,0,1.0,1.0,1.0,1.0,0.12683037,0.000414335,0
79,0.05,15,0.8125,0.25,4,0.33311896403728986,96,1,500,500,0,1.0,1.0,1.0,1.0,0.12920516,0.000407558,0
78,0.05,15,0.8125,0.25,3,0.33311896403728986,96,1,500,500,0,1.0,1.0,1.0,1.0,0.125245828,0.000428343,0
77,0.05,15,0.8125,0.25,2,0.33311896403728986,96,1,500,500,0,1.0,1.0,1.0,1.0,0.127607834,0.000438298,0
76,0.05,15,0.8125,0.25,1,0.33311896403728986,96,1,500,500,0,1.0,1.0,1.0,1.0,0.128136579,0.000443077,0
