experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,1,  3.3311896403728986E-01,96,17,487,487,0,  4.9462231626622399E-01,  9.7399999999999998E-01,  9.7399999999999998E-01,  6.5607356051638654E-01,  8.3800991000000005E-02,  4.9695200000000005E-04,0
2,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,2,  3.3311896403728986E-01,96,19,489,487,2,  4.6667026946409695E-01,  9.7799999999999998E-01,  9.7399999999999998E-01,  6.3184455745073309E-01,  7.9308471000000005E-02,  4.2981900000000001E-04,0
3,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,3,  3.3311896403728986E-01,96,21,493,487,6,  4.3506303091889265E-01,  9.8599999999999999E-01,  9.7399999999999998E-01,  6.0373416119149159E-01,  8.1318029000000000E-02,  4.6351399999999999E-04,0
4,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,4,  3.3311896403728986E-01,96,22,496,487,9,  4.2868295755079266E-01,  9.9199999999999999E-01,  9.7399999999999998E-01,  5.9866065349796038E-01,  8.0438687999999994E-02,  4.1431600000000002E-04,0
5,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,5,  3.3311896403728986E-01,96,23,500,487,13,  4.1389624049626328E-01,  1.0000000000000000E+00,  9.7399999999999998E-01,  5.8546904453326776E-01,  8.2361563999999998E-02,  4.7958000000000001E-04,0
6,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,1,  3.3311896403728986E-01,96,17,487,487,0,  4.9462231626622399E-01,  9.7399999999999998E-01,  9.7399999999999998E-01,  6.5607356051638654E-01,  8.1327595000000003E-02,  4.7967000000000002E-04,0
7,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,2,  3.3311896403728986E-01,96,19,489,487,2,  4.6667026946409695E-01,  9.7799999999999998E-01,  9.7399999999999998E-01,  6.3184455745073309E-01,  9.0172906999999997E-02,  4.7962900000000003E-04,0
8,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,3,  3.3311896403728986E-01,96,21,493,487,6,  4.3506303091889265E-01,  9.8599999999999999E-01,  9.7399999999999998E-01,  6.0373416119149159E-01,  9.3088377999999999E-02,  5.9001799999999999E-04,0
9,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,4,  3.3311896403728986E-01,96,22,496,487,9,  4.2868295755079266E-01,  9.9199999999999999E-01,  9.7399999999999998E-01,  5.9866065349796038E-01,  8.2375339000000006E-02,  4.2839600000000000E-04,0
10,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,5,  3.3311896403728986E-01,96,23,500,487,13,  4.1389624049626328E-01,  1.0000000000000000E+00,  9.7399999999999998E-01,  5.8546904453326776E-01,  8.5991777000000005E-02,  4.5308700000000002E-04,0
