vector_index,x,y,is_seed,n_memberships,cluster_id
1, -1.0000000000000000E+00, -3.3900774561816019E-02,0,0,0
2, -9.9599198396793587E-01, -1.1092682950569810E-02,0,0,0
3, -9.9198396793587174E-01, -9.3306530685371841E-02,1,1,23
4, -9.8797595190380760E-01,  4.9070258689700830E-02,0,0,0
5, -9.8396793587174347E-01,  1.5918848702574762E-01,0,0,0
6, -9.7995991983967934E-01,  2.3644505372469121E-02,0,0,0
7, -9.7595190380761521E-01,  2.3440296221806120E-01,0,0,0
8, -9.7194388777555107E-01,  2.1439215522896168E-01,0,0,0
9, -9.6793587174348694E-01,  1.4136611125536239E-01,0,0,0
10, -9.6392785571142281E-01,  2.1339011597495491E-01,0,0,0
11, -9.5991983967935868E-01,  3.7704343888853514E-01,0,0,0
12, -9.5591182364729455E-01,  3.3216870929636172E-01,0,0,0
13, -9.5190380761523041E-01,  2.9832133463436322E-01,0,1,20
14, -9.4789579158316628E-01,  3.0254899844761773E-01,1,1,20
15, -9.4388777555110226E-01,  3.5143348967361554E-01,0,1,13
16, -9.3987975951903813E-01,  3.2788580275952917E-01,0,0,0
17, -9.3587174348697399E-01,  2.2373515673807526E-01,0,0,0
18, -9.3186372745490986E-01,  5.7852891792597749E-01,0,1,5
19, -9.2785571142284573E-01,  4.5035698032762939E-01,0,1,11
20, -9.2384769539078160E-01,  4.9228134062051632E-01,0,0,0
21, -9.1983967935871747E-01,  4.7800353455511729E-01,0,0,0
22, -9.1583166332665333E-01,  4.4572733930549296E-01,0,1,11
23, -9.1182364729458920E-01,  5.1124329905109978E-01,0,0,0
24, -9.0781563126252507E-01,  4.1941261062303370E-01,0,1,11
25, -9.0380761523046094E-01,  7.5043093156480201E-01,0,0,0
26, -8.9979959919839680E-01,  4.9004250428561086E-01,0,0,0
27, -8.9579158316633267E-01,  5.2641222100303220E-01,0,1,5
28, -8.9178356713426854E-01,  5.9352866560858109E-01,1,1,5
29, -8.8777555110220441E-01,  7.5117661337734642E-01,0,0,0
30, -8.8376753507014028E-01,  6.6826141327799526E-01,0,1,5
31, -8.7975951903807614E-01,  5.8675692210540453E-01,0,1,5
32, -8.7575150300601201E-01,  8.0410713986376547E-01,0,1,8
33, -8.7174348697394788E-01,  7.7990611312262959E-01,0,1,8
34, -8.6773547094188375E-01,  7.8170935531105468E-01,0,1,8
35, -8.6372745490981961E-01,  8.1263338469843771E-01,0,1,8
36, -8.5971943887775548E-01,  9.6318465922337715E-01,0,1,14
37, -8.5571142284569146E-01,  9.6221502361277178E-01,0,1,14
38, -8.5170340681362733E-01,  7.4774259073957960E-01,0,0,0
39, -8.4769539078156320E-01,  9.4735398004562432E-01,0,0,0
40, -8.4368737474949906E-01,  8.6234161224747019E-01,1,1,11
41, -8.3967935871743493E-01,  8.8533337928041900E-01,0,1,11
42, -8.3567134268537080E-01,  7.2320548579459842E-01,0,0,0
43, -8.3166332665330667E-01,  8.5759325176559764E-01,0,1,11
44, -8.2765531062124253E-01,  8.1828269497758055E-01,0,1,8
45, -8.2364729458917840E-01,  9.6107760170986489E-01,0,1,14
46, -8.1963927855711427E-01,  9.9147618776458146E-01,0,1,14
47, -8.1563126252505014E-01,  7.5021327941887184E-01,0,0,0
48, -8.1162324649298601E-01,  9.2421084262143027E-01,0,0,0
49, -8.0761523046092187E-01,  1.0249367852020375E+00,0,1,18
50, -8.0360721442885774E-01,  9.2887472648975267E-01,0,0,0
51, -7.9959919839679361E-01,  1.0101567921440853E+00,0,2,14
51, -7.9959919839679361E-01,  1.0101567921440853E+00,0,2,18
52, -7.9559118236472948E-01,  9.8734398582468574E-01,0,1,14
53, -7.9158316633266534E-01,  9.9339430081374902E-01,0,1,14
54, -7.8757515030060121E-01,  9.5055438476394982E-01,0,1,14
55, -7.8356713426853708E-01,  8.8051465578031840E-01,0,1,11
56, -7.7955911823647295E-01,  8.9308014220701226E-01,0,1,11
57, -7.7555110220440882E-01,  1.0438889395153381E+00,0,0,0
58, -7.7154308617234468E-01,  9.9240958254340994E-01,0,1,14
59, -7.6753507014028055E-01,  9.8285577156008530E-01,0,1,14
60, -7.6352705410821642E-01,  9.6247906642663306E-01,0,1,14
61, -7.5951903807615229E-01,  9.7379681460262790E-01,0,1,14
62, -7.5551102204408815E-01,  1.0831534967630174E+00,0,0,0
63, -7.5150300601202402E-01,  9.7313588237488835E-01,0,1,14
64, -7.4749498997995989E-01,  8.9259096047331177E-01,0,1,11
65, -7.4348697394789576E-01,  1.0586549313568778E+00,0,0,0
66, -7.3947895791583163E-01,  9.8142568351745041E-01,1,1,14
67, -7.3547094188376749E-01,  9.9834774290893369E-01,0,1,14
68, -7.3146292585170336E-01,  1.1218310804093352E+00,0,0,0
69, -7.2745490981963923E-01,  9.8833885467495131E-01,0,1,14
70, -7.2344689378757510E-01,  1.0092494729842290E+00,0,1,18
71, -7.1943887775551096E-01,  8.8730662970525875E-01,0,1,11
72, -7.1543086172344694E-01,  9.5893018276369801E-01,0,1,14
73, -7.1142284569138281E-01,  1.0195297974066544E+00,0,1,18
74, -7.0741482965931868E-01,  8.3998617234764417E-01,0,1,8
75, -7.0340681362725455E-01,  9.7352044612440725E-01,0,1,14
76, -6.9939879759519041E-01,  9.5794571823348174E-01,0,1,14
77, -6.9539078156312628E-01,  9.4501264955606989E-01,0,1,14
78, -6.9138276553106215E-01,  1.0159123954413545E+00,0,1,18
79, -6.8737474949899802E-01,  9.5033316645206156E-01,0,1,14
80, -6.8336673346693388E-01,  1.0318765468320081E+00,0,1,18
81, -6.7935871743486975E-01,  8.2361695952682090E-01,1,1,8
82, -6.7535070140280562E-01,  9.0287870362132316E-01,0,1,11
83, -6.7134268537074149E-01,  8.8709702901642395E-01,0,1,11
84, -6.6733466933867736E-01,  7.8257600231368496E-01,0,0,0
85, -6.6332665330661333E-01,  9.3184611702467479E-01,0,1,14
86, -6.5931863727454920E-01,  1.0280001163058443E+00,1,1,18
87, -6.5531062124248507E-01,  8.2681552537731118E-01,0,1,8
88, -6.5130260521042094E-01,  8.5420226561906110E-01,0,1,11
89, -6.4729458917835681E-01,  8.0567054782437797E-01,0,1,8
90, -6.4328657314629267E-01,  7.2642415487991474E-01,0,0,0
91, -6.3927855711422854E-01,  6.2195509728722376E-01,0,1,5
