x_var	y_var
  0.000000	   0.0963558185
  0.100000	   0.2473165544
  0.200000	   0.3026213501
  0.300000	   0.4381140621
  0.400000	   0.6854360924
  0.500000	   0.8712342012
  0.600000	   0.8623835297
  0.700000	   0.7623366209
  0.800000	   0.7633903417
  0.900000	   0.8630056269
  1.000000	   0.8628824027
  1.100000	   0.6619795077
  1.200000	   0.4161267794
  1.300000	   0.3212692146
  1.400000	   0.3306877008
  1.500000	   0.2252876537
  1.600000	  -0.0567283586
  1.700000	  -0.3141332575
  1.800000	  -0.3657691217
  1.900000	  -0.3131929334
  2.000000	  -0.3914739774
  2.100000	  -0.6180975641
  2.200000	  -0.7566496784
  2.300000	  -0.6585817502
  2.400000	  -0.4855972928
  2.500000	  -0.4785488010
  2.600000	  -0.6037038035
  2.700000	  -0.5986784692
  2.800000	  -0.3604466728
  2.900000	  -0.1078503303
  3.000000	  -0.0709880580
  3.100000	  -0.1562200041
  3.200000	  -0.0833627506
  3.300000	   0.1968744557
  3.400000	   0.4180894864
  3.500000	   0.3803534966
  3.600000	   0.2438478291
  3.700000	   0.2963011263
  3.800000	   0.5267547521
  3.900000	   0.6333579835
  4.000000	   0.4637840284
  4.100000	   0.2451672409
  4.200000	   0.2577802871
  4.300000	   0.4235308429
  4.400000	   0.4171652122
  4.500000	   0.1467461763
  4.600000	  -0.1006893329
  4.700000	  -0.0715215953
  4.800000	   0.0828255279
  4.900000	   0.0261683938
  5.000000	  -0.2642904441
  5.100000	  -0.4540573486
  5.200000	  -0.3361296657
  5.300000	  -0.1375380947
  5.400000	  -0.1903346317
  5.500000	  -0.4414425826
  5.600000	  -0.5236591871
  5.700000	  -0.2936386188
  5.800000	  -0.0497145192
  5.900000	  -0.1010582098
  6.000000	  -0.3132046597
  6.100000	  -0.3017019594
  6.200000	   0.0006521450
  6.300000	   0.2352294130
  6.400000	   0.1367388520
  6.500000	  -0.0761201028
  6.600000	  -0.0183492980
  6.700000	   0.2925603382
  6.800000	   0.4533229951
  6.900000	   0.2626386188
  7.000000	   0.0211337173
  7.100000	   0.0952100453
  7.200000	   0.3768875502
  7.300000	   0.4361242963
  7.400000	   0.1520561270
  7.500000	  -0.1017012726
  7.600000	   0.0011087590
  7.700000	   0.2589642673
  7.800000	   0.2341831035
  7.900000	  -0.1019091025
  8.000000	  -0.3177096471
  8.100000	  -0.1491711868
  8.200000	   0.1097808037
  8.300000	   0.0344355752
  8.400000	  -0.3041851591
  8.500000	  -0.4355988281
  8.600000	  -0.1777863195
  8.700000	   0.0899773248
  8.800000	  -0.0215960989
  8.900000	  -0.3379793964
  9.000000	  -0.3711542452
  9.100000	  -0.0366010827
  9.200000	   0.2146095384
  9.300000	   0.0520925685
  9.400000	  -0.2464023061
  9.500000	  -0.1980571328
  9.600000	   0.1737267139
  9.700000	   0.3651495512
  9.800000	   0.1271711961
  9.900000	  -0.1648282608
