x_var	y_var_span_0.2
  0.000000	   0.0395401337
  0.049749	   0.1402700069
  0.099497	   0.2341440335
  0.149246	   0.3211313501
  0.198995	   0.4012055090
  0.248744	   0.4743494061
  0.298492	   0.5405642653
  0.348241	   0.5998652364
  0.397990	   0.6522883049
  0.447739	   0.6978848368
  0.497487	   0.7367162483
  0.547236	   0.7688509020
  0.596985	   0.7943431136
  0.646734	   0.8132305310
  0.696482	   0.8255107620
  0.746231	   0.8311161707
  0.795980	   0.8298588955
  0.845729	   0.8212460075
  0.895477	   0.8041047399
  0.945226	   0.7766458938
  0.994975	   0.7411345078
  1.044724	   0.6981957582
  1.094472	   0.6480517269
  1.144221	   0.5941483065
  1.193970	   0.5319719848
  1.243719	   0.4704598281
  1.293467	   0.4023220989
  1.343216	   0.3344281797
  1.392965	   0.2648083629
  1.442714	   0.1917709067
  1.492462	   0.1211045396
  1.542211	   0.0464901597
  1.591960	  -0.0252538933
  1.641709	  -0.0964830802
  1.691457	  -0.1656477813
  1.741206	  -0.2301509582
  1.790955	  -0.2909210252
  1.840704	  -0.3479849601
  1.890452	  -0.3974562665
  1.940201	  -0.4467266856
  1.989950	  -0.4861605511
  2.039698	  -0.5254067876
  2.089447	  -0.5559535644
  2.139196	  -0.5820780912
  2.188945	  -0.6013750214
  2.238693	  -0.6132957927
  2.288442	  -0.6179740575
  2.338191	  -0.6173773515
  2.387940	  -0.6077418901
  2.437688	  -0.5966722214
  2.487437	  -0.5766277539
  2.537186	  -0.5552633463
  2.586935	  -0.5276059200
  2.636683	  -0.4952612700
  2.686432	  -0.4592569766
  2.736181	  -0.4171300706
  2.785930	  -0.3718315967
  2.835678	  -0.3235828073
  2.885427	  -0.2718155903
  2.935176	  -0.2210766400
  2.984925	  -0.1680896982
  3.034673	  -0.1162475901
  3.084422	  -0.0649713950
  3.134171	  -0.0121771163
  3.183920	   0.0379836168
  3.233668	   0.0900976747
  3.283417	   0.1393244975
  3.333166	   0.1870921887
  3.382915	   0.2320840640
  3.432663	   0.2722954599
  3.482412	   0.3087028403
  3.532161	   0.3407983860
  3.581910	   0.3675557985
  3.631658	   0.3925615557
  3.681407	   0.4117302945
  3.731156	   0.4294362534
  3.780905	   0.4419065787
  3.830653	   0.4502145019
  3.880402	   0.4537463856
  3.930151	   0.4511381517
  3.979899	   0.4436277215
  4.029648	   0.4313769828
  4.079397	   0.4143877749
  4.129146	   0.3954157487
  4.178894	   0.3726642735
  4.228643	   0.3485175901
  4.278392	   0.3215924862
  4.328141	   0.2916477639
  4.377889	   0.2593399187
  4.427638	   0.2233324188
  4.477387	   0.1854579372
  4.527136	   0.1458205985
  4.576884	   0.1056564218
  4.626633	   0.0663064878
  4.676382	   0.0278950771
  4.726131	  -0.0090413115
  4.775879	  -0.0447031067
  4.825628	  -0.0797947792
  4.875377	  -0.1140080874
  4.925126	  -0.1477727161
  4.974874	  -0.1800709947
  5.024623	  -0.2103749132
  5.074372	  -0.2373920866
  5.124121	  -0.2607380903
  5.173869	  -0.2797869734
  5.223618	  -0.2948962038
  5.273367	  -0.3068597316
  5.323116	  -0.3156187611
  5.372864	  -0.3227765748
  5.422613	  -0.3271033207
  5.472362	  -0.3292084596
  5.522111	  -0.3281014123
  5.571859	  -0.3227019722
  5.621608	  -0.3136801187
  5.671357	  -0.3002199453
  5.721106	  -0.2833053785
  5.770854	  -0.2647228151
  5.820603	  -0.2433720663
  5.870352	  -0.2226574535
  5.920101	  -0.2000974758
  5.969849	  -0.1769711444
  6.019598	  -0.1528900434
  6.069347	  -0.1256681856
  6.119095	  -0.0979737347
  6.168844	  -0.0677950534
  6.218593	  -0.0371289675
