Orthogroup	A.thaliana	C.hirsuta
cluster_1	AT3G30210.1, AT3G13540.1, AT1G06180.1, AT3G12820.1, AT1G08810.1, AT3G28910.1, AT1G34670.1, AT3G49690.1, AT1G66230.1, AT3G61250.1, AT2G31180.1, AT4G12350.1, AT2G32460.1, AT5G15310.1, AT3G01140.1, AT5G55020.1, AT3G06490.1, AT5G61420.2, AT1G57560.1, AT3G12720.1, AT5G65230.1, AT3G28470.1, AT4G01680.2, AT4G17785.1, AT5G26660.1, AT5G07690.1, AT5G60890.1, AT5G14750.1, AT5G23000.1, AT1G74080.1, AT5G54230.1, AT2G47190.1, AT5G62470.2, AT3G47600.1, AT4G09460.1, AT4G21440.1, AT4G22680.1, AT1G16490.1, AT1G56160.1, AT1G79180.1, AT4G37780.1, AT1G63910.1, AT5G52260.1, AT1G22640.1, AT1G68320.1, AT4G05100.1, AT3G02940.1, AT4G28110.1, AT3G13890.1, AT5G12870.1, AT3G48920.1, AT5G07700.1, AT3G62610.1, AT2G47460.1, AT3G24310.1, AT5G49330.1, AT1G48000.1, AT2G36890.1, AT5G16770.1, AT1G74650.1, AT5G56110.1, AT1G35515.1, AT1G25340.1, AT4G13480.1, AT4G26930.1, AT4G38620.1, AT4G34990.1, AT5G57620.1, AT3G23250.1, AT3G08500.1, AT2G16720.1, AT3G27920.1, AT5G10280.1, AT5G40330.1, AT1G09540.1, AT5G62320.1, AT5G65790.1, AT1G18570.1	CARHR205450.1, 478645, 892702, 482173, 484660, 925774, 487856, 950898, 488379, 496754, 497036, 897842, 900923, 919629, 488535, 489795, 490838, 493095, 894175, CARHR033950.1, 937505, CARHR037630.1, CARHR186890.1, CARHR045920.1, CARHR198000.1, CARHR151930.1, CARHR058130.1, CARHR196390.1, CARHR072820.1, 327351, CARHR203020.1, CARHR075910.1, CARHR009510.1, 334927, 492601, CARHR252460.1, CARHR081020.1, CARHR005710.1, CARHR054780.1, 354228, CARHR229610.1, CARHR268350.1, CARHR082800.1, CARHR171550.1, 495295, CARHR235830.1, CARHR279170.1, CARHR087350.1, CARHR205480.1, CARHR253890.1, 477540, CARHR126290.1, CARHR246170.1, 478795, CARHR261770.1, CARHR023010.1, 492740, 487604, CARHR016960.1, CARHR267490.1, CARHR034270.1, 929099, CARHR149430.1, CARHR124780.1, CARHR274570.1, CARHR067240.1, CARHR047050.1, CARHR234530.1, CARHR228110.1, CARHR067940.1, CARHR232980.1, CARHR198560.1, 328881, CARHR076970.1, CARHR265230.1, CARHR019190.1, 331771, CARHR088690.1, CARHR275180.1, CARHR088210.1, 357679, CARHR157720.1, 895588, CARHR087240.1, CARHR172880.1, 331925, 495021, CARHR099200.1, CARHR224510.1, CARHR142850.1, 482672, 472503, 951000, 479944, CARHR156280.1, 347985, 496816, 473681, 324558, 483923, CARHR214140.1, 949426, 336488, 476550, CARHR142580.1, 470636, CARHR075460.1, 497421, CARHR276260.1, 496423, CARHR190530.1, 476602, CARHR185560.1, 473608, CARHR276110.1, 944399, CARHR205470.1, 349318, 488320, 474684, 339072, CARHR269480.1, CARHR249990.1, 477086, CARHR260370.1, 477416, CARHR008730.1, CARHR131350.1, 477955, CARHR271380.1, 940747, CARHR026150.1, CARHR182230.1, CARHR196410.1, 950453, 347167, CARHR061000.1, 314948, 479838, 472077, 483895, 489496, 478147, 484622, 473935, 492106, 490409, 490626, 496240, 931500, 919710, CARHR243270.1, 891068, CARHR279160.1, 928995, CARHR200580.1, CARHR106950.1, CARHR100390.1, CARHR292490.1, CARHR279790.1, CARHR294340.1, CARHR158760.1
cluster_101	AT1G06700.1, AT1G48210.1, AT2G43230.2, AT2G47060.4, AT3G17410.1, AT3G62220.1, AT2G30730.1, AT2G30740.1, AT2G41970.1, AT3G59350.1, AT1G48220.1	CARHR092730.1, CARHR124230.1, CARHR138300.1, CARHR142420.1, CARHR169730.1, CARHR172560.1, CARHR006380.1, CARHR037840.1, 483429, 913850, 483285, 486400, CARHR137090.1, 324657, 479217, 483882, 900854, 919385, 933581
cluster_105	AT5G35380.1, AT2G07020.1, AT4G31230.1, AT3G20200.1, AT1G17540.1, AT1G72760.1, AT5G12000.1, AT5G26150.1, AT1G16760.1, AT1G78940.2, AT2G24370.1	CARHR017220.1, CARHR072550.1, CARHR095790.1, CARHR117680.1, 491618, 894540, CARHR187430.1, 471961, CARHR103930.1, 479540, CARHR217400.1, CARHR239120.1, CARHR018140.1, 476413, CARHR065680.1, CARHR201130.1, 312649, 330184, 342926, 481293, 909524, 940686
cluster_107	AT3G57330.1, AT5G57110.1, AT3G21180.1, AT4G29900.1, AT2G41560.1, AT3G63380.1, AT3G22910.1, AT1G27770.1, AT2G22950.1, AT4G37640.1	CARHR027290.1, CARHR292810.1, 486176, 917411, CARHR098860.1, CARHR136690.1, CARHR167520.1, 483236, CARHR246020.1, 479638, 491768, CARHR237800.1, CARHR270880.1, CARHR097050.1, 930287, 486846, CARHR291590.1, CARHR051780.1, CARHR103460.1, 359101, 472987, 490855, 899595, 949914
cluster_108	AT5G66880.1, AT1G60940.1, AT1G78290.2, AT3G50500.2, AT4G33950.1, AT5G08590.1, AT5G63650.1, AT1G10940.2, AT2G23030.1, AT4G40010.1	CARHR246660.1, CARHR011160.1, CARHR114520.1, 475237, CARHR160000.1, 940352, 951172, 951543, CARHR071760.1, CARHR277530.1, CARHR280790.1, CARHR051960.1, 887485, 909457, 481174, CARHR242080.1, CARHR120070.1, 353011, 485399, 491280, 919903
cluster_109	AT3G53750.1, AT1G49240.1, AT5G09810.1, AT2G37620.1, AT5G59370.1, AT2G42100.1, AT2G42170.1, AT3G12110.1, AT3G18780.2, AT3G46520.1, AT2G42090.1	496065, 902192, 935069, CARHR203590.1, CARHR285740.1, CARHR050240.1, CARHR086670.1, CARHR094190.1, CARHR131960.1, CARHR137640.1, CARHR155270.1, CARHR137630.1, CARHR285720.1, CARHR155280.1, 321462, 321465, 323914, 342019, 346008, 474065, 478567, 485023, 487803
cluster_110	AT2G30980.1, AT3G05840.2, AT4G18710.1, AT5G26751.1, AT1G09840.1, AT1G57870.3, AT4G00720.1, AT5G14640.1, AT3G61160.2, AT1G06390.1	CARHR006000.1, CARHR054290.1, CARHR080300.1, CARHR124500.1, CARHR171450.1, CARHR186820.1, 488305, CARHR225570.1, CARHR009860.1, CARHR198680.1, 471093, CARHR248890.1, 486587, CARHR141020.1, 470656, 475455, 477878, 489503, 490498, 933625, 946319
cluster_118	AT2G39590.1, AT5G03520.1, AT3G46060.1, AT5G59840.1, AT3G09900.1, AT3G53610.1, AT1G07770.1, AT3G46040.1, AT5G59850.1	CARHR007590.1, CARHR123820.1, CARHR154400.1, CARHR154410.1, 901888, CARHR273440.1, 359421, 478314, CARHR273450.1, CARHR273420.1, 484985, CARHR273470.1, 487128, 496120, CARHR084410.1, CARHR154420.1, CARHR209830.1, 485747, CARHR163540.1, 906209, 323263, 332256, 470810, 891428
cluster_119	AT3G62660.1, AT4G02130.1, AT1G19300.1, AT3G06260.1, AT3G50760.1, AT3G28340.1, AT1G02720.1, AT1G13250.1, AT1G24170.1, AT1G70090.1	CARHR019890.1, CARHR024550.1, CARHR063180.1, CARHR172930.1, CARHR250310.1, CARHR002020.1, CARHR013630.1, 477926, 937924, 471480, CARHR160270.1, 472152, 936606, CARHR080770.1, CARHR292630.1, 470231, 472678, 476133, 486764, 490360
cluster_120	AT2G41840.1, AT3G57490.1, AT1G58380.1, AT1G58684.1, AT1G58983.1, AT1G59359.1, AT3G49680.1, AT1G10060.2, AT1G10070.1, AT1G10050.1, AT1G58370.1, AT4G08160.1	CARHR259270.1, CARHR284140.1, CARHR010170.1, 475376, 483266, 938731, CARHR136930.1, CARHR283890.1, 489729, CARHR158750.1, 910727, 919779, CARHR279780.1, 485328, 951435, CARHR010180.1, CARHR291800.1, 471118, 475392, CARHR010160.1
cluster_128	AT5G51060.1, AT1G09090.2, AT4G25090.1, AT5G07390.1, AT3G45810.1, AT5G60010.1, AT5G47910.1, AT1G19230.2, AT1G64060.1, AT4G11230.1	CARHR019830.1, CARHR046890.1, CARHR232480.1, CARHR284360.1, 325354, 470991, 492327, 887625, 916132, 949125, CARHR205760.1, CARHR257030.1, 917747, CARHR154130.1, CARHR008980.1, CARHR255350.1, CARHR273640.1, 312861, 474949, 489958, 495172, 897391
cluster_130	AT2G37585.1, AT1G03520.1, AT1G53100.1, AT4G27480.1, AT3G15350.1, AT5G39990.1, AT5G39980.1, AT3G03690.1, AT4G03340.1, AT5G15050.1	CARHR077750.1, CARHR090310.1, CARHR198260.1, 345499, 925371, 919018, CARHR131990.1, CARHR132010.1, CARHR002880.1, CARHR235160.1, CARHR251770.1, 492046, 474430, CARHR262140.1, CARHR043320.1, 493988, CARHR262150.1, 947790, 317250, 352501, 478965, 488347
cluster_133	AT1G53510.1, AT1G73670.1, AT2G42880.1, AT3G14720.1, AT3G18040.1, AT4G01595.1, AT5G19010.1, AT2G01450.1, AT1G18150.2	488785, 911627, 929670, CARHR066740.1, CARHR089660.1, CARHR093360.1, CARHR104520.1, CARHR137950.1, CARHR143970.1, CARHR043740.1, CARHR193990.1, CARHR043750.1, CARHR258600.1, 896073, 904771, CARHR119370.1, CARHR104650.1, CARHR160130.1, 474479, CARHR018710.1, 476507, 478884, 483386
cluster_135	AT1G08880.1, AT1G51060.1, AT1G54690.1, AT3G20670.1, AT4G27230.1, AT5G54640.1, AT5G59870.1, AT5G27670.1, AT5G02560.2	CARHR008790.1, CARHR041080.1, CARHR055830.1, CARHR186190.1, CARHR210800.1, CARHR267950.1, 358205, CARHR273460.1, CARHR234870.1, CARHR273480.1, CARHR096480.1, 892166, 337754, 358204, 474223, 489561, 492075, 919635, 930013, 947885, 950114
