Annotee_Identifier	Human_Readable_Description
AT1G76320.3	protein far sequence
CARHR248500.1	glycerol phosphate 2 acyltransferase
AT3G52220.1	multiple myeloma tumor associated protein
AT5G58700.2	1 phosphatidylinositol 4 5 bisphosphate phosphodiesterase
CARHR115170.1	f box lrr repeat protein
CARHR110340.1	unknown protein
CARHR211830.1	limr family protein selmodraft 416716
CARHR028170.8	nudix hydrolase 15
CARHR125850.2	folate transporter 1
AT5G14210.3	lectin domain containing receptor kinase 5
CARHR266150.1	spermidine synthase
AT1G60790.1	protein trichome birefringence
AT4G05130.1	equilibrative nucleotide transporter
AT4G02660.2	beach domain containing protein
CARHR119270.1	signal recognition particle kda protein
CARHR147060.2	fibrillin protein
CARHR182590.1	folate binding protein
AT1G30970.3	bub interacting and glebs motif containing protein znf
CARHR066630.1	ubiquitin c terminal hydrolase
AT4G34490.1	adenylyl cyclase associated protein
AT1G33270.1	1 acylglycerol phosphate o acyltransferase pnpla
CARHR155560.1	raf serine threonine protein kinase
CARHR189130.3	wd repeat containing protein
CARHR234920.1	nad p h dehydrogenase quinone
CARHR253720.1	pearli lipid transfer protein
AT5G59450.1	della protein gai
AT5G62230.1	lrr receptor serine threonine protein kinase
CARHR129290.2	protein exordium
AT2G41490.1	udp n acetylglucosamine dolichyl phosphate acetylglucosaminephosphotransferase
CARHR212200.1	serine threonine protein kinase sty
AT5G05810.1	ring h2 finger protein atl
AT5G03770.1	3 deoxy d manno octulosonic acid transferase
AT4G19230.1	abscisic acid 8 hydroxylase
CARHR205500.1	f box protein
AT1G35880.1	protein toc chloroplastic
AT3G51300.1	rac gtp binding protein arac
AT2G20830.1	formiminotransferase cyclodeaminase protein
AT3G22690.1	pentatricopeptide repeat containing protein
AT4G36150.1	disease resistance protein rps
CARHR032900.3	glycine rich rna binding protein 2
CARHR239660.1	cationic peroxidase
AT1G63522.1	defensin protein
AT4G04025.1	transcription repressor ofp
AT3G08770.2	non specific lipid transfer protein
AT2G06960.1	1 aminocyclopropane carboxylate oxidase
AT3G07370.1	e3 ubiquitin protein ligase chip
AT5G05230.1	u box domain containing protein
AT1G66330.1	senescence associated protein chloroplastic
