Orthogroup	Canis_lupus_protein	Macaca_fascicularis_protein	Mus_musculus_protein	Rattus_norvegicus_protein
OG0000000	NP_001243379.1, NP_001243386.1, NP_001243427.1, NP_001300765.1, NP_001300815.1, NP_001375450.1, NP_001375451.1, NP_001375681.1, NP_001375683.1, NP_001375737.1, NP_001375748.1, NP_001375861.1, NP_001375868.1, NP_001375869.1, NP_001375876.1, NP_001375878.1, NP_001375912.1, NP_001375972.1, NP_001375975.1, NP_001375989.1, NP_001375993.1, NP_001376005.1, NP_001376047.1, NP_001376072.1, NP_001376078.1, NP_001376081.1, NP_001376099.1, NP_001376104.1, XP_038389608.1, XP_038396923.1, XP_038405446.1, XP_038405447.1, XP_038405449.1, XP_038405990.1, XP_038407482.1, XP_038432122.1, XP_038435154.1, XP_038444866.1, XP_038444867.1, XP_038444904.1, XP_038444987.1, XP_038444988.1, XP_038445012.1, XP_038445281.1, XP_038445505.1, XP_038445622.1	XP_005571166.3, XP_005571168.1, XP_005571169.2, XP_005571170.3, XP_005571171.3, XP_005571172.3, XP_005571173.3, XP_005572806.2, XP_005572807.3, XP_005572808.3, XP_005572809.3	NP_001011797.1, NP_001011821.1, NP_001011822.1, NP_001011849.1, NP_001078946.1, NP_001292359.1, NP_001292362.1, NP_666378.1, NP_666379.1, NP_666396.1, NP_666430.2, NP_666755.1, NP_666756.2, NP_666758.1, NP_666759.1, NP_666760.1, NP_666761.1, NP_666762.1, NP_666765.1, NP_666767.2, NP_666882.1, NP_666883.1, NP_666886.1, NP_666939.1, NP_666987.1, NP_667074.1, NP_667075.1, NP_667138.1, NP_667139.1, NP_667141.1, NP_667143.1, NP_996891.2, NP_997042.1, NP_997442.1, NP_997503.1	NP_001000055.1, NP_001000056.1, NP_001000057.1, NP_001000059.1, NP_001000060.1, NP_001000064.1, NP_001000066.1, NP_001000071.1, NP_001000072.1, NP_001000073.1, NP_001000074.1, NP_001000075.1, NP_001000076.1, NP_001000077.1, NP_001000487.1, NP_001000497.1, NP_001000498.1, NP_001000586.1, NP_001000587.1, NP_001000699.1, NP_001000700.1, NP_001000702.1, NP_001000703.1, NP_001000704.1, NP_001000705.1, NP_001000706.1, NP_001000707.1, NP_001000938.1, NP_001000940.1, NP_001001073.1, NP_001001074.1, NP_001001075.1, NP_001001076.1, NP_001001355.1, NP_001001356.1, NP_001001357.2, NP_001001360.1, NP_001001361.1, NP_001001365.1, NP_001001366.1, NP_001001368.1, NP_001001369.1, NP_001001371.1, NP_001001381.1, NP_001001382.1, NP_001001385.1, NP_001006597.1, NP_001382514.1, NP_001410141.1, XP_056840442.1, XP_063120092.1
OG0000001	XP_038381480.1, XP_038421312.1, XP_038423107.1, XP_038423356.1, XP_038423364.1, XP_038423800.1, XP_038423809.1	XP_005539643.2, XP_005596117.2, XP_015295750.3, XP_015295751.3, XP_015296317.3, XP_045234651.1, XP_065374960.1, XP_065386337.1, XP_065389456.1, XP_065392488.1	NP_001028295.2, NP_001079015.1, NP_001135882.1, NP_001186237.1, NP_001230832.1, NP_001292061.1, NP_001292065.1, NP_001349022.1, NP_001361605.1, NP_082436.1, NP_663599.3, XP_011238043.1, XP_017176715.1, XP_030103358.2, XP_030103370.1, XP_036018663.1	NP_001103147.2, NP_001132959.1, NP_001156535.1, NP_001171380.1, NP_001381950.1, NP_001395663.1, NP_001395949.1, NP_001395956.1, NP_001396199.1, NP_001406248.1, NP_001408333.1, XP_006228046.1, XP_006235724.3, XP_006238266.1, XP_006244276.1, XP_006253835.3, XP_008760797.2, XP_008760845.2, XP_008770655.1, XP_017445584.1, XP_017445586.1, XP_017447734.2, XP_017452376.2, XP_017453250.1, XP_017454926.2, XP_017455029.1, XP_017455043.1, XP_038936355.1, XP_038938713.1, XP_038940845.1, XP_038940855.1, XP_038940857.1, XP_038940864.1, XP_038940866.1, XP_038940876.1, XP_038943507.2, XP_038945841.1, XP_038946136.2, XP_038948567.1, XP_038948568.1, XP_038948571.1, XP_038952203.1, XP_038952209.1, XP_038952215.1, XP_038952233.1, XP_038952235.1, XP_038952237.1, XP_038954243.2, XP_038954258.2, XP_038954276.2, XP_038957392.1, XP_038962524.2, XP_038962525.2, XP_038962561.1, XP_038962572.1, XP_038962668.1, XP_038962669.1, XP_038962670.1, XP_038962696.1, XP_038964471.1, XP_038964868.1, XP_063117357.1, XP_063118921.1, XP_063120548.1, XP_063122660.1, XP_063123872.1, XP_063124011.1, XP_063124012.1, XP_063124264.1, XP_063124268.1, XP_063124271.1, XP_063124274.1, XP_063124277.1, XP_063127884.1, XP_063127916.1, XP_063132925.1, XP_063132929.1, XP_063135671.1, XP_063136635.1, XP_063136844.1, XP_063136845.1, XP_063136848.1, XP_063136849.1, XP_063136851.1, XP_063136854.1, XP_063136855.1, XP_063136858.1, XP_063136859.1, XP_063137126.1, XP_063137127.1, XP_063137128.1, XP_063138867.1, XP_063139048.1, XP_063140870.1, XP_063140875.1, XP_063140876.1, XP_063140878.1, XP_063141202.1, XP_063141290.1, XP_063141291.1, XP_063141292.1, XP_063141293.1, XP_063141294.1, XP_063141295.1, XP_063141399.1, XP_063142933.1
OG0000002			NP_001028386.1, NP_001116133.1, NP_001268440.1, NP_001268443.1, NP_001297379.1, NP_001361647.1, NP_001361654.1, NP_001365194.1, NP_081926.2, NP_775092.3, NP_892002.1, NP_941068.1	XP_006236137.3, XP_006255424.3, XP_038954015.2, XP_038954031.2, XP_038954109.1, XP_038954113.2, XP_038956646.2, XP_063134425.1, XP_063134428.1, XP_063134449.1, XP_063134452.1, XP_063134457.1, XP_063134480.1, XP_063134481.1, XP_063134483.1, XP_063134484.1, XP_063134485.1, XP_063134487.1, XP_063134494.1, XP_063134504.1, XP_063134509.1, XP_063134512.1, XP_063134514.1, XP_063134530.1, XP_063134531.1, XP_063134535.1, XP_063134539.1, XP_063134541.1, XP_063134546.1, XP_063134558.1, XP_063134563.1, XP_063134564.1, XP_063134566.1, XP_063134567.1, XP_063134579.1, XP_063134584.1, XP_063134596.1, XP_063134604.1, XP_063134605.1, XP_063134630.1, XP_063134631.1, XP_063134632.1, XP_063134634.1, XP_063134641.1, XP_063134647.1, XP_063134649.1, XP_063134651.1, XP_063134672.1, XP_063134674.1, XP_063134704.1, XP_063134706.1, XP_063134709.1, XP_063134726.1, XP_063134727.1, XP_063134736.1, XP_063134739.1, XP_063134741.1, XP_063134743.1, XP_063134744.1, XP_063134745.1, XP_063134751.1, XP_063134752.1, XP_063134756.1, XP_063134757.1, XP_063134758.1, XP_063134761.1, XP_063134763.1, XP_063134765.1, XP_063134766.1, XP_063134769.1, XP_063134771.1, XP_063134772.1, XP_063134775.1, XP_063134778.1, XP_063134781.1, XP_063134782.1, XP_063134785.1, XP_063134786.1, XP_063134787.1, XP_063134790.1, XP_063134795.1, XP_063134797.1, XP_063134798.1, XP_063134801.1, XP_063134803.1, XP_063134804.1, XP_063134806.1, XP_063134807.1, XP_063134813.1, XP_063134814.1, XP_063134815.1, XP_063134816.1, XP_063134817.1, XP_063134818.1, XP_063134825.1, XP_063134826.1, XP_063134831.1, XP_063134832.1, XP_063134836.1, XP_063134839.1, XP_063134847.1, XP_063134861.1, XP_063134870.1, XP_063134875.1, XP_063134876.1, XP_063134878.1, XP_063134892.1, XP_063134897.1, XP_063134903.1, XP_063134922.1, XP_063134950.1, XP_063134952.1, XP_063134953.1, XP_063134954.1
OG0000003				NP_001381681.1, XP_038954025.2, XP_038954026.2, XP_038954027.2, XP_038954042.2, XP_038954108.2, XP_038956644.1, XP_063134423.1, XP_063134431.1, XP_063134434.1, XP_063134439.1, XP_063134444.1, XP_063134445.1, XP_063134446.1, XP_063134447.1, XP_063134448.1, XP_063134453.1, XP_063134454.1, XP_063134455.1, XP_063134459.1, XP_063134461.1, XP_063134463.1, XP_063134468.1, XP_063134471.1, XP_063134478.1, XP_063134479.1, XP_063134489.1, XP_063134507.1, XP_063134510.1, XP_063134511.1, XP_063134513.1, XP_063134518.1, XP_063134520.1, XP_063134521.1, XP_063134523.1, XP_063134525.1, XP_063134532.1, XP_063134537.1, XP_063134540.1, XP_063134545.1, XP_063134547.1, XP_063134549.1, XP_063134550.1, XP_063134553.1, XP_063134555.1, XP_063134559.1, XP_063134569.1, XP_063134570.1, XP_063134571.1, XP_063134574.1, XP_063134576.1, XP_063134577.1, XP_063134580.1, XP_063134582.1, XP_063134583.1, XP_063134598.1, XP_063134599.1, XP_063134600.1, XP_063134602.1, XP_063134603.1, XP_063134611.1, XP_063134616.1, XP_063134619.1, XP_063134621.1, XP_063134622.1, XP_063134625.1, XP_063134626.1, XP_063134627.1, XP_063134635.1, XP_063134636.1, XP_063134646.1, XP_063134648.1, XP_063134650.1, XP_063134652.1, XP_063134664.1, XP_063134665.1, XP_063134667.1, XP_063134671.1, XP_063134688.1, XP_063134710.1, XP_063134711.1, XP_063134740.1, XP_063134742.1, XP_063134749.1, XP_063134755.1, XP_063134762.1, XP_063134764.1, XP_063134768.1, XP_063134770.1, XP_063134779.1, XP_063134780.1, XP_063134783.1, XP_063134792.1, XP_063134793.1, XP_063134799.1, XP_063134811.1, XP_063134812.1, XP_063134830.1, XP_063134833.1, XP_063134845.1, XP_063134848.1, XP_063134849.1, XP_063134860.1, XP_063134862.1, XP_063134865.1, XP_063134873.1, XP_063134874.1, XP_063134881.1, XP_063134884.1, XP_063134886.1, XP_063134887.1, XP_063134889.1, XP_063134895.1, XP_063134896.1, XP_063134898.1, XP_063134906.1, XP_063134908.1, XP_063134909.1, XP_063134910.1, XP_063134918.1
OG0000004	NP_001077100.1, NP_001243377.1, NP_001375617.1, NP_001375618.1, NP_001375622.1, NP_001375624.1, NP_001375633.1, NP_001375636.1, NP_001375638.1, NP_001375645.1, NP_001375646.1, NP_001375647.1, NP_001375648.1, NP_001375649.1, NP_001375650.1, NP_001375659.1, NP_001375759.1, NP_001375760.1, NP_001375761.1, NP_001375772.1, NP_001375773.1, NP_001375811.1, NP_001375837.1, NP_001375910.1, NP_001375930.1, NP_001375960.1, NP_001375971.1, NP_001376050.1, NP_001376070.1, XP_038424047.1, XP_038424084.1, XP_038424085.1, XP_038424088.1, XP_038424090.1, XP_038424108.1, XP_038424771.1, XP_038424773.1, XP_038424787.1, XP_038424788.1, XP_038425273.1, XP_038425274.1	XP_005578996.3, XP_015290875.3, XP_015291509.1, XP_015291516.3, XP_015291525.3, XP_015291527.3, XP_045226626.2, XP_045226629.2, XP_045227320.2, XP_065374745.1, XP_065384756.1, XP_065385805.1, XP_065385808.1	NP_001011845.2, NP_001011847.1, NP_001011848.1, NP_001020557.1, NP_001177310.1, NP_038648.2, NP_064686.2, NP_666470.1, NP_666962.1, NP_666969.1, NP_666971.1, NP_667025.1, NP_667259.2, NP_667266.1, NP_667280.1, NP_667281.2, NP_667299.1, NP_667308.2, NP_997026.1, NP_997029.1, NP_997439.2	NP_001000136.1, NP_001000138.1, NP_001000156.1, NP_001000166.1, NP_001000167.1, NP_001000168.1, NP_001000176.1, NP_001000179.1, NP_001000180.1, NP_001000181.1, NP_001000182.1, NP_001000184.1, NP_001000188.1, NP_001000190.1, NP_001000543.1, NP_001000739.1, NP_001000742.1, NP_001000747.1, NP_001000949.1, NP_001001001.1, NP_001001026.1, NP_001001030.1, NP_001001031.1, NP_001001271.1, XP_006229987.1
OG0000005			NP_001017393.1, NP_001017394.2, NP_001020412.1, NP_001095093.1, NP_001153600.1, NP_001153601.1, NP_001153603.1, NP_001153607.2, NP_001153608.1, NP_001186260.1, NP_001186261.1, NP_001360813.1, NP_001360820.1, NP_001360824.1, NP_001360832.1, NP_001360833.1, NP_001365341.1, NP_001371163.1, NP_001395310.1, NP_076035.3, XP_001473675.1, XP_011249374.1, XP_011249384.1, XP_011249386.1, XP_011249388.1, XP_011249392.1, XP_011249395.1, XP_017174197.1, XP_017174202.1, XP_017174206.1, XP_017174213.1, XP_017174214.1, XP_017174215.1, XP_017174216.1, XP_017174217.1, XP_017174218.1, XP_017174221.1, XP_017174230.1, XP_017174231.1, XP_017174243.1, XP_017174252.1, XP_017174253.1, XP_017174254.1, XP_017174258.1, XP_017174259.1, XP_017174260.1, XP_017174261.1, XP_017174263.1, XP_017174269.1, XP_017174270.1, XP_017174271.1, XP_017174280.1, XP_017174293.1, XP_017174294.1, XP_017174295.1, XP_017174304.1, XP_017174310.1, XP_017174311.1, XP_017174312.1, XP_017174318.1, XP_017174319.1, XP_017174320.1, XP_017174321.1, XP_017174323.1, XP_017174324.1, XP_017174325.1, XP_017174326.1, XP_017174327.1, XP_017174331.1, XP_017174332.1, XP_017174334.1, XP_017174335.1, XP_017174340.1, XP_017174353.1, XP_017174357.1, XP_017174358.1, XP_017174359.1, XP_017174361.1, XP_017174363.1, XP_017174364.1, XP_017174365.1, XP_017174369.1, XP_017174371.1, XP_030107478.1, XP_030107482.1, XP_036018087.1, XP_036018100.1	XP_038956194.1, XP_063127998.1, XP_063136738.1, XP_063141224.1, XP_063141236.1
OG0000006	NP_001375710.1, NP_001375711.1, NP_001375714.1, NP_001375716.1, NP_001375717.1, NP_001375718.1, NP_001375719.1, NP_001375728.1, NP_001375807.1, NP_001375968.1, NP_001375979.1, NP_001375991.1, NP_001376008.1, NP_001376013.1, NP_001376019.1, NP_001376038.1, XP_038391418.1, XP_038391419.1, XP_038391420.1, XP_038391421.1, XP_038391423.1, XP_038391494.1, XP_038391748.1	XP_005580073.3, XP_005580078.3, XP_005580079.4, XP_005580080.3, XP_005580081.4, XP_005580082.2, XP_005580328.3, XP_015291541.3, XP_065385230.1	NP_001011812.1, NP_001011826.1, NP_001011859.1, NP_666438.2, NP_666443.1, NP_666531.1, NP_666650.1, NP_666693.1, NP_666718.1, NP_666820.2, NP_666822.1, NP_666824.1, NP_666825.1, NP_666956.2, NP_666957.1, NP_666960.2, NP_666992.1, NP_667037.1, NP_667040.2, NP_667041.2, NP_667094.2, NP_997548.1	NP_001000435.1, NP_001000436.1, NP_001000456.1, NP_001000459.1, NP_001000460.1, NP_001000463.1, NP_001000464.1, NP_001000470.1, NP_001000471.1, NP_001000472.1, NP_001000473.1, NP_001000475.1, NP_001000488.1, NP_001000596.1, NP_001000597.1, NP_001000598.1, NP_001000792.1, NP_001000793.1, NP_001000796.1, NP_001000797.1, NP_001000798.1, NP_001000800.1, NP_001000801.1, NP_001000818.1, NP_001000819.2, NP_001000960.1, NP_001000966.1, NP_001001087.2, NP_001001120.1, NP_775152.2, XP_006243206.2, XP_017451271.1, XP_038938795.1, XP_038938796.1
OG0000007	NP_001003339.1, NP_001006653.1, NP_001032422.1, NP_001041492.1, NP_001183973.1, XP_038395611.1, XP_038435139.1, XP_038445672.1	XP_005566052.3, XP_005566070.3, XP_015311894.3, XP_045217159.2, XP_045217164.1, XP_045217167.2, XP_045217169.2, XP_045217735.2, XP_045220173.2, XP_045220175.2, XP_045235500.2, XP_045235501.2, XP_045235505.2, XP_045235508.2, XP_045245719.2, XP_065377238.1, XP_065377752.1, XP_065391579.1, XP_065391580.1, XP_065391588.1, XP_065391595.1	NP_001011707.1, NP_001034644.2, NP_001074617.1, NP_001094937.1, NP_001097995.1, NP_001153737.1, NP_031838.2, NP_031840.1, NP_031841.3, NP_034127.2, NP_034129.1, NP_034131.2, NP_034132.2, NP_034133.2, NP_034134.3, NP_038837.1, NP_067257.1, NP_082365.1, NP_082467.2, NP_598418.1, NP_598905.2, NP_663474.2, NP_996260.1, XP_017173651.1	NP_001013926.2, NP_001129140.1, NP_001185605.1, NP_001258283.1, NP_001406456.1, NP_036674.1, NP_036824.1, NP_036825.1, NP_036919.1, NP_058852.2, NP_058854.1, NP_062057.2, NP_113731.2, NP_113760.2, NP_114027.2, NP_599196.2, NP_612521.2, NP_612523.1, NP_775416.1, NP_942028.1, XP_008757425.1, XP_008757502.1, XP_008757837.3, XP_017452383.2, XP_038950984.1, XP_038952632.1, XP_038954117.2, XP_038957345.2, XP_063136416.1, XP_063136421.1, XP_063136433.1, XP_063137106.1
OG0000008			NP_001361116.1, NP_001365335.1, NP_001365362.1, NP_001365642.1, NP_001365643.1, NP_001365644.1, NP_001365655.1, NP_001365658.1, NP_001365660.1, NP_001365662.1, NP_001365663.1, NP_001371031.1, NP_001371168.1, XP_017171763.1, XP_036014226.1, XP_036014291.1, XP_036014688.1, XP_036014691.1, XP_036014702.1, XP_036014703.1, XP_036014706.1, XP_036014707.1, XP_036014887.1, XP_036014888.1, XP_036014889.1, XP_036014890.1, XP_036014891.1, XP_036014895.1, XP_036014898.1, XP_036014901.1, XP_036014902.1, XP_036014904.1, XP_036014905.1, XP_036014906.1	XP_006251732.2, XP_006251744.3, XP_006251754.3, XP_008768811.3, XP_017449177.1, XP_038949651.2, XP_038949693.1, XP_038949694.1, XP_038949695.1, XP_038949699.1, XP_038949700.2, XP_038949703.1, XP_038949710.1, XP_038966859.1, XP_063130804.1, XP_063130805.1, XP_063130806.1, XP_063130808.1, XP_063130809.1, XP_063130812.1, XP_063130814.1, XP_063130816.1, XP_063130817.1, XP_063130819.1, XP_063130820.1, XP_063130822.1, XP_063130824.1, XP_063130825.1, XP_063130828.1, XP_063130829.1, XP_063130830.1, XP_063130832.1, XP_063130841.1, XP_063130843.1, XP_063130846.1, XP_063130848.1, XP_063130849.1, XP_063130850.1, XP_063130852.1, XP_063130853.1, XP_063130908.1, XP_063130921.1, XP_063130980.1, XP_063130981.1, XP_063130987.1, XP_063130990.1, XP_063130992.1, XP_063131018.1, XP_063140927.1
OG0000009	NP_001159360.1, NP_001184024.1, XP_038381766.1, XP_038381768.1, XP_038381770.1, XP_038381772.1, XP_038381776.1, XP_038381778.1, XP_038381779.1, XP_038381783.1, XP_038399983.1, XP_038401558.1, XP_038439733.1, XP_038439736.1, XP_038439947.1, XP_038439950.1, XP_038439954.1, XP_038441811.1, XP_038442502.1	XP_005546364.1, XP_005554221.2, XP_005562161.2, XP_005562175.3, XP_005586558.3, XP_005586561.1, XP_005586563.3, XP_005586569.3, XP_005586571.3, XP_005586576.3, XP_005586577.3, XP_015295132.3, XP_015295138.3, XP_015295139.1, XP_045224319.2, XP_045233094.2, XP_045246380.2, XP_045246391.2, XP_065389731.1	NP_001070258.1, NP_001157589.1, NP_001357856.1, NP_031644.1, NP_033276.1, NP_033282.1, NP_035241.1, NP_035470.3, NP_035582.1, NP_035584.1, NP_035585.2, NP_035586.1, NP_035589.1, NP_035590.1, NP_079705.2, NP_082247.1, NP_683744.2, NP_766541.2, NP_766640.1, NP_899020.1, XP_006516681.1	NP_001009663.1, NP_001026812.1, NP_001099418.1, NP_001129339.1, NP_001382662.1, NP_062070.1, NP_067728.1, NP_446231.1, NP_476449.2, NP_569088.2, NP_714955.2, NP_808788.1, XP_006249702.1, XP_006253933.1, XP_006253934.1, XP_006253935.2, XP_006253937.2, XP_038951899.1, XP_038952280.1, XP_063128285.1
