Orthogroup	Canis_lupus_protein	Macaca_fascicularis_protein	Mus_musculus_protein	Rattus_norvegicus_protein
OG0000000	NP_001243379.1, NP_001243386.1, NP_001243427.1, NP_001300765.1, NP_001300815.1, NP_001375450.1, NP_001375451.1, NP_001375681.1, NP_001375683.1, NP_001375737.1, NP_001375748.1, NP_001375861.1, NP_001375868.1, NP_001375869.1, NP_001375876.1, NP_001375878.1, NP_001375912.1, NP_001375972.1, NP_001375975.1, NP_001375989.1, NP_001375993.1, NP_001376005.1, NP_001376047.1, NP_001376072.1, NP_001376078.1, NP_001376081.1, NP_001376099.1, NP_001376104.1, XP_038389608.1, XP_038396923.1, XP_038405446.1, XP_038405447.1, XP_038405449.1, XP_038405990.1, XP_038407482.1, XP_038432122.1, XP_038435154.1, XP_038444866.1, XP_038444867.1, XP_038444904.1, XP_038444987.1, XP_038444988.1, XP_038445012.1, XP_038445281.1, XP_038445505.1, XP_038445622.1	XP_005571166.3, XP_005571168.1, XP_005571169.2, XP_005571170.3, XP_005571171.3, XP_005571172.3, XP_005571173.3, XP_005572806.2, XP_005572807.3, XP_005572808.3, XP_005572809.3	NP_001011797.1, NP_001011821.1, NP_001011822.1, NP_001011849.1, NP_001078946.1, NP_001292359.1, NP_001292362.1, NP_666378.1, NP_666379.1, NP_666396.1, NP_666430.2, NP_666755.1, NP_666756.2, NP_666758.1, NP_666759.1, NP_666760.1, NP_666761.1, NP_666762.1, NP_666765.1, NP_666767.2, NP_666882.1, NP_666883.1, NP_666886.1, NP_666939.1, NP_666987.1, NP_667074.1, NP_667075.1, NP_667138.1, NP_667139.1, NP_667141.1, NP_667143.1, NP_996891.2, NP_997042.1, NP_997442.1, NP_997503.1	NP_001000055.1, NP_001000056.1, NP_001000057.1, NP_001000059.1, NP_001000060.1, NP_001000064.1, NP_001000066.1, NP_001000071.1, NP_001000072.1, NP_001000073.1, NP_001000074.1, NP_001000075.1, NP_001000076.1, NP_001000077.1, NP_001000487.1, NP_001000497.1, NP_001000498.1, NP_001000586.1, NP_001000587.1, NP_001000699.1, NP_001000700.1, NP_001000702.1, NP_001000703.1, NP_001000704.1, NP_001000705.1, NP_001000706.1, NP_001000707.1, NP_001000938.1, NP_001000940.1, NP_001001073.1, NP_001001074.1, NP_001001075.1, NP_001001076.1, NP_001001355.1, NP_001001356.1, NP_001001357.2, NP_001001360.1, NP_001001361.1, NP_001001365.1, NP_001001366.1, NP_001001368.1, NP_001001369.1, NP_001001371.1, NP_001001381.1, NP_001001382.1, NP_001001385.1, NP_001006597.1, NP_001382514.1, NP_001410141.1, XP_056840442.1, XP_063120092.1
OG0000001	XP_038381480.1, XP_038421312.1, XP_038423107.1, XP_038423356.1, XP_038423364.1, XP_038423800.1, XP_038423809.1	XP_005539643.2, XP_005596117.2, XP_015295750.3, XP_015295751.3, XP_015296317.3, XP_045234651.1, XP_065374960.1, XP_065386337.1, XP_065389456.1, XP_065392488.1	NP_001028295.2, NP_001079015.1, NP_001135882.1, NP_001186237.1, NP_001230832.1, NP_001292061.1, NP_001292065.1, NP_001349022.1, NP_001361605.1, NP_082436.1, NP_663599.3, XP_011238043.1, XP_017176715.1, XP_030103358.2, XP_030103370.1, XP_036018663.1	NP_001103147.2, NP_001132959.1, NP_001156535.1, NP_001171380.1, NP_001381950.1, NP_001395663.1, NP_001395949.1, NP_001395956.1, NP_001396199.1, NP_001406248.1, NP_001408333.1, XP_006228046.1, XP_006235724.3, XP_006238266.1, XP_006244276.1, XP_006253835.3, XP_008760797.2, XP_008760845.2, XP_008770655.1, XP_017445584.1, XP_017445586.1, XP_017447734.2, XP_017452376.2, XP_017453250.1, XP_017454926.2, XP_017455029.1, XP_017455043.1, XP_038936355.1, XP_038938713.1, XP_038940845.1, XP_038940855.1, XP_038940857.1, XP_038940864.1, XP_038940866.1, XP_038940876.1, XP_038943507.2, XP_038945841.1, XP_038946136.2, XP_038948567.1, XP_038948568.1, XP_038948571.1, XP_038952203.1, XP_038952209.1, XP_038952215.1, XP_038952233.1, XP_038952235.1, XP_038952237.1, XP_038954243.2, XP_038954258.2, XP_038954276.2, XP_038957392.1, XP_038962524.2, XP_038962525.2, XP_038962561.1, XP_038962572.1, XP_038962668.1, XP_038962669.1, XP_038962670.1, XP_038962696.1, XP_038964471.1, XP_038964868.1, XP_063117357.1, XP_063118921.1, XP_063120548.1, XP_063122660.1, XP_063123872.1, XP_063124011.1, XP_063124012.1, XP_063124264.1, XP_063124268.1, XP_063124271.1, XP_063124274.1, XP_063124277.1, XP_063127884.1, XP_063127916.1, XP_063132925.1, XP_063132929.1, XP_063135671.1, XP_063136635.1, XP_063136844.1, XP_063136845.1, XP_063136848.1, XP_063136849.1, XP_063136851.1, XP_063136854.1, XP_063136855.1, XP_063136858.1, XP_063136859.1, XP_063137126.1, XP_063137127.1, XP_063137128.1, XP_063138867.1, XP_063139048.1, XP_063140870.1, XP_063140875.1, XP_063140876.1, XP_063140878.1, XP_063141202.1, XP_063141290.1, XP_063141291.1, XP_063141292.1, XP_063141293.1, XP_063141294.1, XP_063141295.1, XP_063141399.1, XP_063142933.1
OG0000004	NP_001077100.1, NP_001243377.1, NP_001375617.1, NP_001375618.1, NP_001375622.1, NP_001375624.1, NP_001375633.1, NP_001375636.1, NP_001375638.1, NP_001375645.1, NP_001375646.1, NP_001375647.1, NP_001375648.1, NP_001375649.1, NP_001375650.1, NP_001375659.1, NP_001375759.1, NP_001375760.1, NP_001375761.1, NP_001375772.1, NP_001375773.1, NP_001375811.1, NP_001375837.1, NP_001375910.1, NP_001375930.1, NP_001375960.1, NP_001375971.1, NP_001376050.1, NP_001376070.1, XP_038424047.1, XP_038424084.1, XP_038424085.1, XP_038424088.1, XP_038424090.1, XP_038424108.1, XP_038424771.1, XP_038424773.1, XP_038424787.1, XP_038424788.1, XP_038425273.1, XP_038425274.1	XP_005578996.3, XP_015290875.3, XP_015291509.1, XP_015291516.3, XP_015291525.3, XP_015291527.3, XP_045226626.2, XP_045226629.2, XP_045227320.2, XP_065374745.1, XP_065384756.1, XP_065385805.1, XP_065385808.1	NP_001011845.2, NP_001011847.1, NP_001011848.1, NP_001020557.1, NP_001177310.1, NP_038648.2, NP_064686.2, NP_666470.1, NP_666962.1, NP_666969.1, NP_666971.1, NP_667025.1, NP_667259.2, NP_667266.1, NP_667280.1, NP_667281.2, NP_667299.1, NP_667308.2, NP_997026.1, NP_997029.1, NP_997439.2	NP_001000136.1, NP_001000138.1, NP_001000156.1, NP_001000166.1, NP_001000167.1, NP_001000168.1, NP_001000176.1, NP_001000179.1, NP_001000180.1, NP_001000181.1, NP_001000182.1, NP_001000184.1, NP_001000188.1, NP_001000190.1, NP_001000543.1, NP_001000739.1, NP_001000742.1, NP_001000747.1, NP_001000949.1, NP_001001001.1, NP_001001026.1, NP_001001030.1, NP_001001031.1, NP_001001271.1, XP_006229987.1
OG0000006	NP_001375710.1, NP_001375711.1, NP_001375714.1, NP_001375716.1, NP_001375717.1, NP_001375718.1, NP_001375719.1, NP_001375728.1, NP_001375807.1, NP_001375968.1, NP_001375979.1, NP_001375991.1, NP_001376008.1, NP_001376013.1, NP_001376019.1, NP_001376038.1, XP_038391418.1, XP_038391419.1, XP_038391420.1, XP_038391421.1, XP_038391423.1, XP_038391494.1, XP_038391748.1	XP_005580073.3, XP_005580078.3, XP_005580079.4, XP_005580080.3, XP_005580081.4, XP_005580082.2, XP_005580328.3, XP_015291541.3, XP_065385230.1	NP_001011812.1, NP_001011826.1, NP_001011859.1, NP_666438.2, NP_666443.1, NP_666531.1, NP_666650.1, NP_666693.1, NP_666718.1, NP_666820.2, NP_666822.1, NP_666824.1, NP_666825.1, NP_666956.2, NP_666957.1, NP_666960.2, NP_666992.1, NP_667037.1, NP_667040.2, NP_667041.2, NP_667094.2, NP_997548.1	NP_001000435.1, NP_001000436.1, NP_001000456.1, NP_001000459.1, NP_001000460.1, NP_001000463.1, NP_001000464.1, NP_001000470.1, NP_001000471.1, NP_001000472.1, NP_001000473.1, NP_001000475.1, NP_001000488.1, NP_001000596.1, NP_001000597.1, NP_001000598.1, NP_001000792.1, NP_001000793.1, NP_001000796.1, NP_001000797.1, NP_001000798.1, NP_001000800.1, NP_001000801.1, NP_001000818.1, NP_001000819.2, NP_001000960.1, NP_001000966.1, NP_001001087.2, NP_001001120.1, NP_775152.2, XP_006243206.2, XP_017451271.1, XP_038938795.1, XP_038938796.1
OG0000007	NP_001003339.1, NP_001006653.1, NP_001032422.1, NP_001041492.1, NP_001183973.1, XP_038395611.1, XP_038435139.1, XP_038445672.1	XP_005566052.3, XP_005566070.3, XP_015311894.3, XP_045217159.2, XP_045217164.1, XP_045217167.2, XP_045217169.2, XP_045217735.2, XP_045220173.2, XP_045220175.2, XP_045235500.2, XP_045235501.2, XP_045235505.2, XP_045235508.2, XP_045245719.2, XP_065377238.1, XP_065377752.1, XP_065391579.1, XP_065391580.1, XP_065391588.1, XP_065391595.1	NP_001011707.1, NP_001034644.2, NP_001074617.1, NP_001094937.1, NP_001097995.1, NP_001153737.1, NP_031838.2, NP_031840.1, NP_031841.3, NP_034127.2, NP_034129.1, NP_034131.2, NP_034132.2, NP_034133.2, NP_034134.3, NP_038837.1, NP_067257.1, NP_082365.1, NP_082467.2, NP_598418.1, NP_598905.2, NP_663474.2, NP_996260.1, XP_017173651.1	NP_001013926.2, NP_001129140.1, NP_001185605.1, NP_001258283.1, NP_001406456.1, NP_036674.1, NP_036824.1, NP_036825.1, NP_036919.1, NP_058852.2, NP_058854.1, NP_062057.2, NP_113731.2, NP_113760.2, NP_114027.2, NP_599196.2, NP_612521.2, NP_612523.1, NP_775416.1, NP_942028.1, XP_008757425.1, XP_008757502.1, XP_008757837.3, XP_017452383.2, XP_038950984.1, XP_038952632.1, XP_038954117.2, XP_038957345.2, XP_063136416.1, XP_063136421.1, XP_063136433.1, XP_063137106.1
OG0000009	NP_001159360.1, NP_001184024.1, XP_038381766.1, XP_038381768.1, XP_038381770.1, XP_038381772.1, XP_038381776.1, XP_038381778.1, XP_038381779.1, XP_038381783.1, XP_038399983.1, XP_038401558.1, XP_038439733.1, XP_038439736.1, XP_038439947.1, XP_038439950.1, XP_038439954.1, XP_038441811.1, XP_038442502.1	XP_005546364.1, XP_005554221.2, XP_005562161.2, XP_005562175.3, XP_005586558.3, XP_005586561.1, XP_005586563.3, XP_005586569.3, XP_005586571.3, XP_005586576.3, XP_005586577.3, XP_015295132.3, XP_015295138.3, XP_015295139.1, XP_045224319.2, XP_045233094.2, XP_045246380.2, XP_045246391.2, XP_065389731.1	NP_001070258.1, NP_001157589.1, NP_001357856.1, NP_031644.1, NP_033276.1, NP_033282.1, NP_035241.1, NP_035470.3, NP_035582.1, NP_035584.1, NP_035585.2, NP_035586.1, NP_035589.1, NP_035590.1, NP_079705.2, NP_082247.1, NP_683744.2, NP_766541.2, NP_766640.1, NP_899020.1, XP_006516681.1	NP_001009663.1, NP_001026812.1, NP_001099418.1, NP_001129339.1, NP_001382662.1, NP_062070.1, NP_067728.1, NP_446231.1, NP_476449.2, NP_569088.2, NP_714955.2, NP_808788.1, XP_006249702.1, XP_006253933.1, XP_006253934.1, XP_006253935.2, XP_006253937.2, XP_038951899.1, XP_038952280.1, XP_063128285.1
OG0000010	XP_038412335.1, XP_038413451.1, XP_038418003.1, XP_038418004.1, XP_038418005.1, XP_038418006.1, XP_038440238.1, XP_038440244.1, XP_038440278.1, XP_038440279.1, XP_038440281.1, XP_038440289.1, XP_038440295.1, XP_038440296.1, XP_038440297.1, XP_038440298.1, XP_038440305.1, XP_038440333.1, XP_038440334.1, XP_038440352.1, XP_038440353.1, XP_038440354.1, XP_038440363.1, XP_038440365.1, XP_038440416.1	XP_005541139.1, XP_005553844.1, XP_005553862.1, XP_005553863.1, XP_005553867.1, XP_005553876.2, XP_005553879.2, XP_005553886.2, XP_005553919.2, XP_005558384.3, XP_015294595.3, XP_015305253.1, XP_015305254.1, XP_015305255.2, XP_015305256.1, XP_015313424.1, XP_045245951.1, XP_045246515.1, XP_045254412.1, XP_065388418.1, XP_065400382.1, XP_065400385.1, XP_065402828.1	NP_001380452.1, NP_075911.2, NP_084358.1, NP_783594.1, NP_783595.1, NP_783596.1, NP_783597.2, NP_835501.1, NP_835502.1, NP_835503.1, NP_835504.1, NP_835505.1, NP_835506.1, NP_835507.1, NP_835508.1, NP_835586.2	NP_001100822.1, NP_001101884.1, NP_001102870.1, NP_001103111.1, NP_001104597.1, NP_001395683.1, NP_001395777.1, NP_001395862.1, NP_001395954.1, NP_001396017.1, NP_001396019.1, NP_001396026.1, NP_001403243.1, NP_072169.1, NP_072173.2
OG0000013	NP_001243388.1, NP_001375530.1, NP_001375531.1, NP_001375532.1, NP_001375541.1, NP_001375546.1, NP_001375547.1, NP_001375813.1, NP_001375815.1, NP_001375901.1, NP_001375936.1, NP_001375937.1, NP_001375951.1, NP_001375994.1, NP_001376113.1, NP_001376134.1, NP_001376137.1, XP_038418396.1, XP_038420407.1	XP_005539590.3, XP_005539592.3, XP_005562515.3, XP_005577948.3, XP_005577950.3, XP_005577951.3, XP_005578934.3, XP_005578936.1, XP_005580076.3, XP_005588359.4, XP_015290772.3, XP_015290779.3, XP_015290780.3, XP_015290781.3, XP_015290783.3, XP_015295710.3, XP_015300961.3, XP_045226622.2, XP_045246310.2, XP_065384717.1, XP_065385773.1, XP_065395673.1	NP_001011833.1, NP_001011834.1, NP_666804.2, NP_666848.1, NP_666849.1, NP_666850.1, NP_666853.2, NP_666858.2, NP_666869.2, NP_666870.2, NP_666871.2, NP_666963.2, NP_667047.1, NP_667221.2, NP_667226.1, NP_996559.1	NP_001000295.1, NP_001000320.1, NP_001000326.1, NP_001000327.1, NP_001000328.1, NP_001000331.1, NP_001000332.1, NP_001000568.1, NP_001000654.1, NP_001000658.1, NP_001000659.1, NP_001000660.1, NP_001000661.1, NP_001000663.1, NP_001000664.1, NP_001000928.1, NP_001001049.1, NP_001001052.1, NP_001001056.1, XP_017447822.2
OG0000014	XP_038381452.1, XP_038382737.1, XP_038383864.1, XP_038383876.1, XP_038384053.1, XP_038389711.1, XP_038390923.1, XP_038390932.1, XP_038395468.1, XP_038409055.1, XP_038412304.1, XP_038416450.1, XP_038430479.1, XP_038433866.1, XP_038434080.1, XP_038440307.1, XP_038445549.1	NP_001335371.1, XP_005549130.3, XP_005549594.2, XP_005558347.3, XP_005572774.3, XP_005587921.3, XP_005589066.2, XP_005589087.3, XP_005589089.3, XP_005589543.2, XP_005590183.3, XP_005590204.3, XP_005590620.2, XP_005592614.3, XP_005593491.3, XP_005596134.4, XP_015285394.3, XP_015287357.3, XP_015292121.3, XP_015292127.3, XP_015292146.3, XP_015292340.2, XP_015296586.3, XP_015296693.2, XP_015296899.2, XP_015302537.2, XP_015311295.2, XP_045222155.2, XP_045235722.2, XP_045238452.1, XP_065376633.1, XP_065376682.1, XP_065379308.1, XP_065388887.1, XP_065394218.1, XP_065394304.1, XP_065403213.1	NP_001004362.2, NP_001032754.1, NP_001074476.1, NP_001229950.1, NP_001277279.1, NP_001394469.1, NP_001396677.1, NP_035892.2, NP_766351.3, NP_940809.2, XP_030101795.1, XP_036008398.1	NP_001102465.2, NP_001121030.1, NP_478116.2, XP_001077082.3, XP_006228993.1, XP_017456932.1, XP_038956501.1, XP_038956805.1, XP_063117366.1, XP_063117412.1, XP_063137047.1
OG0000015	XP_038431683.1	XP_005544804.3, XP_005544805.3, XP_005544806.3, XP_005544808.3, XP_005544811.3, XP_005567881.1, XP_015309777.3, XP_015309790.3, XP_065385809.1	NP_001007580.1, NP_001078881.1, NP_001078887.1, NP_001107207.1, NP_001107208.2, NP_001116140.1, NP_001116150.1, NP_001119787.2, NP_001119796.2, NP_001157756.1, NP_001257385.1, NP_001257386.1, NP_001399470.1, NP_001405240.1, NP_766465.1, NP_796161.3, NP_941069.1, XP_001476078.1, XP_001476360.1, XP_001476598.1, XP_003689193.1, XP_003945894.1, XP_003945897.1, XP_006539048.2, XP_011247943.2, XP_011247946.2, XP_011248188.1, XP_011249427.2, XP_011249431.2, XP_017174405.1, XP_017174406.1, XP_017175368.1, XP_017176748.1, XP_017176749.1, XP_017176750.1, XP_036018114.1, XP_987278.1	NP_001102799.1, NP_001129254.1, NP_001388153.1, XP_001065244.1, XP_001076970.1, XP_001077012.1, XP_003751353.2, XP_003751380.1, XP_006238418.1, XP_006239406.2, XP_006239408.1, XP_006250776.2, XP_008762058.1, XP_017457709.1, XP_038948470.1, XP_038948472.1, XP_038948478.1, XP_038948482.1, XP_038948484.2, XP_038948839.1, XP_038967427.1, XP_056841534.1, XP_063129947.1, XP_063129949.1, XP_063129952.1, XP_063144750.1, XP_577321.1, XP_577327.1, XP_578142.3
