Orthogroup	Gene1	Species1	Gene2	Species2
cluster_2332	AT1G01790.1	A.thaliana	CARHR000530.1	C.hirsuta
cluster_1070	AT1G01510.1	A.thaliana	CARHR000860.1	C.hirsuta
cluster_4446	AT1G01460.1	A.thaliana	CARHR000910.1	C.hirsuta
cluster_483	AT1G01190.1	A.thaliana	CARHR001280.1	C.hirsuta
cluster_899	AT1G02280.1	A.thaliana	CARHR001580.1	C.hirsuta
cluster_10178	AT1G02475.1	A.thaliana	CARHR001800.1	C.hirsuta
cluster_1688	AT1G02840.1	A.thaliana	CARHR002180.1	C.hirsuta
cluster_2592	AT1G03010.1	A.thaliana	CARHR002350.1	C.hirsuta
cluster_4447	AT1G03060.1	A.thaliana	CARHR002410.1	C.hirsuta
cluster_461	AT1G03270.1	A.thaliana	CARHR002570.1	C.hirsuta
cluster_10180	AT1G03650.1	A.thaliana	CARHR002980.1	C.hirsuta
cluster_7811	AT1G04390.1	A.thaliana	CARHR003720.1	C.hirsuta
cluster_2333	AT1G04640.1	A.thaliana	CARHR004000.1	C.hirsuta
cluster_1207	AT1G04840.1	A.thaliana	CARHR004230.1	C.hirsuta
cluster_3954	AT1G05790.1	A.thaliana	CARHR005310.1	C.hirsuta
cluster_1837	AT1G05830.1	A.thaliana	CARHR005360.1	C.hirsuta
cluster_5414	AT1G06210.1	A.thaliana	CARHR005740.1	C.hirsuta
cluster_10183	AT1G06330.1	A.thaliana	CARHR005890.1	C.hirsuta
cluster_1414	AT1G07380.1	A.thaliana	CARHR007090.1	C.hirsuta
cluster_3957	AT1G08315.1	A.thaliana	CARHR008200.1	C.hirsuta
cluster_10186	AT1G08520.1	A.thaliana	CARHR008420.1	C.hirsuta
cluster_10187	AT1G08530.1	A.thaliana	CARHR008430.1	C.hirsuta
cluster_6472	AT1G08820.1	A.thaliana	CARHR008740.1	C.hirsuta
cluster_99	AT1G09170.1	A.thaliana	CARHR009100.1	C.hirsuta
cluster_4451	AT1G09195.2	A.thaliana	CARHR009150.1	C.hirsuta
cluster_258	AT1G09350.1	A.thaliana	CARHR009320.1	C.hirsuta
cluster_342	AT1G09440.1	A.thaliana	CARHR009410.1	C.hirsuta
cluster_742	AT1G09720.1	A.thaliana	CARHR009690.1	C.hirsuta
cluster_6473	AT1G09870.1	A.thaliana	CARHR009900.1	C.hirsuta
cluster_6474	AT1G09920.1	A.thaliana	CARHR009970.1	C.hirsuta
cluster_4830	AT1G10095.1	A.thaliana	CARHR010210.1	C.hirsuta
cluster_1140	AT1G10155.1	A.thaliana	CARHR010260.1	C.hirsuta
cluster_10189	AT1G10385.1	A.thaliana	CARHR010520.1	C.hirsuta
