Orthogroup	Gene1	Species1	Gene2	Species2
OG0000000	AT1G10920.3	arabidopsis	AT1G10920.5	arabidopsis
OG0000000	AT1G10920.3	arabidopsis	AT1G58390.2	arabidopsis
OG0000000	AT1G10920.3	arabidopsis	AT1G59780.2	arabidopsis
OG0000000	AT1G10920.5	arabidopsis	AT1G58390.2	arabidopsis
OG0000000	AT1G10920.5	arabidopsis	AT1G59780.2	arabidopsis
OG0000000	AT1G58390.2	arabidopsis	AT1G59780.2	arabidopsis
OG0000000	CARHR010420.1	cardamine	CARHR010420.2	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR010430.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR011140.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR028380.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR028380.2	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR028380.3	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR028380.4	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR035560.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR035570.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR040210.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR040250.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR040250.2	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR040250.3	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR040250.4	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR040250.5	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR040250.6	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR040250.7	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR040250.8	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR043920.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR053290.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR053290.2	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR053510.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR053930.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR053930.2	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR058170.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR123290.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR123300.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR154950.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR154960.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR154980.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR154990.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR155000.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR155050.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR155060.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR183340.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR183350.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR183360.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR183370.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR183380.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR183400.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR190790.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR190790.2	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR283720.1	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR283720.2	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR283720.3	cardamine
OG0000000	CARHR010420.1	cardamine	CARHR283730.1	cardamine
