Orthogroup	Gene1	Species1	Gene2	Species2
OG0000000	NP_001376047.1	Canis_lupus_protein	NP_001011797.1	Mus_musculus_protein
OG0000000	NP_001243427.1	Canis_lupus_protein	XP_005572806.2	Macaca_fascicularis_protein
OG0000000	XP_005572806.2	Macaca_fascicularis_protein	NP_666762.1	Mus_musculus_protein
OG0000000	NP_666762.1	Mus_musculus_protein	NP_001000706.1	Rattus_norvegicus_protein
OG0000000	NP_001243427.1	Canis_lupus_protein	NP_666762.1	Mus_musculus_protein
OG0000000	NP_001243427.1	Canis_lupus_protein	NP_001000706.1	Rattus_norvegicus_protein
OG0000000	XP_005572806.2	Macaca_fascicularis_protein	NP_001000706.1	Rattus_norvegicus_protein
OG0000000	XP_005572809.3	Macaca_fascicularis_protein	NP_667138.1	Mus_musculus_protein
OG0000000	NP_667138.1	Mus_musculus_protein	NP_001001076.1	Rattus_norvegicus_protein
OG0000000	XP_005572809.3	Macaca_fascicularis_protein	NP_001001076.1	Rattus_norvegicus_protein
OG0000000	XP_038432122.1	Canis_lupus_protein	XP_005572808.3	Macaca_fascicularis_protein
OG0000000	XP_005572808.3	Macaca_fascicularis_protein	NP_666379.1	Mus_musculus_protein
OG0000000	NP_666379.1	Mus_musculus_protein	NP_001000707.1	Rattus_norvegicus_protein
OG0000000	XP_038432122.1	Canis_lupus_protein	NP_666379.1	Mus_musculus_protein
OG0000000	XP_038432122.1	Canis_lupus_protein	NP_001000707.1	Rattus_norvegicus_protein
OG0000000	XP_005572808.3	Macaca_fascicularis_protein	NP_001000707.1	Rattus_norvegicus_protein
OG0000000	XP_038405990.1	Canis_lupus_protein	XP_005571169.2	Macaca_fascicularis_protein
OG0000000	NP_001375869.1	Canis_lupus_protein	XP_005571171.3	Macaca_fascicularis_protein
OG0000000	NP_001375681.1	Canis_lupus_protein	XP_005571170.3	Macaca_fascicularis_protein
OG0000000	NP_001375681.1	Canis_lupus_protein	NP_001000055.1	Rattus_norvegicus_protein
OG0000000	XP_005571170.3	Macaca_fascicularis_protein	NP_001000055.1	Rattus_norvegicus_protein
OG0000000	NP_001375450.1	Canis_lupus_protein	XP_005571172.3	Macaca_fascicularis_protein
OG0000000	XP_005571172.3	Macaca_fascicularis_protein	NP_667141.1	Mus_musculus_protein
OG0000000	NP_667141.1	Mus_musculus_protein	NP_001001360.1	Rattus_norvegicus_protein
OG0000000	NP_001375450.1	Canis_lupus_protein	NP_667141.1	Mus_musculus_protein
OG0000000	NP_001375450.1	Canis_lupus_protein	NP_001001360.1	Rattus_norvegicus_protein
OG0000000	XP_005571172.3	Macaca_fascicularis_protein	NP_001001360.1	Rattus_norvegicus_protein
OG0000000	NP_001375683.1	Canis_lupus_protein	XP_005571166.3	Macaca_fascicularis_protein
OG0000000	NP_001375683.1	Canis_lupus_protein	NP_001000497.1	Rattus_norvegicus_protein
OG0000000	XP_005571166.3	Macaca_fascicularis_protein	NP_001000497.1	Rattus_norvegicus_protein
