Orthogroup	Gene1	Species1	Gene2	Species2
OG0000000	FBpp0078649	dmel	FBpp0200000	dsec
OG0000000	FBpp0078649	dmel	FBpp0221721	dsim
OG0000000	FBpp0085250	dmel	FBpp0201186	dsec
OG0000000	FBpp0091058	dmel	FBpp0201196	dsec
OG0000000	FBpp0091079	dmel	FBpp0201186	dsec
OG0000000	FBpp0091100	dmel	FBpp0201186	dsec
OG0000000	FBpp0091112	dmel	FBpp0201186	dsec
OG0000000	FBpp0071280	dmel	FBpp0195153	dsec
OG0000000	FBpp0071280	dmel	FBpp0323186	dsim
OG0000000	FBpp0221721	dsim	FBpp0200000	dsec
OG0000000	FBpp0323186	dsim	FBpp0195153	dsec
OG0000000	FBpp0194670	dsec	FBpp0085250	dmel
OG0000000	FBpp0194673	dsec	FBpp0085250	dmel
OG0000000	FBpp0194675	dsec	FBpp0085250	dmel
OG0000000	FBpp0193185	dsec	FBpp0085250	dmel
OG0000000	FBpp0201188	dsec	FBpp0085250	dmel
OG0000000	FBpp0201196	dsec	FBpp0085250	dmel
OG0000000	FBpp0201199	dsec	FBpp0085250	dmel
OG0000000	FBpp0201203	dsec	FBpp0085250	dmel
OG0000000	FBpp0201206	dsec	FBpp0085250	dmel
OG0000001	FBpp0091050	dmel	FBpp0201197	dsec
OG0000001	FBpp0085248	dmel	FBpp0194671	dsec
OG0000001	FBpp0091057	dmel	FBpp0194671	dsec
OG0000001	FBpp0091059	dmel	FBpp0201197	dsec
OG0000001	FBpp0091062	dmel	FBpp0201197	dsec
OG0000001	FBpp0091080	dmel	FBpp0201197	dsec
OG0000001	FBpp0091101	dmel	FBpp0201197	dsec
OG0000001	FBpp0194674	dsec	FBpp0091057	dmel
OG0000001	FBpp0193183	dsec	FBpp0085248	dmel
OG0000001	FBpp0201185	dsec	FBpp0085248	dmel
OG0000001	FBpp0201191	dsec	FBpp0091057	dmel
OG0000001	FBpp0201194	dsec	FBpp0091057	dmel
OG0000001	FBpp0201197	dsec	FBpp0091057	dmel
OG0000001	FBpp0201200	dsec	FBpp0091057	dmel
OG0000001	FBpp0201204	dsec	FBpp0091057	dmel
OG0000002	FBpp0085249	dmel	FBpp0201195	dsec
OG0000002	FBpp0091111	dmel	FBpp0201195	dsec
OG0000002	FBpp0201202	dsec	FBpp0085249	dmel
OG0000003	FBpp0091149	dmel	FBpp0201178	dsec
OG0000003	FBpp0091113	dmel	FBpp0201173	dsec
OG0000003	FBpp0201180	dsec	FBpp0091149	dmel
OG0000003	FBpp0201174	dsec	FBpp0091149	dmel
OG0000003	FBpp0201173	dsec	FBpp0091149	dmel
OG0000005	FBpp0310392	dmel	FBpp0193589	dsec
OG0000005	FBpp0310392	dmel	FBpp0324071	dsim
OG0000005	FBpp0091161	dmel	FBpp0193589	dsec
OG0000005	FBpp0091161	dmel	FBpp0221317	dsim
OG0000005	FBpp0091019	dmel	FBpp0193929	dsec
OG0000005	FBpp0091019	dmel	FBpp0220757	dsim
OG0000005	FBpp0091166	dmel	FBpp0198607	dsec
OG0000005	FBpp0091166	dmel	FBpp0220273	dsim
OG0000005	FBpp0110156	dmel	FBpp0209298	dsim
OG0000005	FBpp0091048	dmel	FBpp0202914	dsec
OG0000005	FBpp0091048	dmel	FBpp0209337	dsim
OG0000005	FBpp0428277	dmel	FBpp0201589	dsec
OG0000005	FBpp0428277	dmel	FBpp0223991	dsim
OG0000005	FBpp0072283	dmel	FBpp0193377	dsec
OG0000005	FBpp0072283	dmel	FBpp0312715	dsim
OG0000005	FBpp0091027	dmel	FBpp0195468	dsec
OG0000005	FBpp0091027	dmel	FBpp0322983	dsim
OG0000005	FBpp0091038	dmel	FBpp0202914	dsec
OG0000005	FBpp0091038	dmel	FBpp0322964	dsim
OG0000005	FBpp0091157	dmel	FBpp0203669	dsec
OG0000005	FBpp0091157	dmel	FBpp0210570	dsim
OG0000005	FBpp0090991	dmel	FBpp0207716	dsec
OG0000005	FBpp0090991	dmel	FBpp0219182	dsim
