Annotee_Identifier	Human_Readable_Description
FBpp0122073	interference hedgehog
FBpp0136724	trichoplein keratin filament binding protein
FBpp0192594	voltage dependent l type calcium channel subunit beta
FBpp0213248	neuronal calcium sensor x1
FBpp0166294	nif protein
FBpp0219661	enhancer of split malpha protein
FBpp0257167	u2 snrnp associated surp motif containing protein
FBpp0326549	dynein regulatory complex protein
FBpp0112436	sarcoplasmic calcium binding protein alpha b and a
FBpp0184069	specific 3 5 phosphodiesterase
FBpp0126753	cleavage and polyadenylation specificity factor subunit
GA16744-PA	dde tnp domain containing protein
FBpp0126185	serendipity locus protein delta
FBpp0260954	peptidoglycan recognition protein
FBpp0156939	leucine rich repeat protein soc
FBpp0191336	t48 protein
FBpp0197193	peptidase s1 domain containing protein
FBpp0260617	dexh box atp dependent rna helicase
FBpp0120067	carotenoid isomerooxygenase
FBpp0117187	chitinase protein idgf
FBpp0312827	homeobox domain containing protein
FBpp0265978	c2h2 type domain containing protein
GA18354-PA	fch and double sh domains protein
GA15581-PA	zinc finger mynd domain containing protein
FBpp0164128	pyruvate dehydrogenase e1 component subunit alpha
FBpp0143647	procyclic form specific polypeptide alpha
FBpp0209503	px domain containing protein
FBpp0163482	protein phosphatase inhibitor
GA12284-PA	zp domain containing protein
FBpp0236203	enkurin domain containing protein
FBpp0260586	ubiquitin conjugating enzyme e2 s
FBpp0070369	costars domain containing protein
FBpp0250803	corticotropin releasing factor domain containing protein
FBpp0256871	plexus
FBpp0204725	hormone sensitive lipase
FBpp0184656	titin
FBpp0195104	gm
GA20255-PA	rrna adenine n 6 methyltransferase
FBpp0214917	vacuolar protein sorting associated 37c
FBpp0189598	l71 8 protein
FBpp0253666	alpha mannosidase
FBpp0157965	c2h2 type domain containing protein
FBpp0116644	pdz domain containing protein
FBpp0316395	importin subunit beta
FBpp0223534	ig domain containing protein
FBpp0193195	e3 ubiquitin protein ligase
FBpp0127999	alpha carbonic anhydrase domain containing protein
FBpp0248124	flightin
FBpp0157786	histone h4
FBpp0145361	cytosolic non specific dipeptidase
FBpp0114410	c2h2 type domain containing protein
FBpp0157004	zinc finger ccch domain containing protein
FBpp0077704	post gpi attachment to proteins factor
FBpp0199710	trans dihydrobenzene diol dehydrogenase
FBpp0206693	chromosome transmission fidelity protein
FBpp0221811	protein adenylyltransferase fic
FBpp0229277	ska n terminal domain containing protein
FBpp0172120	pig p domain containing protein
FBpp0170530	hect type e3 ubiquitin transferase
FBpp0173083	homeobox domain containing protein
FBpp0074266	sulfiredoxin
FBpp0310925	drosophila melanogaster
FBpp0196299	acyl coa binding protein
FBpp0201546	isopropylmalate dehydrogenase domain containing protein
FBpp0131057	gd
FBpp0269068	gd
FBpp0188761	nucleolar mif4g domain containing protein
FBpp0202425	gd
FBpp0073891	gamma tubulin complex component
FBpp0206881	dendritic cell specific transmembrane protein domain containing
FBpp0141209	peptidase s1 domain containing protein
FBpp0175748	flocculation protein flo
FBpp0113877	pyridoxal kinase
FBpp0165298	large ribosomal subunit protein ul3m
FBpp0260497	protein bangles and beads
FBpp0192916	rna binding protein x1
FBpp0128831	beach domain containing protein
FBpp0186725	ganglioside induced differentiation associated protein
FBpp0244815	nadh dehydrogenase
FBpp0236343	acidic mammalian chitinase
FBpp0270312	cysteine proteinase cg
FBpp0215520	c2 domain containing protein
GA10622-PA	ovarian specific serine threonine protein kinase lok
FBpp0205206	apoptosis inducing factor 1 mitochondrial
FBpp0203833	ab hydrolase domain containing protein
GA15532-PA	cas1p tm acyl transferase domain containing protein
FBpp0187425	gl
FBpp0167961	sprouty evh domain containing protein
FBpp0234181	golgi specific brefeldin a resistance guanine nucleotide exchange factor
FBpp0129049	accessory gland protein acp29ab
FBpp0219611	chk kinase domain containing protein
FBpp0128330	myosin g heavy chain
FBpp0134200	tetraspanin
FBpp0111456	dual 3 5 and phosphodiesterase
FBpp0225310	heme oxygenase
FBpp0168772	kynurenine 3 monooxygenase
FBpp0116431	containing protein rhino
FBpp0141469	ejaculatory bulb specific protein
FBpp0141801	tetraspanin
FBpp0083602	drosophila melanogaster
FBpp0202869	dystrobrevin beta x1
FBpp0216937	rna helicase
FBpp0232083	protein sleepless
FBpp0118264	gd
FBpp0123672	nose resistant to fluoxetine protein
FBpp0154013	ionotropic glutamate receptor c terminal domain containing protein
FBpp0147351	c type lectin domain containing protein
FBpp0305355	organic cation transporter protein
FBpp0226431	md lipid recognition domain containing protein
FBpp0144308	defense protein l 2 34fc
FBpp0073252	fi17384p1
FBpp0077459	out at first protein
FBpp0071794	atp synthase subunit alpha
FBpp0246799	disco interacting protein x1
FBpp0249919	c2h2 type domain containing protein
FBpp0251196	rna binding protein
FBpp0260504	adf h domain containing protein
FBpp0263561	odorant receptor
FBpp0127150	importin n terminal domain containing protein
FBpp0183781	odorant receptor
FBpp0266145	duf 4776 domain containing protein
