Orthogroup	dana	dere	dgri	dmel	dmoj	dper	dpse	dsec	dsim	dvir	dwil	dyak
OG0000000	FBpp0117097, FBpp0118912, FBpp0119079, FBpp0119114, FBpp0122174, FBpp0122363, FBpp0122473, FBpp0123357, FBpp0123551, FBpp0123572, FBpp0124714, FBpp0124800, FBpp0124821, FBpp0124861, FBpp0125392, FBpp0125425, FBpp0125457, FBpp0125485, FBpp0125539, FBpp0126047	FBpp0129546, FBpp0129550, FBpp0129553, FBpp0129556, FBpp0131121, FBpp0131125, FBpp0131501, FBpp0131536, FBpp0131541, FBpp0131554, FBpp0131560, FBpp0131563, FBpp0131566, FBpp0131570, FBpp0131608, FBpp0134896, FBpp0134903, FBpp0134915, FBpp0136789, FBpp0137546, FBpp0138337, FBpp0138352, FBpp0138362, FBpp0138376, FBpp0138396, FBpp0139819, FBpp0139853, FBpp0139856, FBpp0139859, FBpp0139862, FBpp0139866, FBpp0139869, FBpp0139872, FBpp0139876, FBpp0139879, FBpp0139880, FBpp0143594	FBpp0144055, FBpp0144077, FBpp0145395, FBpp0157238, FBpp0157240, FBpp0157245, FBpp0157250, FBpp0157375, FBpp0157410, FBpp0157419, FBpp0157478, FBpp0157655, FBpp0157668, FBpp0157671, FBpp0157782, FBpp0158629, FBpp0158855, FBpp0158906, FBpp0159054, FBpp0159058, FBpp0159061, FBpp0159064, FBpp0159066, FBpp0159068, FBpp0159071, FBpp0159074, FBpp0159079	FBpp0071280, FBpp0078649, FBpp0085250, FBpp0091051, FBpp0091053, FBpp0091056, FBpp0091058, FBpp0091061, FBpp0091064, FBpp0091067, FBpp0091070, FBpp0091073, FBpp0091076, FBpp0091079, FBpp0091082, FBpp0091085, FBpp0091088, FBpp0091091, FBpp0091094, FBpp0091097, FBpp0091100, FBpp0091103, FBpp0091106, FBpp0091109, FBpp0091112	FBpp0159257, FBpp0160475, FBpp0161930, FBpp0164096, FBpp0166110, FBpp0166201, FBpp0166468, FBpp0166470, FBpp0166472, FBpp0171093, FBpp0172655, FBpp0172657, FBpp0172659, FBpp0172663, FBpp0174074	FBpp0181082, FBpp0181908, FBpp0183808, FBpp0186480, FBpp0188058, FBpp0188062, FBpp0188065, FBpp0188068, FBpp0190657, FBpp0190938	GA19158-PA	FBpp0192282, FBpp0192519, FBpp0192625, FBpp0192643, FBpp0192658, FBpp0192661, FBpp0193130, FBpp0193185, FBpp0193188, FBpp0193551, FBpp0193862, FBpp0194479, FBpp0194601, FBpp0194616, FBpp0194656, FBpp0194670, FBpp0194673, FBpp0194675, FBpp0195020, FBpp0195059, FBpp0195103, FBpp0195106, FBpp0195153, FBpp0196610, FBpp0196930, FBpp0197585, FBpp0197709, FBpp0197734, FBpp0197757, FBpp0197874, FBpp0197880, FBpp0198355, FBpp0198875, FBpp0198919, FBpp0200000, FBpp0200212, FBpp0200282, FBpp0200288, FBpp0200309, FBpp0200788, FBpp0200791, FBpp0200802, FBpp0200820, FBpp0200828, FBpp0201125, FBpp0201132, FBpp0201147, FBpp0201186, FBpp0201188, FBpp0201196, FBpp0201199, FBpp0201203, FBpp0201206, FBpp0201215, FBpp0201217, FBpp0201228, FBpp0201230, FBpp0201236, FBpp0202429, FBpp0203427, FBpp0203580, FBpp0204902, FBpp0205671, FBpp0206444, FBpp0206602, FBpp0208138, FBpp0208204	FBpp0221721, FBpp0313116, FBpp0323186	FBpp0225306, FBpp0229582, FBpp0229725, FBpp0229865, FBpp0230530, FBpp0230761, FBpp0230763, FBpp0231492, FBpp0231648, FBpp0232818, FBpp0232822, FBpp0233002, FBpp0234228, FBpp0236954, FBpp0236969, FBpp0237002, FBpp0238109, FBpp0238111, FBpp0238115, FBpp0238118, FBpp0238120, FBpp0238124, FBpp0238128	FBpp0239523, FBpp0241545, FBpp0248036, FBpp0248300, FBpp0248380, FBpp0250275, FBpp0253024, FBpp0254174, FBpp0254305	FBpp0256338, FBpp0262422
OG0000001	FBpp0117115, FBpp0117599, FBpp0119080, FBpp0119115, FBpp0119209, FBpp0122147, FBpp0122172, FBpp0122199, FBpp0122448, FBpp0122835, FBpp0123146, FBpp0123356, FBpp0123358, FBpp0123562, FBpp0123765, FBpp0124715, FBpp0124746, FBpp0125403, FBpp0125436, FBpp0125468, FBpp0125496, FBpp0125528, FBpp0125550, FBpp0126048, FBpp0126618	FBpp0129496, FBpp0129531, FBpp0129544, FBpp0129548, FBpp0129551, FBpp0129554, FBpp0129557, FBpp0129598, FBpp0129624, FBpp0131119, FBpp0131122, FBpp0131510, FBpp0131557, FBpp0131561, FBpp0131564, FBpp0131567, FBpp0131571, FBpp0131638, FBpp0134916, FBpp0136900, FBpp0138350, FBpp0138358, FBpp0138397, FBpp0139850, FBpp0139854, FBpp0139857, FBpp0139860, FBpp0139864, FBpp0139867, FBpp0139870, FBpp0139873, FBpp0139877, FBpp0141587	FBpp0144088, FBpp0147843, FBpp0156399, FBpp0157239, FBpp0157251, FBpp0157322, FBpp0157396, FBpp0157421, FBpp0157686, FBpp0157783, FBpp0158907, FBpp0159056, FBpp0159059, FBpp0159062, FBpp0159069, FBpp0159072, FBpp0159075, FBpp0159080, FBpp0159086, FBpp0159188	FBpp0085248, FBpp0091050, FBpp0091052, FBpp0091054, FBpp0091057, FBpp0091059, FBpp0091062, FBpp0091065, FBpp0091068, FBpp0091071, FBpp0091074, FBpp0091077, FBpp0091080, FBpp0091083, FBpp0091086, FBpp0091089, FBpp0091092, FBpp0091095, FBpp0091098, FBpp0091101, FBpp0091104, FBpp0091107, FBpp0091110		FBpp0181909, FBpp0188056, FBpp0188059, FBpp0188063, FBpp0188066, FBpp0188069		FBpp0191892, FBpp0191942, FBpp0192517, FBpp0192587, FBpp0192600, FBpp0192641, FBpp0192644, FBpp0192659, FBpp0192958, FBpp0193115, FBpp0193183, FBpp0193186, FBpp0193424, FBpp0193646, FBpp0194435, FBpp0194443, FBpp0194671, FBpp0194674, FBpp0194681, FBpp0195022, FBpp0195036, FBpp0195077, FBpp0195104, FBpp0196951, FBpp0197717, FBpp0198365, FBpp0198393, FBpp0198396, FBpp0198420, FBpp0199327, FBpp0200753, FBpp0200787, FBpp0200798, FBpp0201077, FBpp0201086, FBpp0201150, FBpp0201185, FBpp0201191, FBpp0201194, FBpp0201197, FBpp0201200, FBpp0201204, FBpp0201216, FBpp0201218, FBpp0201231, FBpp0201234, FBpp0203684, FBpp0207673, FBpp0208179, FBpp0208183	FBpp0211967, FBpp0222725, FBpp0318975	FBpp0229863, FBpp0234229, FBpp0236958, FBpp0236980, FBpp0237012, FBpp0238107, FBpp0238112, FBpp0238116, FBpp0238122, FBpp0238126	FBpp0239521, FBpp0239524, FBpp0241534, FBpp0247851, FBpp0247954	FBpp0257930, FBpp0259482, FBpp0259483, FBpp0259491, FBpp0259650, FBpp0259712, FBpp0260153
OG0000002	FBpp0114211, FBpp0119078, FBpp0119081, FBpp0119113, FBpp0122056, FBpp0122173, FBpp0122472, FBpp0122501, FBpp0123732, FBpp0123842, FBpp0123870, FBpp0124707, FBpp0124712, FBpp0125414, FBpp0125447, FBpp0125475, FBpp0125507, FBpp0126049, FBpp0126053, FBpp0126616, FBpp0127778	FBpp0129497, FBpp0129510, FBpp0129549, FBpp0129552, FBpp0129555, FBpp0129559, FBpp0131120, FBpp0131123, FBpp0131535, FBpp0131559, FBpp0131562, FBpp0131565, FBpp0131568, FBpp0131572, FBpp0131606, FBpp0134895, FBpp0134917, FBpp0136679, FBpp0137011, FBpp0138332, FBpp0138343, FBpp0138375, FBpp0138386, FBpp0138395, FBpp0138398, FBpp0139851, FBpp0139855, FBpp0139858, FBpp0139861, FBpp0139865, FBpp0139868, FBpp0139878	FBpp0156400, FBpp0157236, FBpp0157241, FBpp0157243, FBpp0157246, FBpp0157249, FBpp0157397, FBpp0157409, FBpp0157411, FBpp0157669, FBpp0157672, FBpp0157693, FBpp0157781, FBpp0157784, FBpp0157803, FBpp0157955, FBpp0158262, FBpp0159053, FBpp0159057, FBpp0159060, FBpp0159063, FBpp0159065, FBpp0159067, FBpp0159070, FBpp0159073, FBpp0159078, FBpp0159081	FBpp0085249, FBpp0091055, FBpp0091060, FBpp0091063, FBpp0091066, FBpp0091069, FBpp0091072, FBpp0091075, FBpp0091078, FBpp0091081, FBpp0091084, FBpp0091087, FBpp0091090, FBpp0091093, FBpp0091096, FBpp0091099, FBpp0091102, FBpp0091105, FBpp0091108, FBpp0091111	FBpp0163740, FBpp0166109, FBpp0166467, FBpp0166469, FBpp0166471, FBpp0171094, FBpp0172656, FBpp0172658, FBpp0172661, FBpp0172662, FBpp0174095	FBpp0180139, FBpp0181192, FBpp0181910, FBpp0188057, FBpp0188060, FBpp0188064, FBpp0188067, FBpp0188070		FBpp0192051, FBpp0197579, FBpp0197639, FBpp0197663, FBpp0197708, FBpp0197867, FBpp0198021, FBpp0198022, FBpp0198341, FBpp0198917, FBpp0200263, FBpp0200293, FBpp0200797, FBpp0200816, FBpp0200827, FBpp0200918, FBpp0201087, FBpp0201195, FBpp0201202, FBpp0201205, FBpp0201219, FBpp0201495, FBpp0203325, FBpp0203622, FBpp0203792, FBpp0203976	FBpp0222871	FBpp0225551, FBpp0228998, FBpp0229037, FBpp0229041, FBpp0229580, FBpp0229864, FBpp0229953, FBpp0230758, FBpp0230762, FBpp0232252, FBpp0232817, FBpp0233650, FBpp0233987, FBpp0234203, FBpp0234230, FBpp0234231, FBpp0236991, FBpp0238108, FBpp0238110, FBpp0238113, FBpp0238119, FBpp0238121, FBpp0238123, FBpp0238127	FBpp0239522, FBpp0239525, FBpp0247643, FBpp0247852, FBpp0248055, FBpp0250153, FBpp0252769	FBpp0259588, FBpp0260137, FBpp0260152
OG0000003	FBpp0117098, FBpp0119083, FBpp0119216, FBpp0122148, FBpp0122176, FBpp0122446, FBpp0122469, FBpp0122471, FBpp0122783, FBpp0123355, FBpp0123736, FBpp0123871, FBpp0125708, FBpp0125741, FBpp0125785, FBpp0125807, FBpp0126051, FBpp0126573, FBpp0126619	FBpp0129499, FBpp0129560, FBpp0129562, FBpp0129564, FBpp0129566, FBpp0129568, FBpp0131127, FBpp0131129, FBpp0131131, FBpp0131503, FBpp0131574, FBpp0131576, FBpp0131578, FBpp0131581, FBpp0131582, FBpp0131603, FBpp0131607, FBpp0134919, FBpp0137230, FBpp0138377, FBpp0138391, FBpp0138394, FBpp0140034, FBpp0140038, FBpp0140040, FBpp0140042, FBpp0140044, FBpp0140046, FBpp0140049, FBpp0140051, FBpp0140053	FBpp0144876, FBpp0156139, FBpp0156398, FBpp0157253, FBpp0157254, FBpp0157256, FBpp0157258, FBpp0157263, FBpp0157395, FBpp0157452, FBpp0157673, FBpp0157675, FBpp0157687, FBpp0157787, FBpp0158942, FBpp0158944, FBpp0158947, FBpp0158949, FBpp0158951, FBpp0158953, FBpp0158955, FBpp0158958, FBpp0158960, FBpp0158962, FBpp0158964, FBpp0158966, FBpp0158970	FBpp0085281, FBpp0091113, FBpp0091115, FBpp0091117, FBpp0091119, FBpp0091121, FBpp0091123, FBpp0091125, FBpp0091127, FBpp0091129, FBpp0091131, FBpp0091133, FBpp0091135, FBpp0091137, FBpp0091139, FBpp0091141, FBpp0091143, FBpp0091145, FBpp0091147, FBpp0091149, FBpp0091151, FBpp0091153, FBpp0091155	FBpp0163096, FBpp0163118, FBpp0163140, FBpp0163739, FBpp0166107, FBpp0166786, FBpp0166895, FBpp0171092, FBpp0173370, FBpp0173371, FBpp0173373, FBpp0173375	FBpp0180051, FBpp0181907, FBpp0187660, FBpp0187662, FBpp0187664, FBpp0187668		FBpp0191557, FBpp0194442, FBpp0196950, FBpp0197645, FBpp0197947, FBpp0198019, FBpp0198387, FBpp0198389, FBpp0198419, FBpp0198902, FBpp0199188, FBpp0200286, FBpp0200296, FBpp0200754, FBpp0200805, FBpp0200907, FBpp0201085, FBpp0201149, FBpp0201173, FBpp0201174, FBpp0201178, FBpp0201180, FBpp0201211, FBpp0201213, FBpp0201238, FBpp0203901, FBpp0204061, FBpp0204726, FBpp0204911, FBpp0205282, FBpp0205514	FBpp0220707	FBpp0229038, FBpp0229042, FBpp0229581, FBpp0229860, FBpp0229862, FBpp0230759, FBpp0230760, FBpp0231877, FBpp0234226, FBpp0237933, FBpp0237934, FBpp0237936, FBpp0237938, FBpp0237940, FBpp0237943, FBpp0237945, FBpp0237947	FBpp0239517, FBpp0242988, FBpp0247616, FBpp0247971, FBpp0250174, FBpp0252623, FBpp0252768	FBpp0257997, FBpp0259487, FBpp0259644, FBpp0259645
OG0000005	FBpp0116534, FBpp0118296, FBpp0122922, FBpp0123013, FBpp0123032, FBpp0123037, FBpp0123113, FBpp0123123, FBpp0123213, FBpp0123786, FBpp0126488, FBpp0126496, FBpp0127043	FBpp0130333, FBpp0130440, FBpp0130441, FBpp0130860, FBpp0132719, FBpp0132745, FBpp0132746, FBpp0135639, FBpp0135899, FBpp0135900, FBpp0136034, FBpp0137886, FBpp0137887, FBpp0138896, FBpp0140293, FBpp0140870, FBpp0141553, FBpp0141697, FBpp0142573, FBpp0143060, FBpp0143148, FBpp0143334, FBpp0143380	FBpp0151171, FBpp0154266, FBpp0156495	FBpp0072283, FBpp0090991, FBpp0090992, FBpp0091019, FBpp0091027, FBpp0091035, FBpp0091038, FBpp0091048, FBpp0091157, FBpp0091160, FBpp0091161, FBpp0091166, FBpp0110156, FBpp0292484, FBpp0310392, FBpp0428277	FBpp0169245, FBpp0169246, FBpp0169247, FBpp0169248	FBpp0174767, FBpp0177637, FBpp0177638, FBpp0177639, FBpp0178071, FBpp0178076, FBpp0178077, FBpp0178087, FBpp0180882, FBpp0181426, FBpp0181427, FBpp0181433, FBpp0181732, FBpp0183178, FBpp0184142, FBpp0184789	GA11854-PA	FBpp0193377, FBpp0193589, FBpp0193597, FBpp0193598, FBpp0193929, FBpp0194394, FBpp0195468, FBpp0198607, FBpp0199255, FBpp0201589, FBpp0202914, FBpp0203669, FBpp0204933, FBpp0205228, FBpp0207451, FBpp0207716	FBpp0209298, FBpp0209337, FBpp0210570, FBpp0211672, FBpp0215067, FBpp0215165, FBpp0216665, FBpp0219182, FBpp0219957, FBpp0220273, FBpp0220757, FBpp0221317, FBpp0223991, FBpp0312715, FBpp0322478, FBpp0322964, FBpp0322983, FBpp0324071, FBpp0324371, FBpp0327479	FBpp0231532	FBpp0247365, FBpp0248084, FBpp0248118, FBpp0248204, FBpp0249936, FBpp0250816, FBpp0253015	FBpp0255521, FBpp0255924, FBpp0257519, FBpp0258147, FBpp0259130, FBpp0259454, FBpp0260104, FBpp0260687, FBpp0265611, FBpp0268361, FBpp0269769
OG0000006	FBpp0114569, FBpp0119821, FBpp0119822, FBpp0119823, FBpp0120764, FBpp0121157, FBpp0121576, FBpp0121577, FBpp0123338, FBpp0123440, FBpp0127244	FBpp0129489, FBpp0130924, FBpp0134206, FBpp0135446, FBpp0135665, FBpp0135724, FBpp0137066, FBpp0137378, FBpp0137550, FBpp0137573, FBpp0137595, FBpp0137958	FBpp0145881, FBpp0148549, FBpp0149119, FBpp0149130, FBpp0151238, FBpp0152278, FBpp0152395, FBpp0152754, FBpp0153004, FBpp0157702	FBpp0073445, FBpp0075504, FBpp0081956, FBpp0081986, FBpp0082105, FBpp0082106, FBpp0082107, FBpp0082147, FBpp0082175, FBpp0082514, FBpp0083974	FBpp0159470, FBpp0159471, FBpp0159472, FBpp0159473, FBpp0160844, FBpp0163934, FBpp0171715, FBpp0171716, FBpp0172136, FBpp0172579, FBpp0173380	FBpp0176196, FBpp0176641, FBpp0179826, FBpp0184461, FBpp0187505, FBpp0188257, FBpp0191276, FBpp0191427	GA17988-PA, GA18066-PA, GA18881-PA, GA19632-PA, GA20564-PA	FBpp0194521, FBpp0204993, FBpp0205465, FBpp0205519, FBpp0205559, FBpp0205685, FBpp0206916, FBpp0207479, FBpp0207535	FBpp0212868, FBpp0217280, FBpp0217400, FBpp0219023, FBpp0316480, FBpp0318395, FBpp0321376, FBpp0322811, FBpp0324678	FBpp0224515, FBpp0224516, FBpp0224519, FBpp0224772, FBpp0225476, FBpp0225477, FBpp0225478, FBpp0225479, FBpp0225480, FBpp0225726, FBpp0228533, FBpp0228613, FBpp0228955, FBpp0230772, FBpp0231198, FBpp0232804, FBpp0237619	FBpp0240121, FBpp0240123, FBpp0240152, FBpp0241373, FBpp0242698, FBpp0242879, FBpp0247471, FBpp0249459	FBpp0255842, FBpp0262607, FBpp0266999, FBpp0269292, FBpp0269521, FBpp0269579, FBpp0271159, FBpp0271213, FBpp0271252
OG0000009	FBpp0114793, FBpp0114800, FBpp0116406, FBpp0120236, FBpp0122528, FBpp0123394, FBpp0123946, FBpp0124234	FBpp0129490, FBpp0129844, FBpp0131531, FBpp0135673, FBpp0136902, FBpp0139274, FBpp0139281, FBpp0139552, FBpp0143467	FBpp0145922, FBpp0151055, FBpp0151370, FBpp0151484, FBpp0151853, FBpp0152732, FBpp0154676, FBpp0155035, FBpp0155037, FBpp0155038	FBpp0071381, FBpp0071650, FBpp0071719, FBpp0073834, FBpp0077344, FBpp0082067, FBpp0084026, FBpp0085996, FBpp0312286, FBpp0312287	FBpp0159301, FBpp0160975, FBpp0164413, FBpp0164633, FBpp0167949, FBpp0167950, FBpp0167975, FBpp0169460, FBpp0170069, FBpp0172005	FBpp0178714, FBpp0178825, FBpp0178851, FBpp0181063, FBpp0181064, FBpp0181606, FBpp0181613, FBpp0181621, FBpp0181622, FBpp0188673, FBpp0191283	GA10102-PA, GA19032-PA	FBpp0192898, FBpp0197149, FBpp0197156, FBpp0199872, FBpp0201416, FBpp0205458, FBpp0207487, FBpp0208082	FBpp0213613, FBpp0214208, FBpp0218969, FBpp0219508, FBpp0221610, FBpp0223560, FBpp0319499, FBpp0328093	FBpp0227883, FBpp0229220, FBpp0234613, FBpp0235004, FBpp0236169, FBpp0236170, FBpp0236171, FBpp0236172, FBpp0236199, FBpp0237208, FBpp0238236	FBpp0241987, FBpp0244793, FBpp0244794, FBpp0245072, FBpp0248246, FBpp0249158, FBpp0249238, FBpp0251382, FBpp0251486	FBpp0258668, FBpp0258677, FBpp0258959, FBpp0259723, FBpp0261063, FBpp0262853, FBpp0263221, FBpp0264832, FBpp0268503, FBpp0269528
OG0000014	FBpp0114132, FBpp0114598, FBpp0115400, FBpp0117019, FBpp0120794, FBpp0121492	FBpp0128616, FBpp0129386, FBpp0134787, FBpp0135475, FBpp0137343, FBpp0138234, FBpp0139172, FBpp0140614	FBpp0148343, FBpp0152951, FBpp0152983, FBpp0154314, FBpp0155913, FBpp0156992, FBpp0158278	FBpp0070788, FBpp0071448, FBpp0078131, FBpp0082253, FBpp0082597, FBpp0085365, FBpp0309075	FBpp0162786, FBpp0164529, FBpp0168812, FBpp0168928, FBpp0170368, FBpp0172439, FBpp0173556	FBpp0175905, FBpp0178995, FBpp0179348, FBpp0179858, FBpp0181168, FBpp0181894, FBpp0187642, FBpp0187863, FBpp0189490, FBpp0190434	GA14877-PA, GA17886-PA, GA18861-PA, GA20380-PA	FBpp0193924, FBpp0197969, FBpp0200756, FBpp0203197, FBpp0203903, FBpp0205586, FBpp0205713	FBpp0208744, FBpp0209617, FBpp0209950, FBpp0213417, FBpp0215166, FBpp0217311, FBpp0217427	FBpp0224842, FBpp0228320, FBpp0229164, FBpp0231896, FBpp0232812, FBpp0235416, FBpp0237298	FBpp0239826, FBpp0240605, FBpp0243086, FBpp0245056, FBpp0249267, FBpp0250894, FBpp0252479	FBpp0256826, FBpp0257159, FBpp0262568, FBpp0264444, FBpp0269322, FBpp0271283
OG0000015	FBpp0126151, FBpp0126152, FBpp0126153, FBpp0126155, FBpp0126156	FBpp0130065, FBpp0130694, FBpp0130695, FBpp0130696, FBpp0130698, FBpp0130701, FBpp0130702	FBpp0152862, FBpp0152863, FBpp0152864, FBpp0152866, FBpp0152867, FBpp0152868	FBpp0084449, FBpp0084450, FBpp0084519, FBpp0084520, FBpp0084521, FBpp0084522, FBpp0084523	FBpp0171108, FBpp0172501, FBpp0172502, FBpp0172503, FBpp0172505, FBpp0172506, FBpp0172507, FBpp0172508, FBpp0172509	FBpp0187729, FBpp0187730, FBpp0187731, FBpp0187732, FBpp0187733, FBpp0187734, FBpp0187735, FBpp0191157	GA19482-PA, GA19487-PA, GA19495-PA, GA19496-PA	FBpp0191618, FBpp0191619, FBpp0191620, FBpp0191621, FBpp0191622, FBpp0191624, FBpp0191625, FBpp0191626, FBpp0191627	FBpp0216502, FBpp0216503, FBpp0216504, FBpp0216506, FBpp0216507, FBpp0315859, FBpp0325986	FBpp0238558, FBpp0238559, FBpp0238560, FBpp0238561, FBpp0238562, FBpp0238563, FBpp0238564	FBpp0241185, FBpp0241188, FBpp0241189, FBpp0241193, FBpp0241194	FBpp0255604, FBpp0255605, FBpp0255606, FBpp0255607, FBpp0255608, FBpp0255610, FBpp0255611
OG0000016	FBpp0120244, FBpp0120245, FBpp0121133, FBpp0121134, FBpp0121135, FBpp0121136, FBpp0121137, FBpp0121138	FBpp0135681, FBpp0135683, FBpp0137307, FBpp0137329, FBpp0137341	FBpp0147009, FBpp0151426, FBpp0151427, FBpp0152876, FBpp0154092, FBpp0154454, FBpp0154465	FBpp0082041, FBpp0082043, FBpp0082044, FBpp0082045, FBpp0082046, FBpp0082077, FBpp0082078	FBpp0171571, FBpp0172410, FBpp0172411, FBpp0172412, FBpp0173596	FBpp0191291, FBpp0191292, FBpp0191407, FBpp0191408, FBpp0191409	GA10031-PA, GA10065-PA, GA18009-PA	FBpp0205492, FBpp0205495, FBpp0205496, FBpp0205497, FBpp0207496, FBpp0207498	FBpp0218979, FBpp0315149, FBpp0318897, FBpp0319035	FBpp0228863, FBpp0237269, FBpp0237271, FBpp0237272, FBpp0237273, FBpp0238802, FBpp0238803	FBpp0240345, FBpp0240346, FBpp0240347, FBpp0240348, FBpp0241014, FBpp0241015, FBpp0241016, FBpp0241017, FBpp0241018, FBpp0241019, FBpp0243169	FBpp0269537, FBpp0269538, FBpp0271183, FBpp0271185, FBpp0271187, FBpp0271188, FBpp0271189, FBpp0271190
