genids	species	highest_mean_genid
NP_001014309.1, NP_001002969.1, NP_001002970.2	Canis lupus familiaris	NP_001002970.2
NP_001003047.1, NP_001003048.1	Canis lupus familiaris	NP_001003048.1
XP_038425121.1, XP_038425124.1, XP_038425122.1, XP_038425123.1, NP_001003050.1, NP_001300801.1	Canis lupus familiaris	XP_038425124.1
NP_001003060.1, XP_038398488.1	Canis lupus familiaris	XP_038398488.1
NP_001003067.2, XP_038409498.1	Canis lupus familiaris	NP_001003067.2
XP_038436224.1, NP_001003122.1	Canis lupus familiaris	NP_001003122.1
XP_038386933.1, NP_001003149.1, NP_001003173.1	Canis lupus familiaris	NP_001003149.1
NP_001003151.2, XP_038441641.1	Canis lupus familiaris	NP_001003151.2
NP_001003213.1, NP_001243249.1	Canis lupus familiaris	NP_001243249.1
XP_038383984.1, NP_001003262.1, XP_038383983.1	Canis lupus familiaris	NP_001003262.1
XP_038395278.1, NP_001003338.1	Canis lupus familiaris	NP_001003338.1
XP_038445168.1, NP_001003340.1, XP_038445166.1	Canis lupus familiaris	NP_001003340.1
XP_038408452.1, XP_038408445.1, XP_038408446.1, XP_038408449.1, XP_038408451.1, NP_001006648.1	Canis lupus familiaris	XP_038408452.1
XP_038407550.1, NP_001006655.1	Canis lupus familiaris	XP_038407550.1
XP_038430455.1, NP_001007142.1	Canis lupus familiaris	NP_001007142.1
XP_038435815.1, NP_001008720.1	Canis lupus familiaris	NP_001008720.1
XP_038424115.1, XP_038424113.1, NP_001017439.1, NP_001375843.1	Canis lupus familiaris	NP_001375843.1
XP_038415140.1, NP_001017516.1	Canis lupus familiaris	XP_038415140.1
NP_001375943.1, XP_038424785.1, NP_001017522.1	Canis lupus familiaris	NP_001375943.1
NP_001019808.1, NP_001019809.1	Canis lupus familiaris	NP_001019808.1
NP_001041482.1, NP_001041490.1, NP_001041499.1	Canis lupus familiaris	NP_001041482.1
NP_001107189.1, NP_001070703.1, NP_001070262.1, NP_001070263.1	Canis lupus familiaris	NP_001070262.1
XP_038424045.1, XP_038424047.1, NP_001077100.1, NP_001375645.1	Canis lupus familiaris	NP_001375645.1
NP_001106640.1, NP_001104269.1, NP_001106641.1, XP_038441509.1	Canis lupus familiaris	XP_038441509.1
XP_038400148.1, NP_001107183.1	Canis lupus familiaris	NP_001107183.1
NP_001138979.1, XP_038433833.1	Canis lupus familiaris	NP_001138979.1
XP_038438974.1, NP_001161932.1	Canis lupus familiaris	XP_038438974.1
NP_001183984.1, XP_038394239.1	Canis lupus familiaris	XP_038394239.1
XP_038386020.1, NP_001240649.1	Canis lupus familiaris	NP_001240649.1
XP_038386022.1, XP_038386033.1, NP_001240650.1	Canis lupus familiaris	XP_038386033.1
NP_001240670.1, XP_038403280.1	Canis lupus familiaris	NP_001240670.1
NP_001376017.1, NP_001243380.1, NP_001375795.1	Canis lupus familiaris	NP_001375795.1
XP_038420408.1, NP_001243388.1, NP_001375546.1	Canis lupus familiaris	NP_001375546.1
NP_001375947.1, NP_001243429.1, XP_038424104.1, NP_001375651.1	Canis lupus familiaris	NP_001375947.1
XP_038424774.1, NP_001257813.1, XP_038424775.1, XP_038424776.1, NP_001257812.1	Canis lupus familiaris	XP_038424776.1
NP_001257815.1, NP_001257814.1	Canis lupus familiaris	NP_001257814.1
XP_038425131.1, NP_001258721.1	Canis lupus familiaris	XP_038425131.1
NP_001375983.1, NP_001300743.1, NP_001375485.1	Canis lupus familiaris	NP_001300743.1
NP_001376036.1, NP_001300750.1	Canis lupus familiaris	NP_001376036.1
NP_001332941.1, NP_001332949.1	Canis lupus familiaris	NP_001332941.1
NP_001332998.1, NP_001332995.1, NP_001333001.1	Canis lupus familiaris	NP_001332998.1
XP_038402032.1, XP_038402033.1, NP_001333023.1, NP_001333024.1	Canis lupus familiaris	NP_001333024.1
XP_038440274.1, NP_001361454.1	Canis lupus familiaris	NP_001361454.1
NP_001361455.1, NP_001361456.1	Canis lupus familiaris	NP_001361455.1
NP_001361514.1, XP_038440337.1	Canis lupus familiaris	NP_001361514.1
NP_001361519.1, XP_038440360.1	Canis lupus familiaris	NP_001361519.1
XP_038430321.1, NP_001375443.1, NP_001243380.1, NP_001375795.1	Canis lupus familiaris	NP_001375443.1
NP_001375446.1, NP_001375489.1, NP_001375796.1	Canis lupus familiaris	NP_001375446.1
NP_001375448.1, NP_001375576.1	Canis lupus familiaris	NP_001375448.1
NP_001375863.1, XP_038407562.1, NP_001375456.1, XP_038407563.1, NP_001375457.1, NP_001375801.1, NP_001375846.1, NP_001375847.1	Canis lupus familiaris	NP_001375863.1
XP_038407568.1, NP_001375458.1	Canis lupus familiaris	NP_001375458.1
NP_001375459.1, NP_001375460.1	Canis lupus familiaris	NP_001375459.1
NP_001375466.1, NP_001375467.1	Canis lupus familiaris	NP_001375467.1
NP_001375468.1, XP_038412288.1, XP_038412289.1	Canis lupus familiaris	XP_038412288.1
NP_001376010.1, XP_038412296.1, NP_001375472.1	Canis lupus familiaris	NP_001376010.1
NP_001375473.1, XP_038413462.1	Canis lupus familiaris	NP_001375473.1
NP_001375480.1, NP_001375481.1	Canis lupus familiaris	NP_001375481.1
NP_001375897.1, NP_001375491.1, NP_001375750.1, NP_001375785.1	Canis lupus familiaris	NP_001375785.1
NP_001376064.1, NP_001375500.1, NP_001375787.1	Canis lupus familiaris	NP_001375787.1
XP_038419095.1, NP_001375505.1, NP_001375506.1, NP_001375507.1, NP_001375802.1	Canis lupus familiaris	NP_001375802.1
NP_001376114.1, NP_001375514.1	Canis lupus familiaris	NP_001375514.1
NP_001375515.1, NP_001375516.1	Canis lupus familiaris	NP_001375516.1
XP_038419124.1, NP_001375521.1	Canis lupus familiaris	NP_001375521.1
NP_001375527.1, NP_001375528.1, NP_001375529.1	Canis lupus familiaris	NP_001375527.1
NP_001375531.1, NP_001375532.1	Canis lupus familiaris	NP_001375532.1
XP_038418391.1, NP_001375534.1, NP_001375535.1, NP_001375813.1	Canis lupus familiaris	XP_038418391.1
NP_001375537.1, NP_001375538.1, NP_001375539.1	Canis lupus familiaris	NP_001375538.1
NP_001375901.1, NP_001375541.1	Canis lupus familiaris	NP_001375901.1
NP_001376065.1, NP_001375555.1	Canis lupus familiaris	NP_001376065.1
XP_038418411.1, NP_001375565.1	Canis lupus familiaris	XP_038418411.1
NP_001375574.1, NP_001375575.1	Canis lupus familiaris	NP_001375574.1
NP_001375856.1, NP_001375857.1, NP_001376129.1, NP_001375577.1, XP_038421234.1, NP_001375579.1	Canis lupus familiaris	NP_001375577.1
NP_001376129.1, NP_001375579.1, XP_038421235.1, NP_001375581.1, XP_038421236.1	Canis lupus familiaris	NP_001375581.1
NP_001375587.1, XP_038421293.1, XP_038421292.1, NP_001375817.1	Canis lupus familiaris	XP_038421293.1
NP_001375589.1, XP_038421296.1, XP_038421297.1, XP_038421294.1	Canis lupus familiaris	NP_001375589.1
NP_001375593.1, NP_001375594.1, XP_038422957.1, NP_001375596.1	Canis lupus familiaris	NP_001375594.1
NP_001376115.1, NP_001375600.1	Canis lupus familiaris	NP_001375600.1
XP_038421257.1, NP_001376074.1, NP_001376117.1, XP_038421258.1, NP_001375607.1, NP_001375608.1, NP_001375609.1	Canis lupus familiaris	NP_001375607.1
NP_001375613.1, NP_001375800.1	Canis lupus familiaris	NP_001375800.1
NP_001375617.1, NP_001375618.1	Canis lupus familiaris	NP_001375617.1
