Orthogroup	arabidopsis	cardamine
OG0000000	AT1G10920.3, AT1G10920.5, AT1G58390.1, AT1G58390.2, AT1G59620.2, AT1G59780.2	CARHR010420.1, CARHR010420.2, CARHR010430.1, CARHR011140.1, CARHR028380.1, CARHR028380.2, CARHR028380.3, CARHR028380.4, CARHR035560.1, CARHR035570.1, CARHR040210.1, CARHR040250.1, CARHR040250.2, CARHR040250.3, CARHR040250.4, CARHR040250.5, CARHR040250.6, CARHR040250.7, CARHR040250.8, CARHR043920.1, CARHR053290.1, CARHR053290.2, CARHR053500.1, CARHR053510.1, CARHR053540.1, CARHR053610.1, CARHR053930.1, CARHR053930.2, CARHR058170.1, CARHR123280.1, CARHR123290.1, CARHR123300.1, CARHR154950.1, CARHR154960.1, CARHR154980.1, CARHR154990.1, CARHR155000.1, CARHR155050.1, CARHR155060.1, CARHR183340.1, CARHR183350.1, CARHR183360.1, CARHR183370.1, CARHR183380.1, CARHR183390.1, CARHR183400.1, CARHR190790.1, CARHR190790.2, CARHR283710.1, CARHR283720.1, CARHR283720.2, CARHR283720.3, CARHR283730.1, CARHR283730.2, CARHR283760.1, CARHR283760.2, CARHR283770.1, CARHR283900.1, CARHR283900.2, CARHR283910.1, CARHR283910.2, CARHR283990.1, CARHR284000.1, CARHR284010.1, CARHR284020.1, CARHR284030.1, CARHR284040.1, CARHR284050.1, CARHR284060.1, CARHR284070.1, CARHR284080.1, CARHR284090.1, CARHR284100.1, CARHR284120.1, CARHR284130.1, CARHR284130.2, CARHR284130.3, CARHR284130.4, CARHR290720.1, CARHR290720.2
OG0000001	AT3G30739.1, AT3G51690.1, AT3G51700.1, AT5G28780.1	CARHR031010.1, CARHR034850.1, CARHR035430.1, CARHR035440.1, CARHR038360.1, CARHR046080.1, CARHR046120.1, CARHR051890.1, CARHR055400.1, CARHR056560.1, CARHR057530.1, CARHR101250.1, CARHR101910.1, CARHR101920.1, CARHR102600.1, CARHR103370.1, CARHR103530.1, CARHR103540.1, CARHR104250.1, CARHR111800.1, CARHR114970.1, CARHR114980.1, CARHR115010.1, CARHR116420.1, CARHR117380.1, CARHR117390.1, CARHR117450.1, CARHR118640.1, CARHR118900.1, CARHR118910.1, CARHR119350.1, CARHR131120.1, CARHR149870.1, CARHR150550.1, CARHR159360.1, CARHR161290.1, CARHR161300.1, CARHR161310.1, CARHR161340.1, CARHR161350.1, CARHR164530.1, CARHR178960.1, CARHR181140.1, CARHR181300.1, CARHR182610.1, CARHR214330.1, CARHR215010.1, CARHR215020.1, CARHR216990.1, CARHR217020.1, CARHR217630.1, CARHR217850.1, CARHR217860.1, CARHR217880.1, CARHR218380.1, CARHR218770.1, CARHR221030.1, CARHR257810.1, CARHR257900.1, CARHR258310.1, CARHR259120.1, CARHR266460.1, CARHR266470.1, CARHR284250.1, CARHR286130.1, CARHR286450.1, CARHR287690.1, CARHR288670.1, CARHR288680.1, CARHR291920.1, CARHR293430.1, CARHR293430.2
OG0000011	AT1G12310.1, AT1G32250.1, AT1G62820.1, AT1G66410.1, AT1G66410.2, AT2G27030.1, AT2G41090.1, AT2G41100.1, AT2G41100.2, AT2G41100.3, AT2G41100.4, AT2G41100.5, AT2G41100.6, AT2G41100.7, AT2G41110.1, AT3G22930.1, AT3G22930.2, AT3G43810.1, AT3G43810.2, AT3G51920.1, AT3G56800.1, AT4G14640.1, AT4G14640.3, AT5G21274.1, AT5G37780.1, AT5G37780.2, AT5G37780.3	CARHR012610.1, CARHR021920.1, CARHR058380.1, CARHR077420.1, CARHR114540.1, CARHR136200.1, CARHR166950.1, CARHR166950.2, CARHR191680.1, CARHR215030.1, CARHR215040.1
OG0000015	AT1G22360.1, AT2G26480.1, AT3G46650.1, AT3G46680.1, AT3G55710.1, AT4G36770.1, AT5G05860.1, AT5G05900.1	CARHR022750.1, CARHR071720.1, CARHR097740.1, CARHR131130.1, CARHR154970.1, CARHR154970.2, CARHR155020.1, CARHR155030.1, CARHR155090.1, CARHR155100.1, CARHR155110.1, CARHR155110.2, CARHR155130.1, CARHR155150.1, CARHR155160.1, CARHR165800.1, CARHR165810.1, CARHR194090.1, CARHR198490.1, CARHR207340.1, CARHR207350.1, CARHR214710.1, CARHR214710.2, CARHR222280.1, CARHR273040.1, CARHR273070.1, CARHR281030.1, CARHR293320.1
OG0000019	AT2G23000.1, AT2G23000.2, AT2G23010.1, AT2G23010.2, AT3G10450.1	CARHR015540.1, CARHR015540.2, CARHR032990.1, CARHR032990.2, CARHR032990.3, CARHR066290.1, CARHR066290.2, CARHR066300.1, CARHR066300.2, CARHR066300.3, CARHR066310.1, CARHR066320.1, CARHR066330.1, CARHR066340.1, CARHR066340.2, CARHR066360.1, CARHR084950.1, CARHR086790.1, CARHR101720.1, CARHR101720.2, CARHR190560.1, CARHR196560.1, CARHR196560.2, CARHR218250.1, CARHR292750.1, CARHR292750.2, CARHR292790.1, CARHR292790.2, CARHR292800.1
OG0000020	AT1G16920.1, AT1G73640.1, AT3G15060.1, AT4G19640.2, AT4G19640.3, AT5G60860.1	CARHR000200.1, CARHR006010.1, CARHR007150.1, CARHR009600.1, CARHR017430.1, CARHR018780.1, CARHR028030.1, CARHR039290.1, CARHR066700.1, CARHR084410.1, CARHR086280.2, CARHR090020.1, CARHR128030.1, CARHR154420.1, CARHR154420.2, CARHR155410.1, CARHR163540.1, CARHR173830.1, CARHR174160.1, CARHR176230.1, CARHR183540.1, CARHR209830.1, CARHR224230.1, CARHR225260.1, CARHR225650.1, CARHR273420.1, CARHR274540.1, CARHR285390.1
OG0000025	AT1G06000.1, AT1G50580.1, AT1G73880.1, AT2G36760.1, AT2G36800.1, AT4G34131.1, AT4G34138.1, AT5G12890.1	CARHR005520.1, CARHR006970.1, CARHR010540.1, CARHR041270.1, CARHR066990.1, CARHR097690.1, CARHR097710.1, CARHR106980.1, CARHR107160.1, CARHR109350.1, CARHR113770.1, CARHR113800.1, CARHR121600.1, CARHR123050.1, CARHR123100.1, CARHR131110.1, CARHR131150.1, CARHR131160.1, CARHR131170.1, CARHR131180.1, CARHR156230.1, CARHR200560.1, CARHR209850.1, CARHR242720.1
OG0000026	AT1G05570.1, AT1G05570.2, AT1G05570.3, AT1G05570.4, AT1G06490.1, AT1G06490.2, AT2G13680.1, AT2G31960.1, AT2G31960.2, AT2G31960.3, AT2G31960.4, AT2G31960.5, AT2G36850.1, AT3G07160.1, AT3G07160.2, AT3G07160.3, AT3G14570.1, AT3G14570.3, AT3G59100.1, AT5G13000.1, AT5G13000.2, AT5G36870.1, AT5G36870.2, AT5G36870.4, AT5G36870.5	CARHR005040.1, CARHR006100.1, CARHR081760.1, CARHR125700.1, CARHR131310.1, CARHR200460.1
OG0000033	AT5G38344.1	CARHR054220.1, CARHR072900.1, CARHR073270.1, CARHR077610.1, CARHR077960.1, CARHR104310.1, CARHR106060.1, CARHR108280.1, CARHR116320.1, CARHR174830.1, CARHR175080.1, CARHR175110.1, CARHR175150.1, CARHR175270.1, CARHR175310.1, CARHR175790.1, CARHR175830.1, CARHR178690.1, CARHR179950.1, CARHR181220.1, CARHR195190.1, CARHR195500.2, CARHR202010.2, CARHR202010.3, CARHR202050.3, CARHR223500.2, CARHR228760.1, CARHR292210.1
OG0000036	AT1G45215.1, AT1G45221.1, AT1G45223.1, AT1G57760.1, AT1G57775.1, AT1G57777.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT3G44115.1, AT4G08025.1, AT5G34881.1, AT5G34882.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34905.1, AT5G42567.1, AT5G42957.1	CARHR050760.1, CARHR054420.1, CARHR201430.1, CARHR201440.1, CARHR250740.1, CARHR250760.1, CARHR273290.1, CARHR289690.1, CARHR289730.1
OG0000039	AT5G57840.1, AT5G61160.1	CARHR003280.1, CARHR113980.1, CARHR153070.1, CARHR153080.1, CARHR153120.1, CARHR153150.1, CARHR174950.1, CARHR254660.1, CARHR262410.1, CARHR263260.1, CARHR263270.1, CARHR263300.1, CARHR263310.1, CARHR263320.1, CARHR263330.1, CARHR263340.1, CARHR263350.1, CARHR263360.1, CARHR263370.1, CARHR263380.1, CARHR263610.1, CARHR271580.1, CARHR271580.2, CARHR274860.1, CARHR274880.1, CARHR274890.1
OG0000042	AT1G05240.1, AT1G05250.1, AT4G25980.1, AT5G51890.1, AT5G64120.1	CARHR004710.1, CARHR004720.1, CARHR004730.1, CARHR036170.1, CARHR053890.1, CARHR059700.1, CARHR070580.1, CARHR092320.1, CARHR146550.1, CARHR148630.1, CARHR217800.1, CARHR233490.1, CARHR233520.1, CARHR239660.1, CARHR239660.2, CARHR255290.1, CARHR262710.1, CARHR264820.1, CARHR278030.1, CARHR280200.1, CARHR284700.1, CARHR294560.1
OG0000050	AT1G10430.1, AT1G10430.2, AT1G50370.1, AT1G59830.1, AT1G59830.2, AT1G69960.1, AT2G42500.1, AT2G42500.2, AT2G42500.3, AT2G42500.4, AT2G42500.5, AT3G05580.2, AT3G19980.1, AT3G58500.1, AT4G26720.1, AT5G55260.1, AT5G55260.2, AT5G63870.3	CARHR040390.1, CARHR053780.1, CARHR095510.1, CARHR137570.1, CARHR168480.1, CARHR168900.1, CARHR234340.1, CARHR268620.1
